Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,VC
25,750,0.14,0.078,10,16,0.52,0.248,1300,1245.51,778.44,1035.33,18750
25,1200,0.14,0.058,10,20,0.39,0.177,1540,1475.45,922.16,1226.47,30000
25,1500,0.14,0.042,10,25,0.3,0.141,1880,1801.2,1125.75,1497.25,37500
25,1800,0.14,0.038,12.5,20,0.22,0.118,1590,1523.35,952.1,1266.29,45000
25,2700,0.14,0.03,12.5,25,0.16,0.088,2280,2232.17,1594.41,1929.23,67500
25,3000,0.14,0.029,16,20,0.13,0.088,1890,1850.35,1321.68,1599.23,75000
25,3300,0.14,0.025,12.5,30,0.13,0.08,2760,2702.1,1930.07,2335.38,82500
25,4300,0.14,0.022,16,25,0.092,0.068,3030,2966.43,2118.88,2563.85,107500
25,4300,0.14,0.028,18,20,0.11,0.068,1930,1889.51,1349.65,1633.08,107500
25,5100,0.14,0.018,16,30,0.071,0.062,3330,3260.14,2328.67,2817.69,127500
25,5600,0.14,0.02,18,25,0.081,0.057,3200,3132.87,2237.76,2707.69,140000
25,7500,0.14,0.016,18,30,0.066,0.05,3480,3406.99,2433.57,2944.62,187500
35,510,0.12,0.078,10,16,0.52,0.312,1300,1221.43,714.29,1000,17850
35,680,0.12,0.058,10,20,0.39,0.234,1540,1446.92,846.15,1184.62,23800
35,820,0.12,0.042,10,25,0.3,0.194,1880,1801.2,1125.75,1497.25,28700
35,1100,0.12,0.038,12.5,20,0.22,0.169,1590,1523.35,952.1,1266.29,38500
35,1500,0.12,0.03,12.5,25,0.16,0.124,2280,2184.43,1365.27,1815.81,52500
35,2000,0.12,0.025,12.5,30,0.13,0.106,2760,2702.1,1930.07,2335.38,70000
35,2000,0.12,0.029,16,20,0.13,0.106,1890,1850.35,1321.68,1599.23,70000
35,2400,0.12,0.022,16,25,0.092,0.088,3030,2966.43,2118.88,2563.85,84000
35,2400,0.12,0.028,18,20,0.11,0.088,1930,1889.51,1349.65,1633.08,84000
35,3300,0.12,0.018,16,30,0.071,0.072,3330,3260.14,2328.67,2817.69,115500
35,3300,0.12,0.02,18,25,0.081,0.072,3200,3132.87,2237.76,2707.69,115500
35,4300,0.12,0.016,18,30,0.066,0.062,3480,3406.99,2433.57,2944.62,150500
50,240,0.1,0.12,10,16,0.94,0.553,1080,993.6,540,788.4,12000
50,330,0.1,0.088,10,20,0.69,0.402,1290,1212.03,708.79,992.31,16500
50,430,0.1,0.062,10,25,0.48,0.308,1740,1634.84,956.04,1338.46,21500
50,510,0.1,0.06,12.5,20,0.41,0.26,1410,1324.78,774.73,1084.62,25500
50,750,0.1,0.044,12.5,25,0.3,0.177,2030,1944.91,1215.57,1616.71,37500
50,910,0.1,0.042,16,20,0.21,0.146,1740,1667.07,1041.92,1385.75,45500
50,1000,0.1,0.036,12.5,30,0.25,0.159,2510,2404.79,1502.99,1998.98,50000
50,1200,0.1,0.04,18,20,0.2,0.133,1830,1753.29,1095.81,1457.43,60000
50,1300,0.1,0.03,16,25,0.16,0.122,2690,2577.25,1610.78,2142.34,65000
50,1600,0.1,0.025,16,30,0.13,0.099,3150,3017.96,1886.23,2508.68,80000
50,1800,0.1,0.029,18,25,0.15,0.088,2900,2778.44,1736.53,2309.58,90000
50,2200,0.1,0.024,18,30,0.12,0.084,3330,3260.14,2328.67,2817.69,110000
63,390,0.09,0.094,12.5,20,0.48,0.306,1310,1230.82,719.78,1007.69,24570
63,510,0.09,0.069,12.5,25,0.36,0.234,1880,1766.37,1032.97,1446.15,32130
63,620,0.09,0.062,16,20,0.24,0.193,1630,1531.48,895.6,1253.85,39060
63,680,0.09,0.052,12.5,30,0.29,0.176,2410,2264.34,1324.18,1853.85,42840
63,820,0.09,0.055,18,20,0.22,0.146,1750,1676.65,1047.9,1393.71,51660
63,910,0.09,0.047,16,25,0.18,0.131,2300,2203.59,1377.25,1831.74,57330
63,1100,0.09,0.037,16,30,0.14,0.133,2940,2816.77,1760.48,2341.44,69300
63,1200,0.09,0.042,18,25,0.16,0.122,2440,2337.72,1461.08,1943.23,75600
63,1500,0.09,0.034,18,30,0.13,0.097,3100,2970.06,1856.29,2468.86,94500
80,180,0.08,0.134,10,20,1.7,0.589,1250,1150,625,912.5,14400
80,240,0.08,0.101,10,25,1.2,0.442,1530,1407.6,765,1116.9,19200
80,270,0.08,0.103,12.5,20,0.94,0.393,1310,1205.2,655,956.3,21600
80,330,0.08,0.075,12.5,25,0.7,0.322,1880,1766.37,1032.97,1446.15,26400
80,470,0.08,0.06,12.5,30,0.52,0.226,2410,2264.34,1324.18,1853.85,37600
80,470,0.08,0.064,16,20,0.53,0.226,1630,1531.48,895.6,1253.85,37600
80,680,0.08,0.046,16,25,0.39,0.156,2300,2160.99,1263.74,1769.23,54400
80,820,0.08,0.037,16,30,0.33,0.129,2940,2816.77,1760.48,2341.44,65600
80,620,0.08,0.057,18,20,0.39,0.171,1790,1681.81,983.52,1376.92,49600
80,820,0.08,0.041,18,25,0.32,0.129,2440,2337.72,1461.08,1943.23,65600
80,1000,0.08,0.034,18,30,0.26,0.133,3100,2970.06,1856.29,2468.86,80000
