Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 85°C@100kHz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@300Hz,Ripple Current 85°C@50Hz,VC
6.3,220,0.34,5,11,2.05,ESMG6R3E□□221ME11D,300,280,200,260,230,160,1386
6.3,330,0.34,6.3,11,1.366,ESMG6R3E□□331MF11D,405,378,270,351,310.5,216,2079
6.3,470,0.34,6.3,11,0.959,ESMG6R3E□□471MF11D,480,448,320,416,368,256,2961
6.3,1000,0.34,8,11.5,0.477,ESMG6R3E□□102MHB5D,810,756,540,702,621,432,6300
6.3,2200,0.36,10,20,0.241,ESMG6R3E□□222MJ20S,1080,1080,1000,1050,1030,850,13860
6.3,3300,0.38,10,20,0.177,ESMG6R3E□□332MJ20S,1279.8,1279.8,1185,1244.25,1220.55,1007.25,20790
6.3,4700,0.4,12.5,20,0.135,ESMG6R3E□□472MK20S,1668.6,1668.6,1545,1622.25,1591.35,1313.25,29610
6.3,6800,0.44,12.5,25,0.109,ESMG6R3E□□682MK25S,2068.2,2068.2,1915,2010.75,1972.45,1627.75,42840
6.3,10000,0.52,16,25,0.095,ESMG6R3E□□103ML25S,2516.4,2516.4,2330,2446.5,2399.9,1980.5,63000
6.3,15000,0.62,16,35.5,0.081,ESMG6R3E□□153MLP1S,3072.6,3072.6,2845,2987.25,2930.35,2418.25,94500
6.3,22000,0.76,18,40,0.072,ESMG6R3E□□223MM40S,3585.6,3585.6,3320,3486,3419.6,2822,138600
10,220,0.24,5,11,1.447,ESMG100E□□221ME11D,360,336,240,312,276,192,2200
10,330,0.24,6.3,11,0.965,ESMG100E□□331MF11D,435,406,290,377,333.5,232,3300
10,470,0.24,6.3,11,0.677,ESMG100E□□471MF11D,525,490,350,455,402.5,280,4700
10,1000,0.24,10,12.5,0.345,ESMG100E□□102MJC5S,975,910,650,845,747.5,520,10000
10,2200,0.26,10,20,0.181,ESMG100E□□222MJ20S,1155.6,1155.6,1070,1123.5,1102.1,909.5,22000
10,3300,0.28,12.5,20,0.137,ESMG100E□□332MK20S,1533.6,1533.6,1420,1491,1462.6,1207,33000
10,4700,0.3,12.5,25,0.107,ESMG100E□□472MK25S,1922.4,1922.4,1780,1869,1833.4,1513,47000
10,6800,0.34,16,25,0.09,ESMG100E□□682ML25S,2397.6,2397.6,2220,2331,2286.6,1887,68000
10,10000,0.42,16,35.5,0.082,ESMG100E□□103MLP1S,2883.6,2883.6,2670,2803.5,2750.1,2269.5,100000
10,15000,0.52,18,35.5,0.073,ESMG100E□□153MMP1S,3326.4,3326.4,3080,3234,3172.4,2618,150000
16,100,0.2,5,11,2.653,ESMG160E□□101ME11D,240,224,160,208,184,128,1600
16,220,0.2,6.3,11,1.206,ESMG160E□□221MF11D,390,364,260,338,299,208,3520
16,330,0.2,8,11.5,0.804,ESMG160E□□331MHB5D,555,518,370,481,425.5,296,5280
16,470,0.2,8,11.5,0.564,ESMG160E□□471MHB5D,660,616,440,572,506,352,7520
16,1000,0.2,10,16,0.292,ESMG160E□□102MJ16S,1177.5,1099,785,1020.5,902.75,628,16000
16,2200,0.22,12.5,20,0.157,ESMG160E□□222MK20S,1398.6,1398.6,1295,1359.75,1333.85,1100.75,35200
16,3300,0.24,12.5,25,0.121,ESMG160E□□332MK25S,1787.4,1787.4,1655,1737.75,1704.65,1406.75,52800
16,4700,0.26,16,25,0.096,ESMG160E□□472ML25S,2257.2,2257.2,2090,2194.5,2152.7,1776.5,75200
16,6800,0.3,16,31.5,0.082,ESMG160E□□682MLN3S,2721.6,2721.6,2520,2646,2595.6,2142,108800
16,10000,0.38,18,35.5,0.077,ESMG160E□□103MMP1S,3153.6,3153.6,2920,3066,3007.6,2482,160000
25,47,0.16,5,11,4.515,ESMG250E□□470ME11D,207,201.25,115,172.5,143.75,86.25,1175
25,100,0.16,6.3,11,2.122,ESMG250E□□101MF11D,285,266,190,247,218.5,152,2500
25,220,0.16,8,11.5,0.965,ESMG250E□□221MHB5D,495,462,330,429,379.5,264,5500
25,330,0.16,8,11.5,0.643,ESMG250E□□331MHB5D,660,616,440,572,506,352,8250
25,470,0.16,10,12.5,0.452,ESMG250E□□471MJC5S,817.5,763,545,708.5,626.75,436,11750
25,1000,0.16,10,20,0.239,ESMG250E□□102MJ20S,1432.5,1337,955,1241.5,1098.25,764,25000
25,2200,0.18,12.5,25,0.133,ESMG250E□□222MK25S,1663.2,1663.2,1540,1617,1586.2,1309,55000
25,3300,0.2,16,25,0.104,ESMG250E□□332ML25S,2133,2133,1975,2073.75,2034.25,1678.75,82500
25,4700,0.22,16,31.5,0.085,ESMG250E□□472MLN3S,2613.6,2613.6,2420,2541,2492.6,2057,117500
25,6800,0.26,18,35.5,0.074,ESMG250E□□682MMP1S,3110.4,3110.4,2880,3024,2966.4,2448,170000
35,47,0.14,5,11,3.951,ESMG350E□□470ME11D,234,227.5,130,195,162.5,97.5,1645
35,100,0.14,6.3,11,1.857,ESMG350E□□101MF11D,315,294,210,273,241.5,168,3500
35,220,0.14,8,11.5,0.844,ESMG350E□□221MHB5D,577.5,539,385,500.5,442.75,308,7700
35,330,0.14,10,12.5,0.563,ESMG350E□□331MJC5S,735,686,490,637,563.5,392,11550
35,470,0.14,10,16,0.395,ESMG350E□□471MJ16S,967.5,903,645,838.5,741.75,516,16450
35,1000,0.14,12.5,20,0.212,ESMG350E□□102MK20S,1717.5,1603,1145,1488.5,1316.75,916,35000
35,2200,0.16,16,25,0.121,ESMG350E□□222ML25S,1927.8,1927.8,1785,1874.25,1838.55,1517.25,77000
35,3300,0.18,16,35.5,0.096,ESMG350E□□332MLP1S,2457,2457,2275,2388.75,2343.25,1933.75,115500
35,4700,0.2,18,35.5,0.079,ESMG350E□□472MMP1S,2916,2916,2700,2835,2781,2295,164500
50,1,0.12,5,11,159.155,ESMG500E□□1R0ME11D,42.5,39.1,17,29.75,22.95,11.05,50
50,2.2,0.12,5,11,72.343,ESMG500E□□2R2ME11D,70,64.4,28,49,37.8,18.2,110.00000000000001
50,3.3,0.12,5,11,48.229,ESMG500E□□3R3ME11D,87.5,80.5,35,61.25,47.25,22.75,165
50,4.7,0.12,5,11,33.863,ESMG500E□□4R7ME11D,102.5,94.3,41,71.75,55.35,26.65,235
50,10,0.12,5,11,15.916,ESMG500E□□100ME11D,108,105,60,90,75,45,500
50,22,0.12,5,11,7.234,ESMG500E□□220ME11D,171,166.25,95,142.5,118.75,71.25,1100
50,33,0.12,5,11,4.823,ESMG500E□□330ME11D,225,218.75,125,187.5,156.25,93.75,1650
50,47,0.12,6.3,11,3.386,ESMG500E□□470MF11D,279,271.25,155,232.5,193.75,116.25,2350
50,100,0.12,8,11.5,1.592,ESMG500E□□101MHB5D,390,364,260,338,299,208,5000
50,220,0.12,10,12.5,0.723,ESMG500E□□221MJC5S,645,602,430,559,494.5,344,11000
50,330,0.12,10,16,0.482,ESMG500E□□331MJ16S,877.5,819,585,760.5,672.75,468,16500
50,470,0.12,10,20,0.339,ESMG500E□□471MJ20S,1132.5,1057,755,981.5,868.25,604,23500
50,1000,0.12,12.5,25,0.186,ESMG500E□□102MK25S,2010,1876,1340,1742,1541,1072,50000
50,2200,0.14,16,35.5,0.109,ESMG500E□□222MLP1S,2241,2241,2075,2178.75,2137.25,1763.75,110000
50,3300,0.16,18,35.5,0.088,ESMG500E□□332MMP1S,2700,2700,2500,2625,2575,2125,165000
63,10,0.09,5,11,11.937,ESMG630E□□100ME11D,117,113.75,65,97.5,81.25,48.75,630
63,22,0.09,5,11,5.426,ESMG630E□□220ME11D,180,175,100,150,125,75,1386
63,33,0.09,6.3,11,3.617,ESMG630E□□330MF11D,252,245,140,210,175,105,2079
63,47,0.09,6.3,11,2.54,ESMG630E□□470MF11D,306,297.5,170,255,212.5,127.5,2961
63,100,0.09,10,12.5,1.194,ESMG630E□□101MJC5S,450,420,300,390,345,240,6300
63,220,0.09,10,16,0.543,ESMG630E□□221MJ16S,735,686,490,637,563.5,392,13860
63,330,0.09,10,20,0.362,ESMG630E□□331MJ20S,1065,994,710,923,816.5,568,20790
63,470,0.09,12.5,20,0.254,ESMG630E□□471MK20S,1350,1260,900,1170,1035,720,29610
63,1000,0.09,16,25,0.146,ESMG630E□□102ML25S,1950,1820,1300,1690,1495,1040,63000
100,1,0.08,5,11,106.103,ESMG101E□□1R0ME11D,52.5,48.3,21,36.75,28.35,13.65,100
100,2.2,0.08,5,11,48.229,ESMG101E□□2R2ME11D,75,69,30,52.5,40.5,19.5,220.00000000000003
100,3.3,0.08,5,11,32.153,ESMG101E□□3R3ME11D,100,92,40,70,54,26,330
100,4.7,0.08,5,11,22.575,ESMG101E□□4R7ME11D,112.5,103.5,45,78.75,60.75,29.25,470
100,10,0.08,6.3,11,10.61,ESMG101E□□100MF11D,135,131.25,75,112.5,93.75,56.25,1000
100,22,0.08,8,11.5,4.823,ESMG101E□□220MHB5D,234,227.5,130,195,162.5,97.5,2200
100,33,0.08,8,11.5,3.215,ESMG101E□□330MHB5D,324,315,180,270,225,135,3300
100,47,0.08,10,12.5,2.258,ESMG101E□□470MJC5S,414,402.5,230,345,287.5,172.5,4700
100,100,0.08,10,20,1.061,ESMG101E□□101MJ20S,555,518,370,481,425.5,296,10000
100,220,0.08,12.5,25,0.482,ESMG101E□□221MK25S,930,868,620,806,713,496,22000
100,330,0.08,12.5,25,0.322,ESMG101E□□331MK25S,1140,1064,760,988,874,608,33000
100,470,0.08,16,25,0.226,ESMG101E□□471ML25S,1500,1400,1000,1300,1150,800,47000
100,1000,0.08,18,40,0.133,ESMG101E□□102MM40S,2070,1932,1380,1794,1587,1104,100000
160,3.3,0.2,6.3,11,80.381,ESMG161E□□3R3MF11D,100,92,40,70,54,26,528
160,4.7,0.2,6.3,11,56.438,ESMG161E□□4R7MF11D,120,110.4,48,84,64.8,31.2,752
160,10,0.2,10,12.5,26.526,ESMG161E□□100MJC5S,169.2,164.5,94,141,117.5,70.5,1600
160,22,0.2,10,20,12.057,ESMG161E□□220MJ20S,306,297.5,170,255,212.5,127.5,3520
160,33,0.2,10,20,8.038,ESMG161E□□330MJ20S,369,358.75,205,307.5,256.25,153.75,5280
160,47,0.2,12.5,20,5.644,ESMG161E□□470MK20S,486,472.5,270,405,337.5,202.5,7520
160,100,0.2,12.5,25,2.653,ESMG161E□□101MK25S,645,602,430,559,494.5,344,16000
160,220,0.2,16,31.5,1.206,ESMG161E□□221MLN3S,1140,1064,760,988,874,608,35200
160,330,0.2,18,35.5,0.804,ESMG161E□□331MMP1S,1492.5,1393,995,1293.5,1144.25,796,52800
200,3.3,0.2,6.3,11,80.381,ESMG201E□□3R3MF11D,100,92,40,70,54,26,660
200,4.7,0.2,8,11.5,56.438,ESMG201E□□4R7MHB5D,137.5,126.5,55,96.25,74.25,35.75,940
200,10,0.2,10,12.5,26.526,ESMG201E□□100MJC5S,169.2,164.5,94,141,117.5,70.5,2000
200,22,0.2,10,20,12.057,ESMG201E□□220MJ20S,306,297.5,170,255,212.5,127.5,4400
200,33,0.2,10,20,8.038,ESMG201E□□330MJ20S,369,358.75,205,307.5,256.25,153.75,6600
200,47,0.2,12.5,20,5.644,ESMG201E□□470MK20S,486,472.5,270,405,337.5,202.5,9400
200,100,0.2,16,25,2.653,ESMG201E□□101ML25S,712.5,665,475,617.5,546.25,380,20000
200,220,0.2,18,35.5,1.206,ESMG201E□□221MMP1S,1215,1134,810,1053,931.5,648,44000
250,2.2,0.2,6.3,11,120.572,ESMG251E□□2R2MF11D,80,73.6,32,56,43.2,20.8,550
250,3.3,0.2,8,11.5,80.381,ESMG251E□□3R3MHB5D,115,105.8,46,80.5,62.1,29.9,825
250,4.7,0.2,8,11.5,56.438,ESMG251E□□4R7MHB5D,137.5,126.5,55,96.25,74.25,35.75,1175
250,10,0.2,10,16,26.526,ESMG251E□□100MJ16S,189,183.75,105,157.5,131.25,78.75,2500
250,22,0.2,10,20,12.057,ESMG251E□□220MJ20S,306,297.5,170,255,212.5,127.5,5500
250,33,0.2,12.5,20,8.038,ESMG251E□□330MK20S,414,402.5,230,345,287.5,172.5,8250
250,47,0.2,12.5,25,5.644,ESMG251E□□470MK25S,531,516.25,295,442.5,368.75,221.25,11750
250,100,0.2,16,31.5,2.653,ESMG251E□□101MLN3S,772.5,721,515,669.5,592.25,412,25000
250,220,0.2,18,40,1.206,ESMG251E□□221MM40S,1237.5,1155,825,1072.5,948.75,660,55000
350,1,0.24,6.3,11,318.31,ESMG351E□□1R0MF11D,55,50.6,22,38.5,29.7,14.3,350
350,2.2,0.24,8,11.5,144.686,ESMG351E□□2R2MHB5D,95,87.4,38,66.5,51.3,24.7,770.0000000000001
350,3.3,0.24,8,11.5,96.458,ESMG351E□□3R3MHB5D,115,105.8,46,80.5,62.1,29.9,1155
350,4.7,0.24,10,12.5,67.726,ESMG351E□□4R7MJC5S,162.5,149.5,65,113.75,87.75,42.25,1645
350,10,0.24,10,20,31.831,ESMG351E□□100MJ20S,207,201.25,115,172.5,143.75,86.25,3500
350,22,0.24,12.5,20,14.469,ESMG351E□□220MK20S,333,323.75,185,277.5,231.25,138.75,7700
350,33,0.24,16,25,9.646,ESMG351E□□330ML25S,495,481.25,275,412.5,343.75,206.25,11550
350,47,0.24,16,25,6.773,ESMG351E□□470ML25S,585,568.75,325,487.5,406.25,243.75,16450
350,100,0.24,18,31.5,3.183,ESMG351E□□101MMN3S,795,742,530,689,609.5,424,35000
400,1,0.24,6.3,11,318.31,ESMG401E□□1R0MF11D,55,50.6,22,38.5,29.7,14.3,400
400,2.2,0.24,8,11.5,144.686,ESMG401E□□2R2MHB5D,95,87.4,38,66.5,51.3,24.7,880.0000000000001
400,3.3,0.24,10,12.5,96.458,ESMG401E□□3R3MJC5S,135,124.2,54,94.5,72.9,35.1,1320
400,4.7,0.24,10,16,67.726,ESMG401E□□4R7MJ16S,177.5,163.3,71,124.25,95.85,46.15,1880
400,10,0.24,10,20,31.831,ESMG401E□□100MJ20S,207,201.25,115,172.5,143.75,86.25,4000
400,22,0.24,12.5,25,14.469,ESMG401E□□220MK25S,369,358.75,205,307.5,256.25,153.75,8800
400,33,0.24,16,25,9.646,ESMG401E□□330ML25S,495,481.25,275,412.5,343.75,206.25,13200
400,47,0.24,16,31.5,6.773,ESMG401E□□470MLN3S,630,612.5,350,525,437.5,262.5,18800
450,2.2,0.24,10,12.5,144.686,ESMG451E□□2R2MJC5S,80,73.6,32,56,43.2,20.8,990.0000000000001
450,3.3,0.24,10,16,96.458,ESMG451E□□3R3MJ16S,110,101.2,44,77,59.4,28.6,1485
