Voltage,Capacitance,Case Size Diameter,Case Size Length,1 k,Dissipation Factor,ESR(est.) 20°C@120Hz,Freq.(Hz),Frequency Coefficient 120Hz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping,VC
6.3,330,8,11.5,,0.3,1.206,,,,,0.6,3.5,5.0,nan,ECEA0JN331U( ),250,200,1000,2079.0
6.3,470,10,12.5,,0.3,0.847,,,,,0.6,5.0,5.0,nan,ECEA0JN471X( ),310,200,500,2961.0
6.3,1000,10,20,,0.3,0.424,,,,,0.6,5.0,5.0,nan,ECEA0JN102U( ),430,200,500,6300.0
6.3,2200,12.5,25,,0.32,0.217,,,,,0.6,5.0,5.0,nan,ECEA0JN222U( ),660,200,500,13860.0
6.3,3300,16,25,,0.34,0.161,,,,,0.8,7.5,7.5,nan,ECEA0JN332U( ),760,100,250,20790.0
6.3,4700,16,31.5,,0.36,0.124,,,,,0.8,7.5,nan,nan,ECEA0JN472U,1170,100,nan,29610.0
6.3,6800,18,35.5,,0.4,0.101,,,,,0.8,7.5,nan,nan,ECEA0JN682U,1450,50,nan,42840.0
6.3,47,5,11,,0.25,7.055,,,,,0.5,2.0,5.0,2.5,ECEA1AN470U( ),90,200,2000,296.09999999999997
6.3,100,6.3,11.2,,0.25,3.316,,,,,0.5,2.5,5.0,2.5,ECEA1AN101X( ),130,200,2000,630.0
6.3,220,8,11.5,,0.25,1.507,,,,,0.6,3.5,5.0,nan,ECEA1AN221U( ),200,200,1000,1386.0
10,330,10,16,,0.25,1.005,,,,,0.6,5.0,5.0,nan,ECEA1AN331U( ),280,200,500,3300.0
10,470,10,16,,0.25,0.705,,,,,0.6,5.0,5.0,nan,ECEA1AN471U( ),340,200,500,4700.0
10,1000,12.5,20,,0.25,0.358,,,,,0.6,5.0,5.0,nan,ECEA1AN102X( ),470,200,500,10000.0
10,2200,16,25,,0.27,0.187,,,,,0.8,7.5,7.5,nan,ECEA1AN222U( ),690,100,250,22000.0
10,3300,16,31.5,,0.29,0.141,,,,,0.8,7.5,nan,nan,ECEA1AN332U,1090,100,nan,33000.0
