Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,,Dissipation Factor,ESR(est.) 20°C@120Hz,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@50Hz,Ripple Current 85°C@60Hz,Straight leads,Taping,VC
6.3,330,0.417,,8,11.5,1.7,0.3,1.206,0.6,3.5,5,,ECEA0JN331U( ),425,250,325,175,175,200,1000,2079
6.3,470,0.293,,10,12.5,1.7,0.3,0.847,0.6,5,5,,ECEA0JN471X( ),527,310,403,217,217,200,500,2961
6.3,1000,0.147,,10,20,1.7,0.3,0.424,0.6,5,5,,ECEA0JN102U( ),731,430,559,301,301,200,500,6300
6.3,2200,0.075,,12.5,25,1.7,0.32,0.217,0.6,5,5,,ECEA0JN222U( ),1122,660,858,462,462,200,500,13860
6.3,3300,0.056,,16,25,1.7,0.34,0.161,0.8,7.5,7.5,,ECEA0JN332U( ),1292,760,988,532,532,100,250,20790
6.3,4700,0.043,,16,31.5,1.7,0.36,0.124,0.8,7.5,,,ECEA0JN472U,1989,1170,1521,819,819,100,,29610
6.3,6800,0.035,,18,35.5,1.7,0.4,0.101,0.8,7.5,,,ECEA0JN682U,2465,1450,1885,1015,1015,50,,42840
10,47,2.441,,5,11,1.7,0.25,7.055,0.5,2,5,2.5,ECEA1AN470U( ),153,90,117,63,63,200,2000,470
10,100,1.147,,6.3,11.2,1.7,0.25,3.316,0.5,2.5,5,2.5,ECEA1AN101X( ),221,130,169,91,91,200,2000,1000
10,220,0.522,,8,11.5,1.7,0.25,1.507,0.6,3.5,5,,ECEA1AN221U( ),340,200,260,140,140,200,1000,2200
10,330,0.348,,10,16,1.7,0.25,1.005,0.6,5,5,,ECEA1AN331U( ),476,280,364,196,196,200,500,3300
10,470,0.244,,10,16,1.7,0.25,0.705,0.6,5,5,,ECEA1AN471U( ),578,340,442,238,238,200,500,4700
10,1000,0.124,,12.5,20,1.7,0.25,0.358,0.6,5,5,,ECEA1AN102X( ),799,470,611,329,329,200,500,10000
10,2200,0.065,,16,25,1.7,0.27,0.187,0.8,7.5,7.5,,ECEA1AN222U( ),1173,690,897,483,483,100,250,22000
10,3300,0.049,,16,31.5,1.7,0.29,0.141,0.8,7.5,,,ECEA1AN332U,1853,1090,1417,763,763,100,,33000
10,4700,0.038,,18,35.5,1.7,0.31,0.11,0.8,7.5,,,ECEA1AN472U,2040,1200,1560,840,840,50,,47000
16,10,9.178,,5,11,1.7,0.2,26.526,0.5,2,5,2.5,ECEA1CN100U( ),68,40,52,28,28,200,2000,160
16,22,4.172,,5,11,1.7,0.2,12.057,0.5,2,5,2.5,ECEA1CN220U( ),102,60,78,42,42,200,2000,352
16,33,2.781,,5,11,1.7,0.2,8.038,0.5,2,5,2.5,ECEA1CN330U( ),136,80,104,56,56,200,2000,528
16,47,1.953,,6.3,11.2,1.7,0.2,5.644,0.5,2.5,5,2.5,ECEA1CN470U( ),170,100,130,70,70,200,2000,752
16,220,0.417,,10,12.5,1.7,0.2,1.206,0.6,5,5,,ECEA1CN221X( ),442,260,338,182,182,200,500,3520
16,330,0.278,,10,16,1.7,0.2,0.804,0.6,5,5,,ECEA1CN331U( ),561,330,429,231,231,200,500,5280
16,470,0.195,,10,20,1.7,0.2,0.564,0.6,5,5,,ECEA1CN471U( ),646,380,494,266,266,200,500,7520
16,1000,0.101,,12.5,25,1.7,0.2,0.292,0.6,5,5,,ECEA1CN102U( ),952,560,728,392,392,200,500,16000
16,2200,0.054,,16,31.5,1.7,0.22,0.157,0.8,7.5,,,ECEA1CN222U,1275,750,975,525,525,100,,35200
16,3300,0.042,,18,35.5,1.7,0.24,0.121,0.8,7.5,,,ECEA1CN332U,1530,900,1170,630,630,50,,52800
25,10,6.884,,5,11,1.7,0.15,19.894,0.5,2,5,2.5,ECEA1EN100U( ),76.5,45,58.5,31.5,31.5,200,2000,250
25,22,3.129,,5,11,1.7,0.15,9.043,0.5,2,5,2.5,ECEA1EN220X( ),102,60,78,42,42,200,2000,550
25,33,2.086,,6.3,11.2,1.7,0.15,6.029,0.5,2.5,5,2.5,ECEA1EN330U( ),153,90,117,63,63,200,2000,825
25,47,1.465,,6.3,11.2,1.7,0.15,4.233,0.5,2.5,5,2.5,ECEA1EN470U( ),187,110,143,77,77,200,2000,1175
25,100,0.688,,8,11.5,1.7,0.15,1.989,0.6,3.5,5,,ECEA1EN101U( ),306,180,234,126,126,200,1000,2500
25,220,0.313,,10,16,1.7,0.15,0.904,0.6,5,5,,ECEA1EN221U( ),544,320,416,224,224,200,500,5500
25,330,0.209,,12.5,20,1.7,0.15,0.603,0.6,5,5,,ECEA1EN331U( ),612,360,468,252,252,200,500,8250
25,470,0.146,,12.5,20,1.7,0.15,0.423,0.6,5,5,,ECEA1EN471U( ),731,430,559,301,301,200,500,11750
25,1000,0.078,,16,25,1.7,0.15,0.225,0.8,7.5,7.5,,ECEA1EN102U( ),1156,680,884,476,476,100,250,25000
25,2200,0.044,,18,35.5,1.7,0.17,0.127,0.8,7.5,,,ECEA1EN222U,1530,900,1170,630,630,50,,55000
35,10,6.884,,5,11,1.7,0.15,19.894,0.5,2,5,2.5,ECEA1VN100U( ),73.1,43,55.9,30.1,30.1,200,2000,350
35,22,3.129,,6.3,11.2,1.7,0.15,9.043,0.5,2.5,5,2.5,ECEA1VN220U( ),136,80,104,56,56,200,2000,770
35,33,2.086,,8,11.5,1.7,0.15,6.029,0.6,3.5,5,,ECEA1VN330U( ),170,100,130,70,70,200,1000,1155
35,47,1.465,,8,11.5,1.7,0.15,4.233,0.6,3.5,5,,ECEA1VN470U( ),204,120,156,84,84,200,1000,1645
35,100,0.688,,10,16,1.7,0.15,1.989,0.6,5,5,,ECEA1VN101U( ),391,230,299,161,161,200,500,3500
35,220,0.313,,12.5,20,1.7,0.15,0.904,0.6,5,5,,ECEA1VN221U( ),612,360,468,252,252,200,500,7700
35,330,0.209,,12.5,20,1.7,0.15,0.603,0.6,5,5,,ECEA1VN331U( ),765,450,585,315,315,200,500,11550
35,470,0.146,,12.5,25,1.7,0.15,0.423,0.6,5,5,,ECEA1VN471U( ),1003,590,767,413,413,200,500,16450
50,2.2,31.29,,5,11,1.7,0.15,90.429,0.5,2,5,2.5,ECEA1HN2R2U( ),30.6,18,23.4,12.6,12.6,200,2000,110.00000000000001
50,3.3,20.86,,5,11,1.7,0.15,60.286,0.5,2,5,2.5,ECEA1HN3R3U( ),42.5,25,32.5,17.5,17.5,200,2000,165
50,4.7,14.647,,5,11,1.7,0.15,42.328,0.5,2,5,2.5,ECEA1HN4R7U( ),51,30,39,21,21,200,2000,235
50,10,6.884,,6.3,11.2,1.7,0.15,19.894,0.5,2.5,5,2.5,ECEA1HN100U( ),85,50,65,35,35,200,2000,500
50,22,3.129,,8,11.5,1.7,0.15,9.043,0.6,3.5,5,,ECEA1HN220U( ),153,90,117,63,63,200,1000,1100
50,33,2.086,,8,11.5,1.7,0.15,6.029,0.6,3.5,5,,ECEA1HN330U( ),187,110,143,77,77,200,1000,1650
50,47,1.465,,10,12.5,1.7,0.15,4.233,0.6,5,5,,ECEA1HN470U( ),238,140,182,98,98,200,500,2350
50,100,0.688,,10,20,1.7,0.15,1.989,0.6,5,5,,ECEA1HN101U( ),425,250,325,175,175,200,500,5000
50,220,0.313,,12.5,25,1.7,0.15,0.904,0.6,5,5,,ECEA1HN221U( ),612,360,468,252,252,200,500,11000
50,330,0.209,,16,25,1.7,0.15,0.603,0.8,7.5,7.5,,ECEA1HN331U( ),765,450,585,315,315,100,250,16500
50,470,0.146,,16,31.5,1.7,0.15,0.423,0.8,7.5,,,ECEA1HN471U,1003,590,767,413,413,100,,23500
