Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Lead Diameter,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 125°C@60Hz,Straight,Straight leads,Taping,Taping ✽B,VC
10,330,0.2,0.13,8,11.5,0.804,0.6,EEUTA1A331( ),500,448.05,324.68,425.32,275.97,3.5,200,1000,5,3300
10,470,0.2,0.1,10,12.5,0.564,0.6,EEUTA1A471( ),680,649.32,511.28,613.53,475.49,5,200,500,5,4700
10,1000,0.2,0.057,10,20,0.292,0.6,EEUTA1A102( ),1100,1050.38,827.07,992.48,769.17,5,200,500,5,10000
10,1000,0.2,0.07,12.5,15,0.292,0.6,EEUTA1A102S( ),1085,1036.05,815.79,978.95,758.68,5,200,500,5,10000
10,1000,0.2,0.033,12.5,25,0.292,0.6,EEUTA1A222L( ),1750,1671.05,1315.79,1578.95,1223.68,5,200,500,5,10000
10,2200,0.2,0.032,16,20,0.145,0.8,EEUTA1A222( ),1985,1889.72,1588,1778.56,1492.72,7.5,100,250,7.5,22000
10,2200,0.2,0.042,18,15,0.145,0.8,EEUTA1A222S( ),1800,1713.6,1440,1612.8,1353.6,7.5,100,250,7.5,22000
10,3300,0.2,0.024,16,25,0.104,0.8,EEUTA1A332( ),2300,2189.6,1840,2060.8,1729.6,7.5,100,250,7.5,33000
10,3300,0.2,0.031,18,20,0.104,0.8,EEUTA1A332S( ),2250,2142,1800,2016,1692,7.5,100,250,7.5,33000
10,4700,0.2,0.02,16,31.5,0.079,0.8,EEUTA1A472,2710,2579.92,2168,2428.16,2037.92,7.5,100,,,47000
10,4700,0.2,0.022,18,25,0.079,0.8,EEUTA1A472S( ),2470,2351.44,1976,2213.12,1857.44,7.5,100,250,7.5,47000
16,220,0.16,0.13,8,11.5,0.965,0.6,EEUTA1C221( ),500,448.05,324.68,425.32,275.97,3.5,200,1000,5,3520
16,330,0.16,0.1,10,12.5,0.643,0.6,EEUTA1C331( ),680,609.35,441.56,578.44,375.32,5,200,500,5,5280
16,470,0.16,0.075,10,16,0.452,0.6,EEUTA1C471( ),945,902.37,710.53,852.63,660.79,5,200,500,5,7520
16,1000,0.16,0.042,12.5,20,0.239,0.6,EEUTA1C102( ),1490,1422.78,1120.3,1344.36,1041.88,5,200,500,5,16000
16,1000,0.16,0.047,16,15,0.239,0.8,EEUTA1C102S( ),1520,1451.43,1142.86,1371.43,1062.86,7.5,100,250,7.5,16000
16,2200,0.16,0.024,16,25,0.121,0.8,EEUTA1C222( ),2300,2189.6,1840,2060.8,1729.6,7.5,100,250,7.5,35200
16,2200,0.16,0.031,18,20,0.121,0.8,EEUTA1C222S( ),2250,2142,1800,2016,1692,7.5,100,250,7.5,35200
16,3300,0.16,0.02,16,31.5,0.088,0.8,EEUTA1C332,2710,2579.92,2168,2428.16,2037.92,7.5,100,,,52800
16,3300,0.16,0.022,18,25,0.088,0.8,EEUTA1C332S( ),2470,2351.44,1976,2213.12,1857.44,7.5,100,250,7.5,52800
