Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance 125°C,Endurance 135°C,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current 125°C,Ripple Current 135°C,VC
25,220,0.19,0.443,0.356,10,12.5,0.14,0.844,3000,2000,1.54,1.38,1.0,1.31,0.85,0.6,5.0,5.0,200,500,EEUTP1E221( ),580,500,5500
25,330,0.13,0.295,0.237,10,16,0.14,0.563,3000,2000,1.54,1.38,1.0,1.31,0.85,0.6,5.0,5.0,200,500,EEUTP1E331( ),1100,945,8250
25,470,0.067,0.245,0.223,8,20,0.14,0.395,2000,1000,1.33,1.27,1.0,1.2,0.93,0.6,3.5,5.0,200,1000,EEUTP1E471L( ),1060,760,11750
25,470,0.13,0.245,0.223,10,16,0.14,0.395,3000,2000,1.33,1.27,1.0,1.2,0.93,0.6,5.0,5.0,200,500,EEUTP1E471( ),1100,945,11750
25,510,0.13,0.226,0.206,10,16,0.14,0.364,3000,2000,1.33,1.27,1.0,1.2,0.93,0.6,5.0,5.0,200,500,EEUTP1E511( ),1100,945,12750
25,820,0.052,0.14,0.128,10,20,0.14,0.226,3000,2000,1.33,1.27,1.0,1.2,0.93,0.6,5.0,5.0,200,500,EEUTP1E821( ),1540,1100,20500
25,1000,0.038,0.132,0.12,12.5,20,0.14,0.212,4000,2000,1.33,1.27,1.0,1.2,0.93,0.6,5.0,5.0,200,500,EEUTP1E102( ),1860,1490,25000
25,1200,0.038,0.125,0.113,12.5,20,0.14,0.177,4000,2000,1.25,1.19,1.0,1.12,0.94,0.6,5.0,5.0,200,500,EEUTP1E122( ),1860,1490,30000
25,1800,0.03,0.083,0.075,12.5,25,0.14,0.118,4000,2000,1.25,1.19,1.0,1.12,0.94,0.6,5.0,5.0,200,500,EEUTP1E182( ),2180,1750,45000
25,1800,0.029,0.083,0.075,16,20,0.14,0.118,5000,2000,1.25,1.19,1.0,1.12,0.94,0.8,7.5,7.5,100,250,EEUTP1E182S( ),2380,1985,45000
