Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current @100kHz,Ripple Current @10kHz,Ripple Current @120Hz,Ripple Current @1kHz,VC
35,180,0.12,6.3,25,0.884,1210,1294.7,605,1010.35,6300
35,180,0.12,6.3,25,0.884,1210,1113.2,605,883.3,6300
35,180,0.12,6.3,25,0.884,1210,1034.55,605,847,6300
35,180,0.12,6.3,25,0.884,1210,968,605,804.65,6300
35,220,0.12,6.3,30,0.723,1370,1465.9,685,1143.95,7700
35,220,0.12,6.3,30,0.723,1370,1260.4,685,1000.1,7700
35,220,0.12,6.3,30,0.723,1370,1171.35,685,959,7700
35,220,0.12,6.3,30,0.723,1370,1096,685,911.05,7700
35,330,0.12,6.3,40,0.482,1680,1977.36,924,1543.08,11550
35,330,0.12,6.3,40,0.482,1680,1700.16,924,1349.04,11550
35,330,0.12,6.3,40,0.482,1680,1580.04,924,1293.6,11550
35,330,0.12,6.3,40,0.482,1680,1478.4,924,1228.92,11550
35,390,0.12,6.3,50,0.408,2020,2375.4,1110,1853.7,13650
35,390,0.12,6.3,50,0.408,2020,2042.4,1110,1620.6,13650
35,390,0.12,6.3,50,0.408,2020,1898.1,1110,1554,13650
35,390,0.12,6.3,50,0.408,2020,1776,1110,1476.3,13650
35,390,0.12,8,25,0.408,1730,2035.14,951,1588.17,13650
35,390,0.12,8,25,0.408,1730,1749.84,951,1388.46,13650
35,390,0.12,8,25,0.408,1730,1626.21,951,1331.4,13650
35,390,0.12,8,25,0.408,1730,1521.6,951,1264.83,13650
35,470,0.12,8,30,0.339,2030,2375.4,1110,1853.7,16450
35,470,0.12,8,30,0.339,2030,2042.4,1110,1620.6,16450
35,470,0.12,8,30,0.339,2030,1898.1,1110,1554,16450
35,470,0.12,8,30,0.339,2030,1776,1110,1476.3,16450
35,680,0.12,8,40,0.234,2570,3017.4,1410,2354.7,23800
35,680,0.12,8,40,0.234,2570,2594.4,1410,2058.6,23800
35,680,0.12,8,40,0.234,2570,2411.1,1410,1974,23800
35,680,0.12,8,40,0.234,2570,2256,1410,1875.3,23800
35,820,0.12,8,50,0.194,3040,3894.8,1820,3039.4,28700
35,820,0.12,8,50,0.194,3040,3348.8,1820,2657.2,28700
35,820,0.12,8,50,0.194,3040,3112.2,1820,2548,28700
35,820,0.12,8,50,0.194,3040,2912,1820,2420.6,28700
35,820,0.12,10,30,0.194,2470,3167.2,1480,2471.6,28700
35,820,0.12,10,30,0.194,2470,2723.2,1480,2160.8,28700
35,820,0.12,10,30,0.194,2470,2530.8,1480,2072,28700
35,820,0.12,10,30,0.194,2470,2368,1480,1968.4,28700
35,1000,0.12,8,60,0.186,3480,4451.2,2080,3473.6,35000
35,1000,0.12,8,60,0.186,3480,3827.2,2080,3036.8,35000
35,1000,0.12,8,60,0.186,3480,3556.8,2080,2912,35000
35,1000,0.12,8,60,0.186,3480,3328,2080,2766.4,35000
35,1200,0.12,10,40,0.155,3120,4001.8,1870,3122.9,42000
35,1200,0.12,10,40,0.155,3120,3440.8,1870,2730.2,42000
35,1200,0.12,10,40,0.155,3120,3197.7,1870,2618,42000
35,1200,0.12,10,40,0.155,3120,2992,1870,2487.1,42000
35,1500,0.12,10,50,0.124,3690,4729.4,2210,3690.7,52500
35,1500,0.12,10,50,0.124,3690,4066.4,2210,3226.6,52500
35,1500,0.12,10,50,0.124,3690,3779.1,2210,3094,52500
35,1500,0.12,10,50,0.124,3690,3536,2210,2939.3,52500
35,1800,0.12,10,60,0.103,4170,5350,2500,4175,63000
35,1800,0.12,10,60,0.103,4170,4600,2500,3650,63000
35,1800,0.12,10,60,0.103,4170,4275,2500,3500,63000
35,1800,0.12,10,60,0.103,4170,4000,2500,3325,63000
50,100,0.1,6.3,25,1.326,1020,1091.4,510,851.7,5000
