Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,Status,VC,Vibration resistant,Weight (g)
200,33,2.355,2.355,10,20,-40,105,0.15,6.029,2000,364,1400,UAS2D330MPD,Uni-Polar,Radial Lead,Miniature sized Permissible Abnormal Volt.,256,256,160,224,200,128,128,MP,6600,Normal,2.34
200,47,1.653,1.653,10,25,-40,105,0.15,4.233,2000,476,1200,UAS2D470MPD,Uni-Polar,Radial Lead,Miniature sized Permissible Abnormal Volt.,312,312,195,273,243.75,156,156,MP,9400,Normal,3.07
200,47,1.653,1.653,12.5,20,-40,105,0.15,4.233,2000,476,1000,UAS2D470MHD6,Uni-Polar,Radial Lead,Miniature sized Permissible Abnormal Volt.,312,312,195,273,243.75,156,156,MP,9400,Normal,3.43
200,56,1.388,1.388,12.5,20,-40,105,0.15,3.553,2000,548,1000,UAS2D560MHD,Uni-Polar,Radial Lead,Miniature sized Permissible Abnormal Volt.,336,336,210,294,262.5,168,168,MP,11200,Normal,3.43
200,68,1.143,1.143,12.5,25,-40,105,0.15,2.926,2000,644,800,UAS2D680MHD,Uni-Polar,Radial Lead,Miniature sized Permissible Abnormal Volt.,512,512,320,448,400,256,256,MP,13600,Normal,4.56
200,82,0.948,0.948,12.5,25,-40,105,0.15,2.426,2000,756,800,UAS2D820MHD,Uni-Polar,Radial Lead,Miniature sized Permissible Abnormal Volt.,576,576,360,504,450,288,288,MP,16400,Normal,4.56
200,100,0.777,0.777,12.5,30.5,-40,105,0.15,1.989,2000,900,600,UAS2D101MHD,Uni-Polar,Radial Lead,Miniature sized Permissible Abnormal Volt.,688,688,430,602,537.5,344,344,MP,20000,Normal,6.01
200,100,0.777,0.777,16,20,-40,105,0.15,1.989,2000,900,600,UAS2D101MHD6,Uni-Polar,Radial Lead,Miniature sized Permissible Abnormal Volt.,688,688,430,602,537.5,344,344,MP,20000,Normal,6.6
200,150,0.518,0.518,16,25,-40,105,0.15,1.326,2000,1300,400,UAS2D151MHD,Uni-Polar,Radial Lead,Miniature sized Permissible Abnormal Volt.,736,736,460,644,575,368,368,MP,30000,Normal,8.2
200,150,0.518,0.518,18,20,-40,105,0.15,1.326,2000,1300,400,UAS2D151MHD6,Uni-Polar,Radial Lead,Miniature sized Permissible Abnormal Volt.,736,736,460,644,575,368,368,MP,30000,Normal,9
