Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,CV,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 125°C@100kHz,Status,VC,Vibration resistant,Weight (g)
10,220,1.206,1.206,0.26,8,11.5,1000 < CV,-40,125,0.2,1.206,2000,,,1.0,1.5,1.25,0.75,66,3000,UBT1A221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,340,EOL,2200.0,Normal,1.19
10,220,1.206,1.206,0.26,8,11.5,1000 < CV,-40,125,0.2,1.206,2000,,,1.0,1.5,1.25,0.75,66,3000,UBT1A221MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,340,MP,2200.0,Normal,1.19
10,330,0.804,0.804,0.15,10,12.5,1000 < CV,-40,125,0.2,0.804,5000,,,1.0,1.5,1.25,0.75,99,2000,UBT1A331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,EOL,3300.0,Normal,1.49
10,330,0.804,0.804,0.15,10,12.5,1000 < CV,-40,125,0.2,0.804,5000,,,1.0,1.5,1.25,0.75,99,2000,UBT1A331MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,MP,3300.0,Normal,1.49
10,470,0.564,0.564,0.1,10,12.5,,-40,125,0.2,0.564,5000,,,,,,,141,2000,UBT1A471MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,EOL,4700.0,Normal,1.49
10,470,0.564,0.564,0.1,10,12.5,,-40,125,0.2,0.564,5000,,,,,,,141,2000,UBT1A471MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,MP,4700.0,Normal,1.49
10,1000,0.292,0.292,0.057,10,20,,-40,125,0.2,0.292,5000,,,,,,,300,1400,UBT1A102MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1100,EOL,10000.0,Normal,2.34
10,1000,0.292,0.292,0.057,10,20,,-40,125,0.2,0.292,5000,,,,,,,300,1400,UBT1A102MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1100,MP,10000.0,Normal,2.34
10,2200,0.157,0.157,0.033,12.5,25,,-40,125,0.22,0.157,10000,,,,,,,660,800,UBT1A222MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1750,EOL,22000.0,Normal,4.56
10,2200,0.157,0.157,0.033,12.5,25,,-40,125,0.22,0.157,10000,,,,,,,660,800,UBT1A222MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1750,MP,22000.0,Normal,4.56
