Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 150°C@100kHz,Ripple Current 150°C@10kHz,Ripple Current 150°C@120Hz,Ripple Current 150°C@1kHz,Ripple Current 150°C@300Hz,Ripple Current 150°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
10,330,,,10,16,-55,150,0.2,0.804,1000,99,1800,UBX1A331MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,300,,,,,,EOL,,3300,Normal,1.77
10,470,,,10,20,-55,150,0.2,0.564,1000,141,1400,UBX1A471MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,400,,,,,,EOL,,4700,Normal,2.34
10,1000,,,12.5,25,-55,150,0.2,0.292,1000,300,800,UBX1A102MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,600,,,,,,LTB,,10000,Normal,4.56
10,2200,,,16,30.5,-55,150,0.22,0.157,2000,660,300,UBX1A222MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1000,,,,,,LTB,,22000,Normal,9.6
10,3300,,,18,35.5,-55,150,0.24,0.121,2000,990,250,UBX1A332MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1200,,,,,,LTB,,33000,Normal,14.2
10,4700,,,18,40,-55,150,0.26,0.096,2000,1410,200,UBX1A472MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1300,,,,,,LTB,,47000,Normal,17.7
16,220,,,10,16,-55,150,0.16,0.965,1000,106,1800,UBX1C221MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,300,,,,,,EOL,,3520,Normal,1.77
16,330,,,10,20,-55,150,0.16,0.643,1000,158,1400,UBX1C331MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,400,,,,,,EOL,,5280,Normal,2.34
16,470,,,12.5,20,-55,150,0.16,0.452,1000,226,1000,UBX1C471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,600,,,,,,MP,,7520,Normal,3.43
16,1000,,,16,25,-55,150,0.16,0.239,2000,480,400,UBX1C102MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,800,,,,,,MP,,16000,Normal,8.2
16,2200,,,18,35.5,-55,150,0.18,0.133,2000,1056,250,UBX1C222MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1200,,,,,,MP,,35200,Normal,14.2
16,3300,,,18,40,-55,150,0.2,0.104,2000,1584,200,UBX1C332MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1300,,,,,,MP,,52800,Normal,17.7
25,100,,,10,12.5,-55,150,0.14,1.857,1000,75,2000,UBX1E101MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,250,,,,,,EOL,,2500,Normal,1.49
25,220,,,12.5,20,-55,150,0.14,0.844,1000,165,1000,UBX1E221MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,500,,,,,,MP,,5500,Normal,3.43
25,330,,,12.5,25,-55,150,0.14,0.563,1000,248,800,UBX1E331MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,600,,,,,,MP,,8250,Normal,4.56
25,470,,,16,25,-55,150,0.14,0.395,2000,353,400,UBX1E471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,800,,,,,,MP,,11750,Normal,8.2
25,1000,,,16,30.5,-55,150,0.14,0.212,2000,750,300,UBX1E102MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1000,,,,,,MP,,25000,Normal,9.6
35,2.2,,,10,12.5,-55,150,0.12,72.343,1000,4,2000,UBX1V2R2MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,50,,,,,,EOL,,77,Normal,1.49
35,3.3,,,10,12.5,-55,150,0.12,48.229,1000,4,2000,UBX1V3R3MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,60,,,,,,EOL,,115.5,Normal,1.49
35,4.7,,,10,12.5,-55,150,0.12,33.863,1000,5,2000,UBX1V4R7MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,85,,,,,,EOL,,164.5,Normal,1.49
35,10,,,10,12.5,-55,150,0.12,15.916,1000,11,2000,UBX1V100MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,175,,,,,,EOL,,350,Normal,1.49
