Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 135°C@100kHz,Status,VC,Vibration resistant,Weight (g)
25,2000,0.16,0.042,12.5,20,-40,135,0.48,0.133,3000,1500,1000,UBY1E202MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2760,2611.26,1652.69,2396.41,1690,MP,50000,Normal,3.43
25,3000,0.18,0.033,12.5,25,-40,135,0.3,0.106,3000,2250,800,UBY1E302MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3480,3323.01,2616.54,3139.85,2010,MP,75000,Normal,4.56
25,3300,0.18,0.031,16,20,-40,135,0.27,0.096,3000,2475,600,UBY1E332MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3040,2902.86,2285.71,2742.86,1860,MP,82500,Normal,6.6
25,3600,0.18,0.028,12.5,30.5,-40,135,0.24,0.088,3000,2700,600,UBY1E362MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4490,4287.44,3375.94,4051.13,2900,MP,90000,Normal,6.01
25,4300,0.2,0.03,18,20,-40,135,0.22,0.086,3000,3225,400,UBY1E432MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3250,3103.38,2443.61,2932.33,1870,MP,107500,Normal,9
25,4700,0.2,0.026,16,25,-40,135,0.22,0.079,3000,3525,400,UBY1E472MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4260,4151.69,3610.17,4043.39,2870,MP,117500,Normal,8.2
25,5100,0.22,0.024,12.5,40,-40,135,0.19,0.083,3000,3825,400,UBY1E512MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5810,5662.29,4923.73,5514.58,3470,MP,127500,Normal,7.57
25,6200,0.24,0.023,16,30.5,-40,135,0.18,0.077,3000,4650,300,UBY1E622MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5480,5340.68,4644.07,5201.36,3400,MP,155000,Normal,9.6
25,6200,0.24,0.025,18,25,-40,135,0.19,0.077,3000,4650,300,UBY1E622MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4500,4385.59,3813.56,4271.19,2900,MP,155000,Normal,10.6
25,7500,0.26,0.02,16,35.5,-40,135,0.14,0.071,3000,5625,300,UBY1E752MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6070,5915.68,5144.07,5761.36,3630,MP,187500,Normal,11.8
25,8200,0.28,0.022,18,30.5,-40,135,0.16,0.071,3000,6150,300,UBY1E822MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5600,5457.63,4745.76,5315.25,3470,MP,205000,Normal,13.1
25,9100,0.3,0.019,16,40,-40,135,0.12,0.07,3000,6825,300,UBY1E912MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6810,6636.86,5771.19,6463.73,3930,MP,227500,Normal,14.1
25,10000,0.32,0.019,18,35.5,-40,135,0.12,0.069,3000,7500,250,UBY1E103MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6280,6120.34,5322.03,5960.68,3750,MP,250000,Normal,14.2
25,12000,0.36,0.018,18,40,-40,135,0.1,0.066,3000,9000,200,UBY1E123MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,7070,6890.25,5991.53,6710.51,4080,MP,300000,Normal,17.7
35,1300,0.12,0.042,12.5,20,-40,135,0.48,0.143,3000,1365,1000,UBY1V132MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2760,2611.26,1652.69,2396.41,1690,MP,45500,Normal,3.43
35,1800,0.12,0.033,12.5,25,-40,135,0.3,0.103,3000,1890,800,UBY1V182MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3480,3292.46,2083.83,3021.56,2010,MP,63000,Normal,4.56
35,2200,0.14,0.028,12.5,30.5,-40,135,0.24,0.109,3000,2310,600,UBY1V222MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4490,4287.44,3375.94,4051.13,2900,MP,77000,Normal,6.01
35,2200,0.14,0.031,16,20,-40,135,0.27,0.109,3000,2310,600,UBY1V222MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3040,2902.86,2285.71,2742.86,1860,MP,77000,Normal,6.6
35,2700,0.14,0.025,12.5,35.5,-40,135,0.21,0.088,3000,2835,500,UBY1V272MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5140,4908.12,3864.66,4637.59,3190,MP,94500,Normal,7.06
35,2700,0.14,0.03,18,20,-40,135,0.22,0.088,3000,2835,400,UBY1V272MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3250,3103.38,2443.61,2932.33,1870,MP,94500,Normal,9
35,3000,0.16,0.026,16,25,-40,135,0.22,0.097,3000,3150,400,UBY1V302MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4260,4067.82,3203.01,3843.61,2870,MP,105000,Normal,8.2
35,3300,0.16,0.024,12.5,40,-40,135,0.19,0.088,3000,3465,400,UBY1V332MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5810,5547.89,4368.42,5242.11,3470,MP,115500,Normal,7.57
