Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 500Hz,Frequency Coefficient 60Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,VC,Vibration resistant,Weight (g)
400,33,4.287,10,31.5,-40,105,0.24,9.646,10000,1.5,1.5,1.0,1.4,1.25,0.8,628,1000,UCP2G330MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,330,MP,13200.0,Normal,3.21
400,56,2.526,12.5,31.5,-40,105,0.24,5.684,10000,1.5,1.5,1.0,1.4,1.25,0.8,996,600,UCP2G560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,470,MP,22400.0,Normal,6.01
400,68,2.08,12.5,35.5,-40,105,0.24,4.681,10000,1.5,1.5,1.0,1.4,1.25,0.8,1188,500,UCP2G680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,540,MP,27200.0,Normal,7.06
400,82,1.725,12.5,40,-40,105,0.24,3.882,10000,1.5,1.5,1.0,1.4,1.25,0.8,1412,400,UCP2G820MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,620,MP,32800.0,Normal,7.57
400,100,1.415,16,31.5,-40,105,0.24,3.183,10000,1.5,1.5,1.0,1.4,1.25,0.8,1700,300,UCP2G101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,710,MP,40000.0,Normal,11.6
400,120,1.179,16,35.5,-40,105,0.24,2.653,10000,1.5,1.5,1.0,1.4,1.25,0.8,2020,300,UCP2G121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,800,MP,48000.0,Normal,11.8
400,150,0.943,16,40,-40,105,0.24,2.122,10000,1.5,1.5,1.0,1.4,1.25,0.8,2500,300,UCP2G151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,920,MP,60000.0,Normal,14.1
400,150,0.943,18,31.5,-40,105,0.24,2.122,10000,1.5,1.5,1.0,1.4,1.25,0.8,2500,300,UCP2G151MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,890,MP,60000.0,Normal,13.8
400,180,0.786,18,40,-40,105,0.24,1.768,10000,1.5,1.5,1.0,1.4,1.25,0.8,2980,200,UCP2G181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,1060,MP,72000.0,Normal,17.7
400,220,0.643,18,46,-40,105,0.24,1.447,10000,1.5,1.5,1.0,1.4,1.25,0.8,3620,200,UCP2G221MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,1200,MP,88000.0,Normal,20.9
420,33,4.287,10,31.5,-40,105,0.24,9.646,10000,1.5,1.5,1.0,1.4,1.25,0.8,654,1000,UCPW6330MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,320,MP,13860.0,Normal,3.21
420,56,2.526,12.5,31.5,-40,105,0.24,5.684,10000,1.5,1.5,1.0,1.4,1.25,0.8,1041,600,UCPW6560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,460,MP,23520.0,Normal,6.01
420,100,1.415,16,31.5,-40,105,0.24,3.183,10000,1.5,1.5,1.0,1.4,1.25,0.8,1780,300,UCPW6101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,690,MP,42000.0,Normal,11.6
420,120,1.179,16,35.5,-40,105,0.24,2.653,10000,1.5,1.5,1.0,1.4,1.25,0.8,2116,300,UCPW6121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized Long Life,780,MP,50400.0,Normal,11.8
