Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
160,10,0.2,10,16,-40,105,26.526,8000,164,1800,UCS2C100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,320,320,177.78,284.44,142.22,MP,1600,Normal,1.77
160,22,0.2,10,20,-40,105,12.057,8000,241,1400,UCS2C220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,500,500,277.78,444.44,222.22,MP,3520,Normal,2.34
160,33,0.2,10,20,-40,105,8.038,8000,311,1400,UCS2C330MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,650,650,361.11,577.78,288.89,MP,5280,Normal,2.34
160,47,0.2,10,20,-40,105,5.644,8000,401,1400,UCS2C470MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,750,750,416.67,666.67,333.33,MP,7520,Normal,2.34
160,68,0.2,12.5,20,-40,105,3.901,10000,535,1000,UCS2C680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1180,1180,655.56,1048.89,524.44,MP,10880,Normal,3.43
160,82,0.2,12.5,20,-40,105,3.235,10000,625,1000,UCS2C820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1275,1275,708.33,1133.33,566.67,MP,13120,Normal,3.43
160,100,0.2,12.5,25,-40,105,2.653,10000,740,800,UCS2C101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1420,1420,788.89,1262.22,631.11,MP,16000,Normal,4.56
160,100,0.2,16,20,-40,105,2.653,10000,740,600,UCS2C101MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1420,1420,788.89,1262.22,631.11,MP,16000,Normal,6.6
160,150,0.2,16,20,-40,105,1.768,10000,1060,600,UCS2C151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1890,1890,1050,1680,840,MP,24000,Normal,6.6
160,220,0.2,16,25,-40,105,1.206,10000,1508,400,UCS2C221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2370,2370,1316.67,2106.67,1053.33,MP,35200,Normal,8.2
160,330,0.2,18,30.5,-40,105,0.804,10000,2212,300,UCS2C331MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3130,3130,1738.89,2782.22,1391.11,MP,52800,Normal,13.1
200,10,0.2,10,16,-40,105,26.526,8000,180,1800,UCS2D100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,320,320,177.78,284.44,142.22,MP,2000,Normal,1.77
200,22,0.2,10,20,-40,105,12.057,8000,276,1400,UCS2D220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,500,500,277.78,444.44,222.22,MP,4400,Normal,2.34
200,33,0.2,10,20,-40,105,8.038,8000,364,1400,UCS2D330MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,650,650,361.11,577.78,288.89,MP,6600,Normal,2.34
200,47,0.2,12.5,20,-40,105,5.644,10000,476,1000,UCS2D470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,980,980,544.44,871.11,435.56,MP,9400,Normal,3.43
200,68,0.2,12.5,20,-40,105,3.901,10000,644,1000,UCS2D680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1300,1300,722.22,1155.56,577.78,MP,13600,Normal,3.43
200,82,0.2,16,20,-40,105,3.235,10000,756,600,UCS2D820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1380,1380,766.67,1226.67,613.33,MP,16400,Normal,6.6
200,100,0.2,10,40,-40,105,2.653,10000,900,500,UCS2D101MND9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1260,1260,700,1120,560,LTB,20000,Normal,5.24
200,100,0.2,16,20,-40,105,2.653,10000,900,600,UCS2D101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1420,1420,788.89,1262.22,631.11,MP,20000,Normal,6.6
200,120,0.2,10,40,-40,105,2.21,10000,1060,500,UCS2D121MND9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1360,1360,755.56,1208.89,604.44,LTB,24000,Normal,5.24
200,150,0.2,10,50,-40,105,1.768,10000,1300,300,UCS2D151MND9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1660,1660,922.22,1475.56,737.78,LTB,30000,Normal,6.45
200,150,0.2,16,25,-40,105,1.768,10000,1300,400,UCS2D151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1890,1890,1050,1680,840,MP,30000,Normal,8.2
200,220,0.2,18,25,-40,105,1.206,10000,1860,300,UCS2D221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2365,2365,1313.89,2102.22,1051.11,MP,44000,Normal,10.6
200,270,0.2,12.5,50,-40,105,0.982,10000,2260,400,UCS2D271MNY9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2530,2530,1405.56,2248.89,1124.44,LTB,54000,Normal,10.4
