Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
160,33,0.2,10,16,-40,105,8.038,10000,311,1800,UCY2C330MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,468,468,260,416,208,MP,5280,Normal,1.77
160,39,0.2,10,16,-40,105,6.801,10000,350,1800,UCY2C390MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,531,531,295,472,236,MP,6240,Normal,1.77
160,47,0.2,10,20,-40,105,5.644,10000,401,1400,UCY2C470MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,675,675,375,600,300,MP,7520,Normal,2.34
160,56,0.2,10,20,-40,105,4.737,10000,458,1400,UCY2C560MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,684,684,380,608,304,MP,8960,Normal,2.34
160,68,0.2,10,25,-40,105,3.901,12000,535,1200,UCY2C680MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,819,819,455,728,364,MP,10880,Normal,3.07
160,68,0.2,12.5,20,-40,105,3.901,10000,535,1000,UCY2C680MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1062,1062,590,944,472,MP,10880,Normal,3.43
160,82,0.2,10,25,-40,105,3.235,12000,625,1200,UCY2C820MPD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,819,819,455,728,364,MP,13120,Normal,3.07
160,82,0.2,10,30.5,-40,105,3.235,12000,625,1000,UCY2C820MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,961.2,961.2,534,854.4,427.2,MP,13120,Normal,3.21
160,82,0.2,12.5,20,-40,105,3.235,10000,625,1000,UCY2C820MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1152,1152,640,1024,512,MP,13120,Normal,3.43
160,100,0.2,12.5,20,-40,105,2.653,10000,740,1000,UCY2C101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1161,1161,645,1032,516,MP,16000,Normal,3.43
160,120,0.2,12.5,25,-40,105,2.21,12000,868,800,UCY2C121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1368,1368,760,1216,608,MP,19200,Normal,4.56
160,150,0.2,12.5,25,-40,105,1.768,12000,1060,800,UCY2C151MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1368,1368,760,1216,608,MP,24000,Normal,4.56
160,150,0.2,12.5,30.5,-40,105,1.768,12000,1060,600,UCY2C151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1629,1629,905,1448,724,MP,24000,Normal,6.01
160,150,0.2,16,20,-40,105,1.768,10000,1060,600,UCY2C151MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1701,1701,945,1512,756,MP,24000,Normal,6.6
160,180,0.2,12.5,30.5,-40,105,1.474,12000,1252,600,UCY2C181MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1629,1629,905,1448,724,MP,28800,Normal,6.01
160,180,0.2,12.5,35.5,-40,105,1.474,12000,1252,500,UCY2C181MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1890,1890,1050,1680,840,MP,28800,Normal,7.06
160,180,0.2,16,20,-40,105,1.474,10000,1252,600,UCY2C181MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1800,1800,1000,1600,800,MP,28800,Normal,6.6
