Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,150,0.22,0.3,5,11,-40,105,1.945,2000,1,9,6000,UHD0J151MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,250,237.76,174.83,211.54,150.35,EOL,945,Normal,0.44
6.3,330,0.22,0.13,6.3,11,-40,105,0.884,2000,0.41,21,4000,UHD0J331MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,385.17,283.22,342.69,243.57,EOL,2079,Normal,0.59
6.3,560,0.22,0.072,8,11.5,-40,105,0.521,3000,0.22,35,3000,UHD0J561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,760,748.57,571.43,685.71,497.14,MP,3528,Normal,1.19
6.3,820,0.22,0.056,8,15,-40,105,0.356,3000,0.17,52,2000,UHD0J821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,995,980.04,748.12,897.74,650.86,MP,5166,Normal,1.36
6.3,1000,0.22,0.053,10,12.5,-40,105,0.318,4000,0.16,63,2000,UHD0J102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1030,1014.51,774.44,929.32,673.76,MP,6300,Normal,1.49
6.3,1200,0.22,0.041,8,20,-40,105,0.265,3000,0.13,76,2000,UHD0J122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,1250,1000,1190,940,MP,7560,Normal,1.66
6.3,1200,0.22,0.038,10,16,-40,105,0.265,4000,0.12,76,1800,UHD0J122MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,1430,1144,1361.36,1075.36,MP,7560,Normal,1.77
6.3,1500,0.22,0.023,10,20,-40,105,0.212,4000,0.069,95,1400,UHD0J152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1820,1820,1456,1732.64,1368.64,MP,9450,Normal,2.34
6.3,2200,0.24,0.022,10,25,-40,105,0.169,4000,0.066,139,1200,UHD0J222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2150,2150,1720,2046.8,1616.8,MP,13860,Normal,3.07
6.3,3300,0.26,0.021,12.5,20,-40,105,0.129,5000,0.053,208,1000,UHD0J332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,2360,1888,2246.72,1774.72,MP,20790,Normal,3.43
