Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,VC,Vibration resistant,Weight (g)
6.3,220,0.358,0.317,0.23,5,11,-40,105,0.21,1.266,5000,2.0,1.88,1.0,1.7,0.76,14,6000,UHV0J221MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,360,EOL,1386.0,Normal,0.44
6.3,330,0.239,0.211,0.1,6.3,11,-40,105,0.21,0.844,5000,2.0,1.88,1.0,1.7,0.33,21,4000,UHV0J331MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,460,EOL,2079.0,Normal,0.59
6.3,470,0.168,0.148,0.1,6.3,11,-40,105,0.21,0.593,5000,2.0,1.88,1.0,1.7,0.33,30,4000,UHV0J471MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,EOL,2961.0,Normal,0.59
6.3,680,0.164,0.147,0.059,8,11.5,-40,105,0.21,0.41,6000,1.67,1.58,1.0,1.45,0.181,43,3000,UHV0J681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,900,MP,4284.0,Normal,1.19
6.3,820,0.136,0.122,0.059,8,11.5,-40,105,0.21,0.34,6000,1.67,1.58,1.0,1.45,0.181,52,3000,UHV0J821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,990,MP,5166.0,Normal,1.19
6.3,1000,0.122,0.109,0.043,10,12.5,-40,105,0.21,0.305,6000,1.67,1.58,1.0,1.45,0.133,63,2000,UHV0J102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,MP,6300.0,Normal,1.49
6.3,1200,0.102,0.091,0.046,8,15,-40,105,0.21,0.254,6000,1.67,1.58,1.0,1.45,0.143,76,2000,UHV0J122MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1330,MP,7560.0,Normal,1.36
6.3,1200,0.102,0.091,0.043,10,12.5,-40,105,0.21,0.254,6000,1.67,1.58,1.0,1.45,0.133,76,2000,UHV0J122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1360,MP,7560.0,Normal,1.49
6.3,1500,0.081,0.073,0.031,8,20,-40,105,0.21,0.203,6000,1.67,1.58,1.0,1.45,0.105,95,2000,UHV0J152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1550,MP,9450.0,Normal,1.66
6.3,1800,0.068,0.061,0.03,10,16,-40,105,0.21,0.169,6000,1.67,1.58,1.0,1.45,0.095,113,1800,UHV0J182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1815,MP,11340.0,Normal,1.77
6.3,2200,0.101,0.092,0.019,10,20,-40,105,0.23,0.163,6000,1.33,1.27,1.0,1.2,0.057,139,1400,UHV0J222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2160,MP,13860.0,Normal,2.34
6.3,2700,0.082,0.075,0.017,10,25,-40,105,0.23,0.133,6000,1.33,1.27,1.0,1.2,0.051,170,1200,UHV0J272MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,17010.0,Normal,3.07
6.3,3300,0.077,0.07,0.016,12.5,20,-40,105,0.25,0.125,6000,1.33,1.27,1.0,1.2,0.041,208,1000,UHV0J332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,20790.0,Normal,3.43
6.3,3900,0.065,0.06,0.016,12.5,20,-40,105,0.25,0.105,6000,1.33,1.27,1.0,1.2,0.041,246,1000,UHV0J392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2725,MP,24570.0,Normal,3.43
6.3,4700,0.075,0.071,0.014,12.5,25,-40,105,0.27,0.099,6000,1.18,1.15,1.0,1.12,0.036,296,800,UHV0J472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3190,MP,29610.0,Normal,4.56
6.3,5600,0.07,0.066,0.012,12.5,30.5,-40,105,0.29,0.092,6000,1.18,1.15,1.0,1.12,0.031,353,600,UHV0J562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,35280.0,Normal,6.01
6.3,6800,0.063,0.06,0.011,12.5,35.5,-40,105,0.31,0.084,6000,1.18,1.15,1.0,1.12,0.029,428,500,UHV0J682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3925,MP,42840.0,Normal,7.06
6.3,6800,0.063,0.06,0.014,16,20,-40,105,0.31,0.084,6000,1.18,1.15,1.0,1.12,0.036,428,600,UHV0J682MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,42840.0,Normal,6.6
6.3,8200,0.062,0.059,0.012,16,25,-40,105,0.35,0.082,6000,1.18,1.15,1.0,1.12,0.033,517,400,UHV0J822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3990,MP,51660.0,Normal,8.2
10,150,0.314,0.255,0.23,5,11,-40,105,0.18,1.592,5000,2.5,2.25,1.0,1.88,0.76,15,6000,UHV1A151MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,360,EOL,1500.0,Normal,0.44
10,220,0.307,0.271,0.1,6.3,11,-40,105,0.18,1.085,5000,2.0,1.88,1.0,1.7,0.33,22,4000,UHV1A221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,2200.0,Normal,0.59
10,330,0.205,0.181,0.1,6.3,11,-40,105,0.18,0.723,5000,2.0,1.88,1.0,1.7,0.33,33,4000,UHV1A331MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,EOL,3300.0,Normal,0.59
10,470,0.144,0.127,0.059,8,11.5,-40,105,0.18,0.508,6000,2.0,1.88,1.0,1.7,0.181,47,3000,UHV1A471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,820,MP,4700.0,Normal,1.19
10,680,0.141,0.126,0.059,8,11.5,-40,105,0.18,0.351,6000,1.67,1.58,1.0,1.45,0.181,68,3000,UHV1A681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,990,MP,6800.0,Normal,1.19
10,820,0.117,0.104,0.043,10,12.5,-40,105,0.18,0.291,6000,1.67,1.58,1.0,1.45,0.133,82,2000,UHV1A821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,MP,8200.0,Normal,1.49
10,1000,0.106,0.095,0.046,8,15,-40,105,0.18,0.265,6000,1.67,1.58,1.0,1.45,0.143,100,2000,UHV1A102MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1330,MP,10000.0,Normal,1.36
10,1000,0.106,0.095,0.043,10,12.5,-40,105,0.18,0.265,6000,1.67,1.58,1.0,1.45,0.133,100,2000,UHV1A102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1360,MP,10000.0,Normal,1.49
