Voltage,Capacitance,ESR(est.) 20°C@10kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,10kHz.1,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,VC,Vibration resistant,Weight (g)
6.3,220,0.358,0.47,5,11,1.0,-40,105,0.21,1.266,6000,1.88,1.0,1.7,1.5,14,6000,UHW0J221MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,1386.0,Normal,0.44
6.3,470,0.168,0.2,6.3,11,1.0,-40,105,0.21,0.593,6000,1.88,1.0,1.7,0.66,30,4000,UHW0J471MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,2961.0,Normal,0.59
6.3,820,0.136,0.1,8,11.5,1.0,-40,105,0.21,0.34,8000,1.58,1.0,1.45,0.36,52,3000,UHW0J821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,5166.0,Normal,1.19
6.3,1000,0.122,0.054,8,15,1.0,-40,105,0.21,0.305,9000,1.58,1.0,1.45,0.17,63,2000,UHW0J102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,6300.0,Normal,1.36
6.3,1200,0.102,0.048,10,12.5,1.0,-40,105,0.21,0.254,10000,1.58,1.0,1.45,0.15,76,2000,UHW0J122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,7560.0,Normal,1.49
6.3,1500,0.081,0.038,8,20,1.0,-40,105,0.21,0.203,9000,1.58,1.0,1.45,0.12,95,2000,UHW0J152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,9450.0,Normal,1.66
6.3,1800,0.068,0.03,10,16,1.0,-40,105,0.21,0.169,10000,1.58,1.0,1.45,0.09,113,1800,UHW0J182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,11340.0,Normal,1.77
6.3,2200,0.101,0.02,10,20,1.0,-40,105,0.23,0.163,10000,1.27,1.0,1.2,0.06,139,1400,UHW0J222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,13860.0,Normal,2.34
6.3,2700,0.082,0.02,10,20,1.0,-40,105,0.23,0.133,10000,1.27,1.0,1.2,0.06,170,1400,UHW0J272MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,17010.0,Normal,2.34
6.3,3300,0.077,0.017,10,25,1.0,-40,105,0.25,0.125,10000,1.27,1.0,1.2,0.051,208,1200,UHW0J332MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2900,MP,20790.0,Normal,3.07
6.3,3900,0.065,0.017,12.5,20,1.0,-40,105,0.25,0.105,10000,1.27,1.0,1.2,0.051,246,1000,UHW0J392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2600,MP,24570.0,Normal,3.43
6.3,4700,0.075,0.015,12.5,25,1.0,-40,105,0.27,0.099,10000,1.15,1.0,1.12,0.045,296,800,UHW0J472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,29610.0,Normal,4.56
6.3,5600,0.07,0.015,12.5,25,1.0,-40,105,0.29,0.092,10000,1.15,1.0,1.12,0.045,353,800,UHW0J562MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,35280.0,Normal,4.56
6.3,5600,0.07,0.012,12.5,30.5,1.0,-40,105,0.29,0.092,10000,1.15,1.0,1.12,0.036,353,600,UHW0J562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,35280.0,Normal,6.01
6.3,6800,0.063,0.012,12.5,30.5,1.0,-40,105,0.31,0.084,10000,1.15,1.0,1.12,0.033,428,600,UHW0J682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,42840.0,Normal,6.01
6.3,6800,0.063,0.015,16,20,1.0,-40,105,0.31,0.084,10000,1.15,1.0,1.12,0.045,428,600,UHW0J682MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,42840.0,Normal,6.6
6.3,8200,0.062,0.013,16,25,1.0,-40,105,0.35,0.082,10000,1.15,1.0,1.12,0.039,517,400,UHW0J822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,51660.0,Normal,8.2
6.3,10000,0.059,0.013,16,25,1.0,-40,105,0.39,0.078,10000,1.15,1.0,1.12,0.039,630,400,UHW0J103MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,63000.0,Normal,8.2
6.3,12000,0.056,0.011,16,30.5,1.0,-40,105,0.43,0.074,10000,1.15,1.0,1.12,0.033,756,300,UHW0J123MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4000,MP,75600.0,Normal,9.6
6.3,15000,0.053,0.01,16,35.5,1.0,-40,105,0.49,0.07,10000,1.15,1.0,1.12,0.03,945,300,UHW0J153MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4200,MP,94500.0,Normal,11.8
10,150,0.314,0.47,5,11,1.0,-40,105,0.18,1.592,7000,2.25,1.0,1.88,1.5,15,6000,UHW1A151MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,1500.0,Normal,0.44
10,330,0.205,0.2,6.3,11,1.0,-40,105,0.18,0.723,7000,1.88,1.0,1.7,0.66,33,4000,UHW1A331MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,3300.0,Normal,0.59
10,560,0.121,0.1,8,11.5,1.0,-40,105,0.18,0.426,9000,1.88,1.0,1.7,0.36,56,3000,UHW1A561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,5600.0,Normal,1.19
10,820,0.117,0.054,8,15,1.0,-40,105,0.18,0.291,10000,1.58,1.0,1.45,0.17,82,2000,UHW1A821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,8200.0,Normal,1.36
10,1000,0.106,0.048,10,12.5,1.0,-40,105,0.18,0.265,10000,1.58,1.0,1.45,0.15,100,2000,UHW1A102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,10000.0,Normal,1.49
10,1200,0.089,0.038,8,20,1.0,-40,105,0.18,0.221,10000,1.58,1.0,1.45,0.12,120,2000,UHW1A122MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,12000.0,Normal,1.66
10,1200,0.089,0.03,10,16,1.0,-40,105,0.18,0.221,10000,1.58,1.0,1.45,0.09,120,1800,UHW1A122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,12000.0,Normal,1.77
10,1500,0.071,0.03,10,16,1.0,-40,105,0.18,0.177,10000,1.58,1.0,1.45,0.09,150,1800,UHW1A152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,15000.0,Normal,1.77
10,1800,0.059,0.02,10,20,1.0,-40,105,0.18,0.147,10000,1.58,1.0,1.45,0.06,180,1400,UHW1A182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,18000.0,Normal,2.34
10,2200,0.09,0.017,10,25,1.0,-40,105,0.2,0.145,10000,1.27,1.0,1.2,0.051,220,1200,UHW1A222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2900,MP,22000.0,Normal,3.07
10,2700,0.073,0.017,12.5,20,1.0,-40,105,0.2,0.118,10000,1.27,1.0,1.2,0.051,270,1000,UHW1A272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2600,MP,27000.0,Normal,3.43
10,3300,0.07,0.017,12.5,20,1.0,-40,105,0.22,0.113,10000,1.27,1.0,1.2,0.051,330,1000,UHW1A332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2600,MP,33000.0,Normal,3.43
10,3900,0.059,0.015,12.5,25,1.0,-40,105,0.22,0.095,10000,1.27,1.0,1.2,0.045,390,800,UHW1A392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,39000.0,Normal,4.56
10,4700,0.068,0.012,12.5,30.5,1.0,-40,105,0.24,0.09,10000,1.15,1.0,1.12,0.036,470,600,UHW1A472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,47000.0,Normal,6.01
10,4700,0.068,0.015,16,20,1.0,-40,105,0.24,0.09,10000,1.15,1.0,1.12,0.045,470,600,UHW1A472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,47000.0,Normal,6.6
10,5600,0.064,0.011,12.5,35.5,1.0,-40,105,0.26,0.085,10000,1.15,1.0,1.12,0.033,560,500,UHW1A562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4120,MP,56000.0,Normal,7.06
10,5600,0.064,0.013,16,25,1.0,-40,105,0.26,0.085,10000,1.15,1.0,1.12,0.039,560,400,UHW1A562MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,56000.0,Normal,8.2
10,6800,0.059,0.013,16,25,1.0,-40,105,0.28,0.078,10000,1.15,1.0,1.12,0.039,680,400,UHW1A682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,68000.0,Normal,8.2
10,8200,0.059,0.011,16,30.5,1.0,-40,105,0.32,0.078,10000,1.15,1.0,1.12,0.033,820,300,UHW1A822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4000,MP,82000.0,Normal,9.6
10,10000,0.056,0.011,16,30.5,1.0,-40,105,0.36,0.074,10000,1.15,1.0,1.12,0.033,1000,300,UHW1A103MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4000,MP,100000.0,Normal,9.6
10,12000,0.053,0.01,16,35.5,1.0,-40,105,0.4,0.071,10000,1.15,1.0,1.12,0.03,1200,300,UHW1A123MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4200,MP,120000.0,Normal,11.8
16,120,0.327,0.47,5,11,1.0,-40,105,0.15,1.658,7000,2.25,1.0,1.88,1.5,19,6000,UHW1C121MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,1920.0,Normal,0.44
16,270,0.208,0.2,6.3,11,1.0,-40,105,0.15,0.737,7000,1.88,1.0,1.7,0.66,43,4000,UHW1C271MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,4320.0,Normal,0.59
16,470,0.12,0.1,8,11.5,1.0,-40,105,0.15,0.423,9000,1.88,1.0,1.7,0.36,75,3000,UHW1C471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,7520.0,Normal,1.19
16,560,0.101,0.054,8,15,1.0,-40,105,0.15,0.355,10000,1.88,1.0,1.7,0.17,90,2000,UHW1C561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,8960.0,Normal,1.36
16,680,0.117,0.048,10,12.5,1.0,-40,105,0.15,0.293,10000,1.58,1.0,1.45,0.15,109,2000,UHW1C681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,10880.0,Normal,1.49
16,820,0.097,0.038,8,20,1.0,-40,105,0.15,0.243,10000,1.58,1.0,1.45,0.12,131,2000,UHW1C821MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,13120.0,Normal,1.66
16,820,0.097,0.03,10,16,1.0,-40,105,0.15,0.243,10000,1.58,1.0,1.45,0.09,131,1800,UHW1C821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,13120.0,Normal,1.77
16,1000,0.09,0.038,8,20,1.0,-40,105,0.15,0.225,10000,1.58,1.0,1.45,0.12,160,2000,UHW1C102MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,16000.0,Normal,1.66
