Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,22,,,5,11,-55,105,0.3,18.086,2000,4,6000,UKA0J220MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,45,,,,EOL,138.6,Normal,0.44
6.3,33,,,5,11,-55,105,0.3,12.057,2000,6,6000,UKA0J330MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,55,,,,EOL,207.9,Normal,0.44
6.3,47,,,5,11,-55,105,0.3,8.466,2000,9,6000,UKA0J470MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,65,,,,EOL,296.09999999999997,Normal,0.44
6.3,100,1.768,1.768,5,11,-55,105,0.3,3.979,2000,19,6000,UKA0J101MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,142.5,142.5,95,127.3,116.85,76,EOL,630,Normal,0.44
6.3,220,0.804,0.804,6.3,11,-55,105,0.3,1.809,2000,42,4000,UKA0J221MED,Uni-Polar,Radial Lead,105degC Hi-Grade,240,240,160,214.4,196.8,128,EOL,1386,Normal,0.59
6.3,330,0.536,0.536,6.3,11,-55,105,0.3,1.206,2000,62,4000,UKA0J331MED,Uni-Polar,Radial Lead,105degC Hi-Grade,292.5,292.5,195,261.3,239.85,156,EOL,2079,Normal,0.59
6.3,470,0.376,0.376,8,11.5,-55,105,0.3,0.847,2000,89,3000,UKA0J471MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,405,405,270,361.8,332.1,216,MP,2961,Normal,1.19
6.3,1000,0.321,0.321,10,12.5,-55,105,0.3,0.424,2000,189,2000,UKA0J102MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,483,483,420,474.6,462,357,MP,6300,Normal,1.49
6.3,2200,0.164,0.164,10,20,-55,105,0.32,0.217,2000,416,1400,UKA0J222MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,816.5,816.5,710,802.3,781,603.5,MP,13860,Normal,2.34
6.3,3300,0.122,0.122,12.5,20,-55,105,0.34,0.161,2000,624,1000,UKA0J332MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1046.5,1046.5,910,1028.3,1001,773.5,MP,20790,Normal,3.43
6.3,4700,0.094,0.094,12.5,25,-55,105,0.36,0.124,2000,888,800,UKA0J472MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1288,1288,1120,1265.6,1232,952,MP,29610,Normal,4.56
6.3,6800,0.077,0.077,12.5,35.5,-55,105,0.4,0.101,2000,1285,500,UKA0J682MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1564,1564,1360,1536.8,1496,1156,MP,42840,Normal,7.06
6.3,10000,0.068,0.068,12.5,40,-55,105,0.48,0.09,2000,1890,400,UKA0J103MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1897.5,1897.5,1650,1864.5,1815,1402.5,MP,63000,Normal,7.57
6.3,15000,0.059,0.059,16,35.5,-55,105,0.58,0.078,2000,2835,300,UKA0J153MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,2311.5,2311.5,2010,2271.3,2211,1708.5,MP,94500,Normal,11.8
6.3,22000,0.053,0.053,18,40,-55,105,0.72,0.07,2000,4158,200,UKA0J223MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,2702.5,2702.5,2350,2655.5,2585,1997.5,MP,138600,Normal,17.7
10,22,,,5,11,-55,105,0.26,15.674,2000,7,6000,UKA1A220MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,45,,,,EOL,220,Normal,0.44
10,33,,,5,11,-55,105,0.26,10.45,2000,10,6000,UKA1A330MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,58,,,,EOL,330,Normal,0.44
10,47,,,5,11,-55,105,0.26,7.337,2000,14,6000,UKA1A470MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,68,,,,EOL,470,Normal,0.44
10,100,1.533,1.533,5,11,-55,105,0.26,3.448,2000,30,6000,UKA1A101MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,157.5,157.5,105,140.7,129.15,84,EOL,1000,Normal,0.44
10,220,0.697,0.697,6.3,11,-55,105,0.26,1.567,2000,66,4000,UKA1A221MED,Uni-Polar,Radial Lead,105degC Hi-Grade,262.5,262.5,175,234.5,215.25,140,EOL,2200,Normal,0.59
10,330,0.464,0.464,8,11.5,-55,105,0.26,1.045,2000,99,3000,UKA1A331MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,360,360,240,321.6,295.2,192,MP,3300,Normal,1.19
10,470,0.326,0.326,8,11.5,-55,105,0.26,0.734,2000,141,3000,UKA1A471MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,420,420,280,375.2,344.4,224,MP,4700,Normal,1.19
10,1000,0.281,0.281,10,16,-55,105,0.26,0.371,2000,300,1800,UKA1A102MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,575,575,500,565,550,425,MP,10000,Normal,1.77
10,2200,0.146,0.146,12.5,20,-55,105,0.28,0.193,2000,660,1000,UKA1A222MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,931.5,931.5,810,915.3,891,688.5,MP,22000,Normal,3.43
10,3300,0.109,0.109,12.5,25,-55,105,0.3,0.145,2000,990,800,UKA1A332MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1207.5,1207.5,1050,1186.5,1155,892.5,MP,33000,Normal,4.56
10,4700,0.085,0.085,12.5,35.5,-55,105,0.32,0.113,2000,1410,500,UKA1A472MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1495,1495,1300,1469,1430,1105,MP,47000,Normal,7.06
10,6800,0.071,0.071,12.5,40,-55,105,0.36,0.094,2000,2040,400,UKA1A682MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1805.5,1805.5,1570,1774.1,1727,1334.5,MP,68000,Normal,7.57
10,10000,0.064,0.064,16,35.5,-55,105,0.44,0.085,2000,3000,300,UKA1A103MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,2173.5,2173.5,1890,2135.7,2079,1606.5,MP,100000,Normal,11.8
10,15000,0.056,0.056,18,40,-55,105,0.54,0.074,2000,4500,200,UKA1A153MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,2760,2760,2400,2712,2640,2040,MP,150000,Normal,17.7
16,22,,,5,11,-55,105,0.22,13.263,2000,11,6000,UKA1C220MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,54,,,,EOL,352,Normal,0.44
16,33,,,5,11,-55,105,0.22,8.842,2000,16,6000,UKA1C330MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,65,,,,EOL,528,Normal,0.44
16,47,,,5,11,-55,105,0.22,6.208,2000,23,6000,UKA1C470MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,79,,,,EOL,752,Normal,0.44
16,100,1.297,1.297,5,11,-55,105,0.22,2.918,2000,48,6000,UKA1C101MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,172.5,172.5,115,154.1,141.45,92,EOL,1600,Normal,0.44
16,220,0.589,0.589,6.3,11,-55,105,0.22,1.326,2000,106,4000,UKA1C221MED,Uni-Polar,Radial Lead,105degC Hi-Grade,285,285,190,254.6,233.7,152,EOL,3520,Normal,0.59
16,330,0.393,0.393,8,11.5,-55,105,0.22,0.884,2000,158,3000,UKA1C331MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,397.5,397.5,265,355.1,325.95,212,MP,5280,Normal,1.19
16,470,0.276,0.276,8,11.5,-55,105,0.22,0.621,2000,226,3000,UKA1C471MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,472.5,472.5,315,422.1,387.45,252,MP,7520,Normal,1.19
16,1000,0.241,0.241,10,16,-55,105,0.22,0.318,2000,480,1800,UKA1C102MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,644,644,560,632.8,616,476,MP,16000,Normal,1.77
16,2200,0.128,0.128,12.5,20,-55,105,0.24,0.169,2000,1056,1000,UKA1C222MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1058,1058,920,1039.6,1012,782,MP,35200,Normal,3.43
16,3300,0.097,0.097,12.5,30.5,-55,105,0.26,0.129,2000,1584,600,UKA1C332MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1460.5,1460.5,1270,1435.1,1397,1079.5,MP,52800,Normal,6.01
16,4700,0.077,0.077,12.5,35.5,-55,105,0.28,0.102,2000,2256,500,UKA1C472MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1702,1702,1480,1672.4,1628,1258,MP,75200,Normal,7.06
16,6800,0.065,0.065,16,30.5,-55,105,0.32,0.086,2000,3264,300,UKA1C682MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,2047,2047,1780,2011.4,1958,1513,MP,108800,Normal,9.6
16,10000,0.06,0.06,18,35.5,-55,105,0.4,0.08,2000,4800,250,UKA1C103MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,2369,2369,2060,2327.8,2266,1751,MP,160000,Normal,14.2
25,22,,,5,11,-55,105,0.18,10.851,2000,17,6000,UKA1E220MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,58,,,,EOL,550,Normal,0.44
25,33,,,5,11,-55,105,0.18,7.234,2000,25,6000,UKA1E330MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,68,,,,EOL,825,Normal,0.44
25,47,,,5,11,-55,105,0.18,5.079,2000,35,6000,UKA1E470MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,83,,,,EOL,1175,Normal,0.44
25,100,1.061,1.061,6.3,11,-55,105,0.18,2.387,2000,75,4000,UKA1E101MED,Uni-Polar,Radial Lead,105degC Hi-Grade,210,210,140,187.6,172.2,112,EOL,2500,Normal,0.59
25,220,0.482,0.482,8,11.5,-55,105,0.18,1.085,2000,165,3000,UKA1E221MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,360,360,240,321.6,295.2,192,MP,5500,Normal,1.19
25,330,0.322,0.322,8,11.5,-55,105,0.18,0.723,2000,248,3000,UKA1E331MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,435,435,290,388.6,356.7,232,MP,8250,Normal,1.19
25,470,0.226,0.226,10,12.5,-55,105,0.18,0.508,2000,353,2000,UKA1E471MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,570,570,380,509.2,467.4,304,MP,11750,Normal,1.49
25,1000,0.201,0.201,10,20,-55,105,0.18,0.265,2000,750,1400,UKA1E102MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,782,782,680,768.4,748,578,MP,25000,Normal,2.34
25,2200,0.109,0.109,12.5,30.5,-55,105,0.2,0.145,2000,1650,600,UKA1E222MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1380,1380,1200,1356,1320,1020,MP,55000,Normal,6.01
25,3300,0.085,0.085,12.5,35.5,-55,105,0.22,0.113,2000,2475,500,UKA1E332MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1610,1610,1400,1582,1540,1190,MP,82500,Normal,7.06
25,4700,0.068,0.068,16,30.5,-55,105,0.24,0.09,2000,3525,300,UKA1E472MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1966.5,1966.5,1710,1932.3,1881,1453.5,MP,117500,Normal,9.6
25,6800,0.059,0.059,18,35.5,-55,105,0.28,0.078,2000,5100,250,UKA1E682MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,2346,2346,2040,2305.2,2244,1734,MP,170000,Normal,14.2
35,22,,,5,11,-55,105,0.16,9.646,2000,23,6000,UKA1V220MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,61,,,,EOL,770,Normal,0.44
35,33,,,5,11,-55,105,0.16,6.431,2000,35,6000,UKA1V330MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,75,,,,EOL,1155,Normal,0.44
35,47,,,5,11,-55,105,0.16,4.515,2000,49,6000,UKA1V470MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,93,,,,EOL,1645,Normal,0.44
35,100,0.943,0.943,6.3,11,-55,105,0.16,2.122,2000,105,4000,UKA1V101MED,Uni-Polar,Radial Lead,105degC Hi-Grade,225,225,150,201,184.5,120,EOL,3500,Normal,0.59
35,220,0.429,0.429,8,11.5,-55,105,0.16,0.965,2000,231,3000,UKA1V221MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,390,390,260,348.4,319.8,208,MP,7700,Normal,1.19
