Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,VC,Vibration resistant,Weight (g)
6.3,330,6.3,11,-40,85,0.28,1.125,2000,1.5,1.0,1.34,1.23,0.8,62,4000,UKW0J331MED,Uni-Polar,Radial Lead,Standard,265,EOL,2079.0,Normal,0.59
6.3,470,6.3,11,-40,85,0.28,0.79,2000,1.5,1.0,1.34,1.23,0.8,89,4000,UKW0J471MED,Uni-Polar,Radial Lead,Standard,310,EOL,2961.0,Normal,0.59
6.3,1000,8,11.5,-40,85,0.28,0.398,2000,1.15,1.0,1.13,1.1,0.85,189,3000,UKW0J102MPD,Uni-Polar,Radial Lead,Standard,530,EOL,6300.0,Normal,1.19
6.3,2200,10,20,-40,85,0.3,0.205,2000,1.15,1.0,1.13,1.1,0.85,416,1400,UKW0J222MPD,Uni-Polar,Radial Lead,Standard,980,EOL,13860.0,Normal,2.34
6.3,3300,10,20,-40,85,0.32,0.153,2000,1.15,1.0,1.13,1.1,0.85,624,1400,UKW0J332MPD,Uni-Polar,Radial Lead,Standard,1170,EOL,20790.0,Normal,2.34
6.3,4700,12.5,20,-40,85,0.34,0.119,2000,1.15,1.0,1.13,1.1,0.85,888,1000,UKW0J472MHD,Uni-Polar,Radial Lead,Standard,1350,EOL,29610.0,Normal,3.43
6.3,6800,12.5,25,-40,85,0.38,0.098,2000,1.15,1.0,1.13,1.1,0.85,1285,800,UKW0J682MHD,Uni-Polar,Radial Lead,Standard,1600,EOL,42840.0,Normal,4.56
6.3,10000,16,25,-40,85,0.46,0.088,2000,1.15,1.0,1.13,1.1,0.85,1890,400,UKW0J103MHD,Uni-Polar,Radial Lead,Standard,2000,EOL,63000.0,Normal,8.2
6.3,15000,16,35.5,-40,85,0.56,0.076,2000,1.15,1.0,1.13,1.1,0.85,2835,300,UKW0J153MHD,Uni-Polar,Radial Lead,Standard,2550,EOL,94500.0,Normal,11.8
6.3,22000,18,40,-40,85,0.7,0.069,2000,,,,,,4158,200,UKW0J223MHD,Uni-Polar,Radial Lead,Standard,3200,EOL,138600.0,Normal,17.7
6.3,33000,22,50,-40,85,0.92,0.064,2000,,,,,,6237,250,UKW0J333MRD,Uni-Polar,Radial Lead,Standard,3900,EOL,207900.0,Normal,27.4
10,100,5,11,-40,85,0.24,3.183,2000,1.5,1.0,1.34,1.23,0.8,30,6000,UKW1A101MDD,Uni-Polar,Radial Lead,Standard,145,EOL,1000.0,Normal,0.44
10,220,6.3,11,-40,85,0.24,1.447,2000,1.5,1.0,1.34,1.23,0.8,66,4000,UKW1A221MED,Uni-Polar,Radial Lead,Standard,230,EOL,2200.0,Normal,0.59
10,330,6.3,11,-40,85,0.24,0.965,2000,1.5,1.0,1.34,1.23,0.8,99,4000,UKW1A331MED,Uni-Polar,Radial Lead,Standard,270,EOL,3300.0,Normal,0.59
10,470,6.3,11,-40,85,0.24,0.677,2000,1.5,1.0,1.34,1.23,0.8,141,4000,UKW1A471MED,Uni-Polar,Radial Lead,Standard,330,EOL,4700.0,Normal,0.59
10,1000,10,12.5,-40,85,0.24,0.345,2000,1.15,1.0,1.13,1.1,0.85,300,2000,UKW1A102MPD,Uni-Polar,Radial Lead,Standard,630,MP,10000.0,Normal,1.49
10,2200,10,20,-40,85,0.26,0.181,2000,1.15,1.0,1.13,1.1,0.85,660,1400,UKW1A222MPD,Uni-Polar,Radial Lead,Standard,1050,MP,22000.0,Normal,2.34
10,3300,12.5,20,-40,85,0.28,0.137,2000,1.15,1.0,1.13,1.1,0.85,990,1000,UKW1A332MHD,Uni-Polar,Radial Lead,Standard,1420,MP,33000.0,Normal,3.43
10,4700,12.5,25,-40,85,0.3,0.107,2000,1.15,1.0,1.13,1.1,0.85,1410,800,UKW1A472MHD,Uni-Polar,Radial Lead,Standard,1800,MP,47000.0,Normal,4.56
10,6800,16,25,-40,85,0.34,0.09,2000,1.15,1.0,1.13,1.1,0.85,2040,400,UKW1A682MHD,Uni-Polar,Radial Lead,Standard,2150,MP,68000.0,Normal,8.2
10,10000,16,35.5,-40,85,0.42,0.082,2000,1.15,1.0,1.13,1.1,0.85,3000,300,UKW1A103MHD,Uni-Polar,Radial Lead,Standard,2500,MP,100000.0,Normal,11.8
10,15000,18,35.5,-40,85,0.52,0.073,2000,1.15,1.0,1.13,1.1,0.85,4500,250,UKW1A153MHD,Uni-Polar,Radial Lead,Standard,2720,MP,150000.0,Normal,14.2
10,22000,20,40,-40,85,0.66,0.066,2000,,,,,,6600,150,UKW1A223MRD,Uni-Polar,Radial Lead,Standard,3700,EOL,220000.0,Normal,19.6
10,33000,22,50,-40,85,0.88,0.062,2000,,,,,,9900,250,UKW1A333MRD,Uni-Polar,Radial Lead,Standard,4500,EOL,330000.0,Normal,27.4
16,100,5,11,-40,85,0.2,2.653,2000,1.5,1.0,1.34,1.23,0.8,48,6000,UKW1C101MDD,Uni-Polar,Radial Lead,Standard,155,EOL,1600.0,Normal,0.44
16,220,6.3,11,-40,85,0.2,1.206,2000,1.5,1.0,1.34,1.23,0.8,106,4000,UKW1C221MED,Uni-Polar,Radial Lead,Standard,250,EOL,3520.0,Normal,0.59
16,330,8,11.5,-40,85,0.2,0.804,2000,1.5,1.0,1.34,1.23,0.8,158,3000,UKW1C331MPD,Uni-Polar,Radial Lead,Standard,360,MP,5280.0,Normal,1.19
