Voltage,Capacitance,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 200kHz,Frequency Coefficient 300Hz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@120Hz,Status,VC,Vibration resistant,Weight (g)
6.3,100,1.4,5,11,-55,105,0.22,2.918,2000,1.49,1.0,1.4,1.49,1.15,3.5,19,6000,UPJ0J101MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,150,99.0,EOL,630.0,Normal,0.44
6.3,120,1.1,5,11,-55,105,0.22,2.432,2000,,,,,,2.8,23,6000,UPJ0J121MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,175,115.0,EOL,756.0,Normal,0.44
6.3,150,0.78,6.3,11,-55,105,0.22,1.945,2000,1.43,1.0,1.36,1.43,1.13,2.1,28,4000,UPJ0J151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,225,155.0,EOL,945.0,Normal,0.59
6.3,180,0.6,6.3,11,-55,105,0.22,1.621,2000,,,,,,1.5,34,4000,UPJ0J181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,250,175.0,EOL,1134.0,Normal,0.59
6.3,220,0.48,6.3,11,-55,105,0.22,1.326,2000,1.39,1.0,1.33,1.39,1.13,1.2,42,4000,UPJ0J221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,285,205.0,EOL,1386.0,Normal,0.59
6.3,270,0.39,6.3,15,-55,105,0.22,1.081,2000,,,,,,1.0,51,4000,UPJ0J271MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,370,275.0,EOL,1701.0,Normal,0.72
6.3,330,0.32,6.3,15,-55,105,0.22,0.884,2000,1.35,1.0,1.31,1.35,1.12,0.8,62,4000,UPJ0J331MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,310.0,EOL,2079.0,Normal,0.72
6.3,390,0.27,8,11.5,-55,105,0.22,0.748,3000,,,,,,0.68,74,3000,UPJ0J391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,445,345.0,MP,2457.0,Normal,1.19
6.3,470,0.22,8,15,-55,105,0.22,0.621,3000,1.3,1.0,1.26,1.3,1.1,0.55,89,2000,UPJ0J471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,435.0,MP,2961.0,Normal,1.36
6.3,470,0.23,10,12.5,-55,105,0.22,0.621,5000,1.3,1.0,1.26,1.3,1.1,0.58,89,2000,UPJ0J471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,575,455.0,MP,2961.0,Normal,1.49
6.3,560,0.19,8,15,-55,105,0.22,0.521,3000,,,,,,0.48,106,2000,UPJ0J561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,595,480.0,MP,3528.0,Normal,1.36
6.3,560,0.21,10,12.5,-55,105,0.22,0.521,5000,,,,,,0.53,106,2000,UPJ0J561MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,600,485.0,MP,3528.0,Normal,1.49
6.3,680,0.16,8,20,-55,105,0.22,0.429,3000,1.27,1.0,1.24,1.27,1.1,0.4,129,2000,UPJ0J681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,730,605.0,MP,4284.0,Normal,1.66
6.3,680,0.18,10,16,-55,105,0.22,0.429,5000,1.27,1.0,1.24,1.27,1.1,0.45,129,1800,UPJ0J681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,580.0,MP,4284.0,Normal,1.77
6.3,820,0.13,8,20,-55,105,0.22,0.356,3000,,,,,,0.33,155,2000,UPJ0J821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,795,670.0,MP,5166.0,Normal,1.66
6.3,820,0.15,10,16,-55,105,0.22,0.356,5000,,,,,,0.38,155,1800,UPJ0J821MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,750,635.0,MP,5166.0,Normal,1.77
6.3,1000,0.12,10,20,-55,105,0.22,0.318,5000,1.23,1.0,1.22,1.23,1.09,0.3,189,1400,UPJ0J102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,950,820.0,MP,6300.0,Normal,2.34
6.3,1000,0.13,12.5,15,-55,105,0.22,0.318,5000,1.23,1.0,1.22,1.23,1.09,0.33,189,1200,UPJ0J102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,890,765.0,MP,6300.0,Normal,2.96
6.3,1200,0.1,10,20,-55,105,0.22,0.265,5000,,,,,,0.25,227,1400,UPJ0J122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1020,895.0,MP,7560.0,Normal,2.34
6.3,1200,0.12,12.5,15,-55,105,0.22,0.265,5000,,,,,,0.3,227,1200,UPJ0J122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,950,835.0,MP,7560.0,Normal,2.96
6.3,1500,0.084,10,25,-55,105,0.22,0.212,5000,1.2,1.0,1.19,1.2,1.08,0.21,284,1200,UPJ0J152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1220,1090.0,MP,9450.0,Normal,3.07
6.3,1500,0.1,12.5,15,-55,105,0.22,0.212,5000,1.2,1.0,1.19,1.2,1.08,0.25,284,1200,UPJ0J152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1020,915.0,MP,9450.0,Normal,2.96
6.3,1800,0.078,10,30.5,-55,105,0.22,0.177,5000,,,,,,0.2,340,1000,UPJ0J182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1370,1230.0,MP,11340.0,Normal,3.21
6.3,1800,0.084,16,15,-55,105,0.22,0.177,5000,,,,,,0.21,340,700,UPJ0J182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1270,1140.0,MP,11340.0,Normal,4.74
6.3,2200,0.066,10,30.5,-55,105,0.24,0.169,5000,1.19,1.0,1.18,1.19,1.08,0.17,416,1000,UPJ0J222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1470,1320.0,MP,13860.0,Normal,3.21
6.3,2200,0.078,16,15,-55,105,0.24,0.169,5000,1.19,1.0,1.18,1.19,1.08,0.2,416,700,UPJ0J222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1340,1200.0,MP,13860.0,Normal,4.74
6.3,2700,0.051,12.5,25,-55,105,0.24,0.138,5000,,,,,,0.14,510,800,UPJ0J272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1590,1430.0,MP,17010.0,Normal,4.56
6.3,2700,0.072,18,15,-55,105,0.24,0.138,5000,,,,,,0.18,510,400,UPJ0J272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1500,1350.0,MP,17010.0,Normal,6.31
6.3,3300,0.045,12.5,25,-55,105,0.26,0.129,5000,1.18,1.0,1.16,1.18,1.08,0.11,624,800,UPJ0J332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1710,1530.0,MP,20790.0,Normal,4.56
6.3,3300,0.065,18,15,-55,105,0.26,0.129,5000,1.18,1.0,1.16,1.18,1.08,0.16,624,400,UPJ0J332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,1440.0,MP,20790.0,Normal,6.31
6.3,3900,0.037,12.5,30.5,-55,105,0.26,0.109,5000,,,,,,0.093,737,600,UPJ0J392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1910,1710.0,MP,24570.0,Normal,6.01
6.3,3900,0.056,16,20,-55,105,0.26,0.109,5000,,,,,,0.14,737,600,UPJ0J392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1720,1540.0,MP,24570.0,Normal,6.6
6.3,4700,0.034,12.5,35.5,-55,105,0.28,0.102,5000,1.16,1.0,1.15,1.16,1.08,0.085,888,500,UPJ0J472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2100,1890.0,MP,29610.0,Normal,7.06
