Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Status,VC,Vibration resistant,Weight (g)
6.3,100,0.22,0.85,5,11,-55,105,2.918,2000,1.7,19,6000,UPM0J101MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,152.46,152.46,99,133.65,110.88,EOL,630,Normal,0.44
6.3,120,0.22,0.65,5,11,-55,105,2.432,2000,1.3,23,6000,UPM0J121MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,115,,,EOL,756,Normal,0.44
6.3,150,0.22,0.49,6.3,11,-55,105,1.945,2000,0.98,28,4000,UPM0J151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,227.85,227.85,155,204.6,170.5,EOL,945,Normal,0.59
6.3,180,0.22,0.39,6.3,11,-55,105,1.621,2000,0.78,34,4000,UPM0J181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,175,,,EOL,1134,Normal,0.59
6.3,220,0.22,0.3,6.3,11,-55,105,1.326,2000,0.6,42,4000,UPM0J221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,289.05,289.05,205,262.4,225.5,EOL,1386,Normal,0.59
6.3,270,0.22,0.24,6.3,15,-55,105,1.081,2000,0.48,51,4000,UPM0J271MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,275,,,EOL,1701,Normal,0.72
6.3,330,0.22,0.2,6.3,15,-55,105,0.884,2000,0.4,62,4000,UPM0J331MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,418.5,418.5,310,390.6,337.9,EOL,2079,Normal,0.72
6.3,390,0.22,0.17,8,11.5,-55,105,0.748,3000,0.34,74,3000,UPM0J391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,345,,,MP,2457,Normal,1.19
6.3,470,0.22,0.14,8,15,-55,105,0.621,3000,0.28,89,2000,UPM0J471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,572,572,440,536.8,475.2,MP,2961,Normal,1.36
6.3,470,0.22,0.14,10,12.5,-55,105,0.621,5000,0.28,89,2000,UPM0J471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,656.5,656.5,505,616.1,545.4,MP,2961,Normal,1.49
6.3,560,0.22,0.12,8,15,-55,105,0.521,3000,0.24,106,2000,UPM0J561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,485,,,MP,3528,Normal,1.36
6.3,560,0.22,0.13,10,12.5,-55,105,0.521,5000,0.26,106,2000,UPM0J561MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,545,,,MP,3528,Normal,1.49
6.3,680,0.22,0.1,8,20,-55,105,0.429,3000,0.2,129,2000,UPM0J681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,756.25,756.25,605,726,647.35,MP,4284,Normal,1.66
6.3,680,0.22,0.11,10,16,-55,105,0.429,5000,0.22,129,1800,UPM0J681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,856.25,856.25,685,822,732.95,MP,4284,Normal,1.77
6.3,820,0.22,0.085,8,20,-55,105,0.356,3000,0.17,155,2000,UPM0J821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,675,,,MP,5166,Normal,1.66
6.3,820,0.22,0.095,10,16,-55,105,0.356,5000,0.19,155,1800,UPM0J821MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,715,,,MP,5166,Normal,1.77
6.3,1000,0.22,0.075,10,20,-55,105,0.318,5000,0.15,189,1400,UPM0J102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,984,984,820,959.4,877.4,MP,6300,Normal,2.34
6.3,1000,0.22,0.085,12.5,15,-55,105,0.318,5000,0.17,189,1200,UPM0J102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,924,924,770,900.9,823.9,MP,6300,Normal,2.96
6.3,1200,0.22,0.065,10,20,-55,105,0.265,5000,0.13,227,1400,UPM0J122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,930,,,MP,7560,Normal,2.34
6.3,1200,0.22,0.075,12.5,15,-55,105,0.265,5000,0.15,227,1200,UPM0J122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,835,,,MP,7560,Normal,2.96
6.3,1500,0.22,0.055,10,25,-55,105,0.212,5000,0.11,284,1200,UPM0J152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1254.3,1254.3,1130,1231.7,1197.8,MP,9450,Normal,3.07
6.3,1500,0.22,0.065,12.5,15,-55,105,0.212,5000,0.13,284,1200,UPM0J152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1015.65,1015.65,915,997.35,969.9,MP,9450,Normal,2.96
6.3,1800,0.22,0.05,10,30.5,-55,105,0.177,5000,0.1,340,1000,UPM0J182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1230,,,MP,11340,Normal,3.21
6.3,1800,0.22,0.055,16,15,-55,105,0.177,5000,0.11,340,700,UPM0J182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1140,,,MP,11340,Normal,4.74
6.3,2200,0.24,0.043,10,30.5,-55,105,0.169,5000,0.086,416,1000,UPM0J222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1465.2,1465.2,1320,1438.8,1399.2,MP,13860,Normal,3.21
6.3,2200,0.24,0.049,16,15,-55,105,0.169,5000,0.098,416,700,UPM0J222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1332,1332,1200,1308,1272,MP,13860,Normal,4.74
6.3,2700,0.24,0.038,12.5,25,-55,105,0.138,5000,0.076,510,800,UPM0J272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1530,,,MP,17010,Normal,4.56
