Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
200,68,0.914,,10,30.5,-40,105,0.12,2.341,5000,826,1000,UPT2D680MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,560,350,490,437.5,280,MP,13600,Normal,3.21
200,82,0.758,,12.5,25,-40,105,0.12,1.941,5000,994,800,UPT2D820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,656,410,574,512.5,328,MP,16400,Normal,4.56
200,100,0.622,,12.5,30.5,-40,105,0.12,1.592,5000,1210,600,UPT2D101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,768,480,672,600,384,MP,20000,Normal,6.01
200,120,0.518,,12.5,30.5,-40,105,0.12,1.326,5000,1450,600,UPT2D121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,848,530,742,662.5,424,MP,24000,Normal,6.01
200,150,0.414,,12.5,35.5,-40,105,0.12,1.061,5000,1810,500,UPT2D151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,992,620,868,775,496,MP,30000,Normal,7.06
200,180,0.345,,12.5,40,-40,105,0.12,0.884,5000,2170,400,UPT2D181MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1120,700,980,875,560,MP,36000,Normal,7.57
200,220,0.283,,16,30.5,-40,105,0.12,0.723,5000,2650,300,UPT2D221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1216,760,1064,950,608,MP,44000,Normal,9.6
200,220,0.283,,18,30.5,-40,105,0.12,0.723,5000,2650,300,UPT2D221MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1296,810,1134,1012.5,648,MP,44000,Normal,13.1
200,270,0.23,,16,35.5,-40,105,0.12,0.589,5000,3250,300,UPT2D271MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1408,880,1232,1100,704,MP,54000,Normal,11.8
200,270,0.23,,18,30.5,-40,105,0.12,0.589,5000,3250,300,UPT2D271MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1392,870,1218,1087.5,696,MP,54000,Normal,13.1
200,330,0.188,,18,35.5,-40,105,0.12,0.482,5000,3970,250,UPT2D331MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1616,1010,1414,1262.5,808,MP,66000,Normal,14.2
200,390,0.159,,18,40,-40,105,0.12,0.408,5000,4690,200,UPT2D391MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1808,1130,1582,1412.5,904,MP,78000,Normal,17.7
200,470,0.132,,22,40,-40,105,0.12,0.339,5000,5650,250,UPT2D471MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1920,1200,1680,1500,960,EOL,94000,Normal,23.8
200,680,0.091,,22,50,-40,105,0.12,0.234,5000,8170,250,UPT2D681MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2400,1500,2100,1875,1200,EOL,136000,Normal,27.4
200,680,0.091,,25,40,-40,105,0.12,0.234,5000,8170,180,UPT2D681MRD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2400,1500,2100,1875,1200,EOL,136000,Normal,27.4
200,820,0.076,,25,50,-40,105,0.12,0.194,5000,9850,140,UPT2D821MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2560,1600,2240,2000,1280,EOL,164000,Normal,38.8
220,56,1.11,,10,30.5,-40,105,0.12,2.842,5000,749,1000,UPT2P560MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,464,290,406,362.5,232,MP,12320,Normal,3.21
220,68,0.914,,12.5,25,-40,105,0.12,2.341,5000,908,800,UPT2P680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,544,340,476,425,272,MP,14960,Normal,4.56
220,82,0.758,,12.5,30.5,-40,105,0.12,1.941,5000,1092,600,UPT2P820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,624,390,546,487.5,312,MP,18040,Normal,6.01
220,100,0.622,,12.5,30.5,-40,105,0.12,1.592,5000,1330,600,UPT2P101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,688,430,602,537.5,344,MP,22000,Normal,6.01
