Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,VC,Vibration resistant,Weight (g)
6.3,100,0.22,1.5,5,11,-55,105,2.918,5000,19,6000,UPV0J101MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,150,EOL,630,Normal,0.44
6.3,120,0.22,1.1,5,11,-55,105,2.432,5000,23,6000,UPV0J121MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,175,EOL,756,Normal,0.44
6.3,150,0.22,0.83,6.3,11,-55,105,1.945,5000,28,4000,UPV0J151MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,225,EOL,945,Normal,0.59
6.3,180,0.22,0.66,6.3,11,-55,105,1.621,5000,34,4000,UPV0J181MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,250,EOL,1134,Normal,0.59
6.3,220,0.22,0.51,6.3,11,-55,105,1.326,5000,42,4000,UPV0J221MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,285,EOL,1386,Normal,0.59
6.3,270,0.22,0.41,8,11.5,-55,105,1.081,5000,51,3000,UPV0J271MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,370,LTB,1701,Normal,1.19
6.3,330,0.22,0.34,8,11.5,-55,105,0.884,5000,62,3000,UPV0J331MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,405,LTB,2079,Normal,1.19
6.3,390,0.22,0.29,8,11.5,-55,105,0.748,5000,74,3000,UPV0J391MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,445,LTB,2457,Normal,1.19
10,68,0.19,1.4,5,11,-55,105,3.706,5000,20,6000,UPV1A680MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,155,EOL,680,Normal,0.44
10,82,0.19,1.1,5,11,-55,105,3.073,5000,25,6000,UPV1A820MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,175,EOL,820,Normal,0.44
10,100,0.19,0.94,6.3,11,-55,105,2.52,5000,30,4000,UPV1A101MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,210,EOL,1000,Normal,0.59
10,120,0.19,0.75,6.3,11,-55,105,2.1,5000,36,4000,UPV1A121MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,235,EOL,1200,Normal,0.59
10,150,0.19,0.6,6.3,11,-55,105,1.68,5000,45,4000,UPV1A151MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,265,EOL,1500,Normal,0.59
10,180,0.19,0.49,6.3,11,-55,105,1.4,5000,54,4000,UPV1A181MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,290,EOL,1800,Normal,0.59
10,220,0.19,0.41,8,11.5,-55,105,1.145,5000,66,3000,UPV1A221MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,370,LTB,2200,Normal,1.19
10,270,0.19,0.34,8,11.5,-55,105,0.933,5000,81,3000,UPV1A271MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,405,LTB,2700,Normal,1.19
10,330,0.19,0.27,8,11.5,-55,105,0.764,5000,99,3000,UPV1A331MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,460,LTB,3300,Normal,1.19
16,47,0.16,1.4,5,11,-55,105,4.515,5000,23,6000,UPV1C470MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,155,EOL,752,Normal,0.44
16,56,0.16,1.1,5,11,-55,105,3.789,5000,27,6000,UPV1C560MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,175,EOL,896,Normal,0.44
16,68,0.16,0.85,6.3,11,-55,105,3.121,5000,33,4000,UPV1C680MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,220,EOL,1088,Normal,0.59
16,82,0.16,0.71,6.3,11,-55,105,2.588,5000,39,4000,UPV1C820MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,240,EOL,1312,Normal,0.59
16,100,0.16,0.6,6.3,11,-55,105,2.122,5000,48,4000,UPV1C101MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,265,EOL,1600,Normal,0.59
16,120,0.16,0.49,6.3,11,-55,105,1.768,5000,58,4000,UPV1C121MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,290,EOL,1920,Normal,0.59
16,150,0.16,0.39,8,11.5,-55,105,1.415,5000,72,3000,UPV1C151MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,375,MP,2400,Normal,1.19
16,180,0.16,0.34,8,11.5,-55,105,1.179,5000,86,3000,UPV1C181MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,405,MP,2880,Normal,1.19
16,220,0.16,0.27,8,11.5,-55,105,0.965,5000,106,3000,UPV1C221MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,460,MP,3520,Normal,1.19
25,33,0.14,1.4,5,11,-55,105,5.627,5000,25,6000,UPV1E330MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,155,EOL,825,Normal,0.44
25,39,0.14,1.1,5,11,-55,105,4.761,5000,29,6000,UPV1E390MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,175,EOL,975,Normal,0.44
25,47,0.14,0.94,6.3,11,-55,105,3.951,5000,35,4000,UPV1E470MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,210,EOL,1175,Normal,0.59
25,56,0.14,0.75,6.3,11,-55,105,3.316,5000,42,4000,UPV1E560MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,235,EOL,1400,Normal,0.59
25,68,0.14,0.61,6.3,11,-55,105,2.731,5000,51,4000,UPV1E680MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,260,EOL,1700,Normal,0.59
25,82,0.14,0.51,6.3,11,-55,105,2.264,5000,62,4000,UPV1E820MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,285,EOL,2050,Normal,0.59
25,100,0.14,0.41,8,11.5,-55,105,1.857,5000,75,3000,UPV1E101MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,370,MP,2500,Normal,1.19
25,120,0.14,0.34,8,11.5,-55,105,1.547,5000,90,3000,UPV1E121MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,405,MP,3000,Normal,1.19
25,150,0.14,0.27,8,11.5,-55,105,1.238,5000,113,3000,UPV1E151MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,460,MP,3750,Normal,1.19
35,22,0.12,1.3,5,11,-55,105,7.234,5000,23,6000,UPV1V220MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,160,EOL,770,Normal,0.44
35,27,0.12,1,5,11,-55,105,5.895,5000,28,6000,UPV1V270MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,180,EOL,945,Normal,0.44
35,33,0.12,0.83,6.3,11,-55,105,4.823,5000,35,4000,UPV1V330MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,225,EOL,1155,Normal,0.59
35,39,0.12,0.7,6.3,11,-55,105,4.081,5000,41,4000,UPV1V390MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,245,EOL,1365,Normal,0.59
35,47,0.12,0.58,6.3,11,-55,105,3.386,5000,49,4000,UPV1V470MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,270,EOL,1645,Normal,0.59
35,56,0.12,0.48,6.3,11,-55,105,2.842,5000,59,4000,UPV1V560MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,295,EOL,1960,Normal,0.59
35,68,0.12,0.41,8,11.5,-55,105,2.341,5000,71,3000,UPV1V680MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,370,MP,2380,Normal,1.19
35,82,0.12,0.32,8,11.5,-55,105,1.941,5000,86,3000,UPV1V820MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,415,MP,2870,Normal,1.19
35,100,0.12,0.27,8,11.5,-55,105,1.592,5000,105,3000,UPV1V101MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,460,MP,3500,Normal,1.19
50,1.5,0.1,11,5,11,-55,105,88.419,5000,4,6000,UPV1H1R5MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,45,EOL,75,Normal,0.44
50,2.2,0.1,7,5,11,-55,105,60.286,5000,4,6000,UPV1H2R2MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,54,EOL,110.00000000000001,Normal,0.44
50,3.3,0.1,4.6,5,11,-55,105,40.191,5000,5,6000,UPV1H3R3MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,66,EOL,165,Normal,0.44
50,4.7,0.1,3.1,5,11,-55,105,28.219,5000,7,6000,UPV1H4R7MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,81,EOL,235,Normal,0.44
50,6.8,0.1,2.5,5,11,-55,105,19.504,5000,10,6000,UPV1H6R8MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,91,EOL,340,Normal,0.44
50,10,0.1,2,5,11,-55,105,13.263,5000,15,6000,UPV1H100MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,115,EOL,500,Normal,0.44
50,12,0.1,1.7,5,11,-55,105,11.052,5000,18,6000,UPV1H120MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,125,EOL,600,Normal,0.44
50,15,0.1,1.3,5,11,-55,105,8.842,5000,23,6000,UPV1H150MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,145,EOL,750,Normal,0.44
50,18,0.1,1.1,5,11,-55,105,7.368,5000,27,6000,UPV1H180MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,155,EOL,900,Normal,0.44
50,22,0.1,0.91,6.3,11,-55,105,6.029,5000,33,4000,UPV1H220MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,195,EOL,1100,Normal,0.59
50,27,0.1,0.74,6.3,11,-55,105,4.912,5000,41,4000,UPV1H270MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,215,EOL,1350,Normal,0.59
50,33,0.1,0.6,6.3,11,-55,105,4.019,5000,50,4000,UPV1H330MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,240,EOL,1650,Normal,0.59
50,39,0.1,0.5,6.3,11,-55,105,3.401,5000,59,4000,UPV1H390MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,260,EOL,1950,Normal,0.59
50,47,0.1,0.42,8,11.5,-55,105,2.822,5000,71,3000,UPV1H470MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,330,MP,2350,Normal,1.19
50,56,0.1,0.35,8,11.5,-55,105,2.368,5000,84,3000,UPV1H560MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,360,MP,2800,Normal,1.19
50,68,0.1,0.28,8,11.5,-55,105,1.95,5000,102,3000,UPV1H680MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,410,MP,3400,Normal,1.19
