Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,22,0.22,0.6,5,11,-55,105,13.263,2000,1.2,4,6000,UPW0J220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,138.6,Normal,0.44
6.3,33,0.22,0.6,5,11,-55,105,8.842,2000,1.2,6,6000,UPW0J330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,207.9,Normal,0.44
6.3,47,0.22,0.6,5,11,-55,105,6.208,2000,1.2,9,6000,UPW0J470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,296.09999999999997,Normal,0.44
6.3,100,0.22,0.6,5,11,-55,105,2.918,2000,1.2,19,6000,UPW0J101MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,116.88,153.12,134.42,99.35,EOL,630,Normal,0.44
6.3,150,0.22,0.25,6.3,11,-55,105,1.945,2000,0.5,28,4000,UPW0J151MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,290,188.31,246.69,216.56,160.06,EOL,945,Normal,0.59
6.3,220,0.22,0.25,6.3,11,-55,105,1.326,2000,0.5,42,4000,UPW0J221MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,290,188.31,246.69,216.56,160.06,EOL,1386,Normal,0.59
6.3,330,0.22,0.25,6.3,11,-55,105,0.884,2000,0.5,62,4000,UPW0J331MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,290,188.31,246.69,216.56,160.06,EOL,2079,Normal,0.59
6.3,330,0.22,0.23,6.3,15,-55,105,0.884,2000,0.46,62,4000,UPW0J331MED6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,430,430,279.22,365.78,321.1,237.34,EOL,2079,Normal,0.72
6.3,470,0.22,0.117,8,11.5,-55,105,0.621,3000,0.234,89,3000,UPW0J471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,555,555,417.29,500.75,446.5,388.08,MP,2961,Normal,1.19
6.3,560,0.22,0.117,8,11.5,-55,105,0.521,3000,0.234,106,3000,UPW0J561MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,555,555,417.29,500.75,446.5,388.08,MP,3528,Normal,1.19
6.3,680,0.22,0.09,10,12.5,-55,105,0.429,5000,0.18,129,2000,UPW0J681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,755,755,567.67,681.2,607.41,527.93,MP,4284,Normal,1.49
6.3,820,0.22,0.085,8,15,-55,105,0.356,3000,0.17,155,2000,UPW0J821MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,730,730,548.87,658.65,587.29,510.45,MP,5166,Normal,1.36
6.3,820,0.22,0.09,10,12.5,-55,105,0.356,5000,0.18,155,2000,UPW0J821MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,755,755,567.67,681.2,607.41,527.93,MP,5166,Normal,1.49
6.3,1000,0.22,0.09,10,12.5,-55,105,0.318,5000,0.18,189,2000,UPW0J102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,755,755,567.67,681.2,607.41,527.93,MP,6300,Normal,1.49
6.3,1200,0.22,0.065,8,20,-55,105,0.265,3000,0.13,227,2000,UPW0J122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,995,995,843.22,944.41,893.81,792.63,MP,7560,Normal,1.66
6.3,1200,0.22,0.068,10,16,-55,105,0.265,5000,0.136,227,1800,UPW0J122MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1050,1050,889.83,996.61,943.22,836.44,MP,7560,Normal,1.77
6.3,1500,0.22,0.052,10,20,-55,105,0.212,5000,0.104,284,1400,UPW0J152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,1220,1033.9,1157.97,1095.93,971.86,MP,9450,Normal,2.34
6.3,2200,0.24,0.045,10,25,-55,105,0.169,5000,0.09,416,1200,UPW0J222MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1440,1440,1220.34,1366.78,1293.56,1147.12,MP,13860,Normal,3.07
6.3,2200,0.24,0.038,12.5,20,-55,105,0.169,7000,0.076,416,1000,UPW0J222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1655,1655,1402.54,1570.85,1486.69,1318.39,MP,13860,Normal,3.43
6.3,2700,0.24,0.035,10,30.5,-55,105,0.138,5000,0.07,510,1000,UPW0J272MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1815,1815,1538.14,1722.71,1630.42,1445.85,MP,17010,Normal,3.21
6.3,3300,0.26,0.038,12.5,20,-55,105,0.129,7000,0.076,624,1000,UPW0J332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1655,1655,1402.54,1570.85,1486.69,1318.39,MP,20790,Normal,3.43
6.3,3900,0.26,0.03,12.5,25,-55,105,0.109,7000,0.06,737,800,UPW0J392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1945,1945,1648.31,1846.1,1747.2,1549.41,MP,24570,Normal,4.56
6.3,4700,0.28,0.025,12.5,30.5,-55,105,0.102,7000,0.05,888,600,UPW0J472MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2310,2310,1957.63,2192.54,2075.08,1840.17,MP,29610,Normal,6.01
6.3,4700,0.28,0.022,16,25,-55,105,0.102,8000,0.044,888,400,UPW0J472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2555,2555,2165.25,2425.08,2295.17,2035.34,MP,29610,Normal,8.2
6.3,5600,0.3,0.022,12.5,35.5,-55,105,0.095,7000,0.044,1058,500,UPW0J562MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2510,2510,2127.12,2382.37,2254.75,1999.49,MP,35280,Normal,7.06
