Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@60Hz,Status,V,VC,Vibration resistant,Weight (g)
200,82,0.12,10,30.5,-40,105,1.941,2000,756,1000,UPZ2D820MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,560,560,400,520,480,320,MP,200,16400,Normal,3.21
200,82,0.12,10,30.5,-40,105,1.941,2000,756,1000,UPZ2D820MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,600,600,400,560,500,320,MP,400 to 450,16400,Normal,3.21
200,120,0.12,10,40,-40,105,1.326,2000,1060,500,UPZ2D121MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,952,952,680,884,816,544,LTB,200,24000,Normal,5.24
200,120,0.12,10,40,-40,105,1.326,2000,1060,500,UPZ2D121MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1020,1020,680,952,850,544,LTB,400 to 450,24000,Normal,5.24
200,150,0.12,10,50,-40,105,1.061,2000,1300,300,UPZ2D151MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1162,1162,830,1079,996,664,LTB,200,30000,Normal,6.45
200,150,0.12,10,50,-40,105,1.061,2000,1300,300,UPZ2D151MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1245,1245,830,1162,1037.5,664,LTB,400 to 450,30000,Normal,6.45
200,150,0.12,12.5,30.5,-40,105,1.061,2000,1300,600,UPZ2D151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,868,868,620,806,744,496,MP,200,30000,Normal,6.01
200,150,0.12,12.5,30.5,-40,105,1.061,2000,1300,600,UPZ2D151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,930,930,620,868,775,496,MP,400 to 450,30000,Normal,6.01
200,180,0.12,12.5,35.5,-40,105,0.884,2000,1540,500,UPZ2D181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,980,980,700,910,840,560,MP,200,36000,Normal,7.06
200,180,0.12,12.5,35.5,-40,105,0.884,2000,1540,500,UPZ2D181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1050,1050,700,980,875,560,MP,400 to 450,36000,Normal,7.06
