Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,2200,0.155,,12.5,15,-55,105,0.3,0.205,1000,416,1200,URZ0J222MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,730.25,635,717.55,698.5,539.75,LTB,13860,Normal,2.96
6.3,3300,0.115,,16,15,-55,105,0.32,0.153,1000,624,700,URZ0J332MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,989,860,971.8,946,731,LTB,20790,Normal,4.74
6.3,4700,0.09,,16,15,-55,105,0.34,0.119,1000,888,700,URZ0J472MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1161.5,1010,1141.3,1111,858.5,LTB,29610,Normal,4.74
6.3,6800,0.074,,18,15,-55,105,0.38,0.098,1000,1285,400,URZ0J682MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1380,1200,1356,1320,1020,LTB,42840,Normal,6.31
6.3,10000,,,18,20,-55,105,0.46,0.088,1000,1890,400,URZ0J103MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,1450,,,,LTB,63000,Normal,9
10,1000,0.261,,10,12.5,-55,105,0.24,0.345,1000,300,2000,URZ1A102MPD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,517.5,450,508.5,495,382.5,LTB,10000,Normal,1.49
10,2200,0.137,,12.5,15,-55,105,0.26,0.181,1000,660,1200,URZ1A222MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,793.5,690,779.7,759,586.5,LTB,22000,Normal,2.96
10,3300,0.103,,16,15,-55,105,0.28,0.137,1000,990,700,URZ1A332MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1081,940,1062.2,1034,799,LTB,33000,Normal,4.74
10,4700,0.081,,18,15,-55,105,0.3,0.107,1000,1410,400,URZ1A472MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1288,1120,1265.6,1232,952,LTB,47000,Normal,6.31
10,6800,0.068,,18,20,-55,105,0.34,0.09,1000,2040,400,URZ1A682MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1529.5,1330,1502.9,1463,1130.5,LTB,68000,Normal,9
10,10000,,,18,25,-55,105,0.42,0.082,1000,3000,300,URZ1A103MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,1700,,,,LTB,100000,Normal,10.6
16,1000,0.221,,12.5,12.5,-55,105,0.2,0.292,1000,480,1500,URZ1C102MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,598,520,587.6,572,442,MP,16000,Normal,2.8
16,2200,0.119,,16,15,-55,105,0.22,0.157,1000,1056,700,URZ1C222MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,954.5,830,937.9,913,705.5,MP,35200,Normal,4.74
16,3300,0.091,,18,15,-55,105,0.24,0.121,1000,1584,400,URZ1C332MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1207.5,1050,1186.5,1155,892.5,MP,52800,Normal,6.31
16,4700,0.073,,18,20,-55,105,0.26,0.096,1000,2256,400,URZ1C472MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1449,1260,1423.8,1386,1071,MP,75200,Normal,9
16,6800,0.062,,18,25,-55,105,0.3,0.082,1000,3264,300,URZ1C682MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1794,1560,1762.8,1716,1326,MP,108800,Normal,10.6
25,470,0.201,,10,12.5,-55,105,0.16,0.452,1000,353,2000,URZ1E471MPD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,555,370,495.8,455.1,296,MP,11750,Normal,1.49
25,1000,0.181,,12.5,15,-55,105,0.16,0.239,1000,750,1200,URZ1E102MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,678.5,590,666.7,649,501.5,MP,25000,Normal,2.96
25,2200,0.1,,18,15,-55,105,0.18,0.133,1000,1650,400,URZ1E222MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1115.5,970,1096.1,1067,824.5,MP,55000,Normal,6.31
25,3300,0.079,,18,20,-55,105,0.2,0.104,1000,2475,400,URZ1E332MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1403,1220,1378.6,1342,1037,MP,82500,Normal,9
25,4700,0.064,,18,25,-55,105,0.22,0.085,1000,3525,300,URZ1E472MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1690.5,1470,1661.1,1617,1249.5,MP,117500,Normal,10.6
