Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@100kHz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@300Hz,Ripple Current 85°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
6.3,1000,0.28,8,11.5,-40,85,0.398,2000,189,3000,UVK0J102MPD,Uni-Polar,Radial Lead,Miniaturized,621,621,540,610.2,594,459,MP,6.3 to 100,6300,Normal,1.19
6.3,1000,0.28,8,11.5,-40,85,0.398,2000,189,3000,UVK0J102MPD,Uni-Polar,Radial Lead,Miniaturized,864,864,540,756,675,432,MP,160 to 450,6300,Normal,1.19
6.3,2200,0.3,10,16,-40,85,0.205,2000,416,1800,UVK0J222MPD,Uni-Polar,Radial Lead,Miniaturized,1023.5,1023.5,890,1005.7,979,756.5,MP,6.3 to 100,13860,Normal,1.77
6.3,2200,0.3,10,16,-40,85,0.205,2000,416,1800,UVK0J222MPD,Uni-Polar,Radial Lead,Miniaturized,1424,1424,890,1246,1112.5,712,MP,160 to 450,13860,Normal,1.77
6.3,3300,0.32,10,20,-40,85,0.153,2000,624,1400,UVK0J332MPD,Uni-Polar,Radial Lead,Miniaturized,1368.5,1368.5,1190,1344.7,1309,1011.5,MP,6.3 to 100,20790,Normal,2.34
6.3,3300,0.32,10,20,-40,85,0.153,2000,624,1400,UVK0J332MPD,Uni-Polar,Radial Lead,Miniaturized,1904,1904,1190,1666,1487.5,952,MP,160 to 450,20790,Normal,2.34
6.3,4700,0.34,12.5,20,-40,85,0.119,2000,888,1000,UVK0J472MHD,Uni-Polar,Radial Lead,Miniaturized,1782.5,1782.5,1550,1751.5,1705,1317.5,MP,6.3 to 100,29610,Normal,3.43
6.3,4700,0.34,12.5,20,-40,85,0.119,2000,888,1000,UVK0J472MHD,Uni-Polar,Radial Lead,Miniaturized,2480,2480,1550,2170,1937.5,1240,MP,160 to 450,29610,Normal,3.43
6.3,6800,0.38,12.5,25,-40,85,0.098,2000,1285,800,UVK0J682MHD,Uni-Polar,Radial Lead,Miniaturized,2208,2208,1920,2169.6,2112,1632,MP,6.3 to 100,42840,Normal,4.56
6.3,6800,0.38,12.5,25,-40,85,0.098,2000,1285,800,UVK0J682MHD,Uni-Polar,Radial Lead,Miniaturized,3072,3072,1920,2688,2400,1536,MP,160 to 450,42840,Normal,4.56
6.3,10000,0.46,16,25,-40,85,0.088,2000,1890,400,UVK0J103MHD,Uni-Polar,Radial Lead,Miniaturized,2702.5,2702.5,2350,2655.5,2585,1997.5,MP,6.3 to 100,63000,Normal,8.2
6.3,10000,0.46,16,25,-40,85,0.088,2000,1890,400,UVK0J103MHD,Uni-Polar,Radial Lead,Miniaturized,3760,3760,2350,3290,2937.5,1880,MP,160 to 450,63000,Normal,8.2
6.3,15000,0.56,16,30.5,-40,85,0.076,2000,2835,300,UVK0J153MHD,Uni-Polar,Radial Lead,Miniaturized,2932.5,2932.5,2550,2881.5,2805,2167.5,MP,6.3 to 100,94500,Normal,9.6
6.3,15000,0.56,16,30.5,-40,85,0.076,2000,2835,300,UVK0J153MHD,Uni-Polar,Radial Lead,Miniaturized,4080,4080,2550,3570,3187.5,2040,MP,160 to 450,94500,Normal,9.6
6.3,22000,0.7,18,35.5,-40,85,0.069,2000,4158,250,UVK0J223MHD,Uni-Polar,Radial Lead,Miniaturized,3680,3680,3200,3616,3520,2720,MP,6.3 to 100,138600,Normal,14.2
6.3,22000,0.7,18,35.5,-40,85,0.069,2000,4158,250,UVK0J223MHD,Uni-Polar,Radial Lead,Miniaturized,5120,5120,3200,4480,4000,2560,MP,160 to 450,138600,Normal,14.2
6.3,33000,0.92,20,40,-40,85,0.064,2000,6237,150,UVK0J333MRD,Uni-Polar,Radial Lead,Miniaturized,,,3500,,,,EOL,,207900,Normal,19.6
10,220,0.24,5,11,-40,85,1.447,2000,66,6000,UVK1A221MDD,Uni-Polar,Radial Lead,Miniaturized,330,330,220,294.8,270.6,176,EOL,6.3 to 100,2200,Normal,0.44
10,220,0.24,5,11,-40,85,1.447,2000,66,6000,UVK1A221MDD,Uni-Polar,Radial Lead,Miniaturized,352,352,220,308,275,176,EOL,160 to 450,2200,Normal,0.44
10,330,0.24,6.3,11,-40,85,0.965,2000,99,4000,UVK1A331MED,Uni-Polar,Radial Lead,Miniaturized,435,435,290,388.6,356.7,232,EOL,6.3 to 100,3300,Normal,0.59
10,330,0.24,6.3,11,-40,85,0.965,2000,99,4000,UVK1A331MED,Uni-Polar,Radial Lead,Miniaturized,464,464,290,406,362.5,232,EOL,160 to 450,3300,Normal,0.59
10,330,0.24,6.3,11,-40,85,0.965,2000,99,4000,UVK1A331MED,Uni-Polar,Radial Lead,Miniaturized,333.5,333.5,290,327.7,319,261,EOL,160 to 450,3300,Normal,0.59
10,470,0.24,6.3,11,-40,85,0.677,2000,141,4000,UVK1A471MED,Uni-Polar,Radial Lead,Miniaturized,525,525,350,469,430.5,280,EOL,6.3 to 100,4700,Normal,0.59
10,470,0.24,6.3,11,-40,85,0.677,2000,141,4000,UVK1A471MED,Uni-Polar,Radial Lead,Miniaturized,560,560,350,490,437.5,280,EOL,160 to 450,4700,Normal,0.59
10,470,0.24,6.3,11,-40,85,0.677,2000,141,4000,UVK1A471MED,Uni-Polar,Radial Lead,Miniaturized,402.5,402.5,350,395.5,385,315,EOL,160 to 450,4700,Normal,0.59
10,1000,0.24,10,12.5,-40,85,0.345,2000,300,2000,UVK1A102MPD,Uni-Polar,Radial Lead,Miniaturized,747.5,747.5,650,734.5,715,552.5,MP,6.3 to 100,10000,Normal,1.49
10,1000,0.24,10,12.5,-40,85,0.345,2000,300,2000,UVK1A102MPD,Uni-Polar,Radial Lead,Miniaturized,1040,1040,650,910,812.5,520,MP,160 to 450,10000,Normal,1.49
10,2200,0.26,10,16,-40,85,0.181,2000,660,1800,UVK1A222MPD,Uni-Polar,Radial Lead,Miniaturized,1138.5,1138.5,990,1118.7,1089,841.5,MP,6.3 to 100,22000,Normal,1.77
10,2200,0.26,10,16,-40,85,0.181,2000,660,1800,UVK1A222MPD,Uni-Polar,Radial Lead,Miniaturized,1584,1584,990,1386,1237.5,792,MP,160 to 450,22000,Normal,1.77
10,3300,0.28,12.5,20,-40,85,0.137,2000,990,1000,UVK1A332MHD,Uni-Polar,Radial Lead,Miniaturized,1667.5,1667.5,1450,1638.5,1595,1232.5,MP,6.3 to 100,33000,Normal,3.43
10,3300,0.28,12.5,20,-40,85,0.137,2000,990,1000,UVK1A332MHD,Uni-Polar,Radial Lead,Miniaturized,2320,2320,1450,2030,1812.5,1160,MP,160 to 450,33000,Normal,3.43
10,4700,0.3,12.5,25,-40,85,0.107,2000,1410,800,UVK1A472MHD,Uni-Polar,Radial Lead,Miniaturized,2070,2070,1800,2034,1980,1530,MP,6.3 to 100,47000,Normal,4.56
10,4700,0.3,12.5,25,-40,85,0.107,2000,1410,800,UVK1A472MHD,Uni-Polar,Radial Lead,Miniaturized,2880,2880,1800,2520,2250,1440,MP,160 to 450,47000,Normal,4.56
10,6800,0.34,16,25,-40,85,0.09,2000,2040,400,UVK1A682MHD,Uni-Polar,Radial Lead,Miniaturized,2587.5,2587.5,2250,2542.5,2475,1912.5,MP,6.3 to 100,68000,Normal,8.2
10,6800,0.34,16,25,-40,85,0.09,2000,2040,400,UVK1A682MHD,Uni-Polar,Radial Lead,Miniaturized,3600,3600,2250,3150,2812.5,1800,MP,160 to 450,68000,Normal,8.2
10,10000,0.42,16,30.5,-40,85,0.082,2000,3000,300,UVK1A103MHD,Uni-Polar,Radial Lead,Miniaturized,2932.5,2932.5,2550,2881.5,2805,2167.5,MP,6.3 to 100,100000,Normal,9.6
10,10000,0.42,16,30.5,-40,85,0.082,2000,3000,300,UVK1A103MHD,Uni-Polar,Radial Lead,Miniaturized,4080,4080,2550,3570,3187.5,2040,MP,160 to 450,100000,Normal,9.6
10,15000,0.52,16,35.5,-40,85,0.073,2000,4500,300,UVK1A153MHD,Uni-Polar,Radial Lead,Miniaturized,3312,3312,2880,3254.4,3168,2448,MP,6.3 to 100,150000,Normal,11.8
10,15000,0.52,16,35.5,-40,85,0.073,2000,4500,300,UVK1A153MHD,Uni-Polar,Radial Lead,Miniaturized,4608,4608,2880,4032,3600,2304,MP,160 to 450,150000,Normal,11.8
10,22000,0.66,18,40,-40,85,0.066,2000,6600,200,UVK1A223MHD,Uni-Polar,Radial Lead,Miniaturized,3910,3910,3400,3842,3740,2890,MP,6.3 to 100,220000,Normal,17.7
10,22000,0.66,18,40,-40,85,0.066,2000,6600,200,UVK1A223MHD,Uni-Polar,Radial Lead,Miniaturized,5440,5440,3400,4760,4250,2720,MP,160 to 450,220000,Normal,17.7
10,33000,0.88,22,50,-40,85,0.062,2000,9900,250,UVK1A333MRD,Uni-Polar,Radial Lead,Miniaturized,,,4500,,,,EOL,,330000,Normal,27.4
16,220,0.2,6.3,11,-40,85,1.206,2000,106,4000,UVK1C221MED,Uni-Polar,Radial Lead,Miniaturized,390,390,260,348.4,319.8,208,EOL,6.3 to 100,3520,Normal,0.59
16,220,0.2,6.3,11,-40,85,1.206,2000,106,4000,UVK1C221MED,Uni-Polar,Radial Lead,Miniaturized,416,416,260,364,325,208,EOL,160 to 450,3520,Normal,0.59
16,330,0.2,6.3,11,-40,85,0.804,2000,158,4000,UVK1C331MED,Uni-Polar,Radial Lead,Miniaturized,480,480,320,428.8,393.6,256,EOL,6.3 to 100,5280,Normal,0.59
16,330,0.2,6.3,11,-40,85,0.804,2000,158,4000,UVK1C331MED,Uni-Polar,Radial Lead,Miniaturized,512,512,320,448,400,256,EOL,160 to 450,5280,Normal,0.59
16,330,0.2,6.3,11,-40,85,0.804,2000,158,4000,UVK1C331MED,Uni-Polar,Radial Lead,Miniaturized,368,368,320,361.6,352,288,EOL,160 to 450,5280,Normal,0.59
16,470,0.2,8,11.5,-40,85,0.564,2000,226,3000,UVK1C471MPD,Uni-Polar,Radial Lead,Miniaturized,660,660,440,589.6,541.2,352,MP,6.3 to 100,7520,Normal,1.19
16,470,0.2,8,11.5,-40,85,0.564,2000,226,3000,UVK1C471MPD,Uni-Polar,Radial Lead,Miniaturized,704,704,440,616,550,352,MP,160 to 450,7520,Normal,1.19
16,470,0.2,8,11.5,-40,85,0.564,2000,226,3000,UVK1C471MPD,Uni-Polar,Radial Lead,Miniaturized,506,506,440,497.2,484,396,MP,160 to 450,7520,Normal,1.19
16,1000,0.2,10,12.5,-40,85,0.292,2000,480,2000,UVK1C102MPD,Uni-Polar,Radial Lead,Miniaturized,805,805,700,791,770,595,MP,6.3 to 100,16000,Normal,1.49
16,1000,0.2,10,12.5,-40,85,0.292,2000,480,2000,UVK1C102MPD,Uni-Polar,Radial Lead,Miniaturized,1120,1120,700,980,875,560,MP,160 to 450,16000,Normal,1.49
16,2200,0.22,10,20,-40,85,0.157,2000,1056,1400,UVK1C222MPD,Uni-Polar,Radial Lead,Miniaturized,1150,1150,1000,1130,1100,850,MP,6.3 to 100,35200,Normal,2.34
16,2200,0.22,10,20,-40,85,0.157,2000,1056,1400,UVK1C222MPD,Uni-Polar,Radial Lead,Miniaturized,1600,1600,1000,1400,1250,800,MP,160 to 450,35200,Normal,2.34
16,3300,0.24,12.5,25,-40,85,0.121,2000,1584,800,UVK1C332MHD,Uni-Polar,Radial Lead,Miniaturized,1955,1955,1700,1921,1870,1445,MP,6.3 to 100,52800,Normal,4.56
16,3300,0.24,12.5,25,-40,85,0.121,2000,1584,800,UVK1C332MHD,Uni-Polar,Radial Lead,Miniaturized,2720,2720,1700,2380,2125,1360,MP,160 to 450,52800,Normal,4.56
16,4700,0.26,16,25,-40,85,0.096,2000,2256,400,UVK1C472MHD,Uni-Polar,Radial Lead,Miniaturized,2415,2415,2100,2373,2310,1785,MP,6.3 to 100,75200,Normal,8.2
16,4700,0.26,16,25,-40,85,0.096,2000,2256,400,UVK1C472MHD,Uni-Polar,Radial Lead,Miniaturized,3360,3360,2100,2940,2625,1680,MP,160 to 450,75200,Normal,8.2
16,6800,0.3,16,25,-40,85,0.082,2000,3264,400,UVK1C682MHD,Uni-Polar,Radial Lead,Miniaturized,2587.5,2587.5,2250,2542.5,2475,1912.5,MP,6.3 to 100,108800,Normal,8.2
16,6800,0.3,16,25,-40,85,0.082,2000,3264,400,UVK1C682MHD,Uni-Polar,Radial Lead,Miniaturized,3600,3600,2250,3150,2812.5,1800,MP,160 to 450,108800,Normal,8.2
16,10000,0.38,16,35.5,-40,85,0.077,2000,4800,300,UVK1C103MHD,Uni-Polar,Radial Lead,Miniaturized,3116.5,3116.5,2710,3062.3,2981,2303.5,MP,6.3 to 100,160000,Normal,11.8
16,10000,0.38,16,35.5,-40,85,0.077,2000,4800,300,UVK1C103MHD,Uni-Polar,Radial Lead,Miniaturized,4336,4336,2710,3794,3387.5,2168,MP,160 to 450,160000,Normal,11.8
16,15000,0.48,18,40,-40,85,0.069,2000,7200,200,UVK1C153MHD,Uni-Polar,Radial Lead,Miniaturized,3565,3565,3100,3503,3410,2635,MP,6.3 to 100,240000,Normal,17.7
16,15000,0.48,18,40,-40,85,0.069,2000,7200,200,UVK1C153MHD,Uni-Polar,Radial Lead,Miniaturized,4960,4960,3100,4340,3875,2480,MP,160 to 450,240000,Normal,17.7
16,22000,0.62,22,40,-40,85,0.064,2000,10560,250,UVK1C223MRD,Uni-Polar,Radial Lead,Miniaturized,4370,4370,3800,4294,4180,3230,EOL,6.3 to 100,352000,Normal,23.8
16,22000,0.62,22,40,-40,85,0.064,2000,10560,250,UVK1C223MRD,Uni-Polar,Radial Lead,Miniaturized,6080,6080,3800,5320,4750,3040,EOL,160 to 450,352000,Normal,23.8
16,33000,0.84,25,50,-40,85,0.06,2000,15840,140,UVK1C333MRD,Uni-Polar,Radial Lead,Miniaturized,,,4800,,,,EOL,,528000,Normal,38.8
