Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,V,VC,Vibration resistant,Weight (g)
6.3,22,6.594,5,11,-40,85,0.28,16.88,2000,1.6,1.6,1.0,1.4,1.25,0.8,4,6000,UVR0J220MDD,Uni-Polar,Radial Lead,Standard,65,EOL,160 to 450,138.6,Normal,0.44
6.3,33,2.813,5,11,-40,85,0.28,11.253,2000,2.0,2.0,1.0,1.57,1.35,0.75,6,6000,UVR0J330MDD,Uni-Polar,Radial Lead,Standard,80,EOL,6.3 to 100,207.9,Normal,0.44
6.3,33,4.396,5,11,-40,85,0.28,11.253,2000,1.6,1.6,1.0,1.4,1.25,0.8,6,6000,UVR0J330MDD,Uni-Polar,Radial Lead,Standard,80,EOL,160 to 450,207.9,Normal,0.44
6.3,47,1.975,5,11,-40,85,0.28,7.901,2000,2.0,2.0,1.0,1.57,1.35,0.75,9,6000,UVR0J470MDD,Uni-Polar,Radial Lead,Standard,95,EOL,6.3 to 100,296.09999999999997,Normal,0.44
6.3,47,3.086,5,11,-40,85,0.28,7.901,2000,1.6,1.6,1.0,1.4,1.25,0.8,9,6000,UVR0J470MDD,Uni-Polar,Radial Lead,Standard,95,EOL,160 to 450,296.09999999999997,Normal,0.44
6.3,100,1.65,5,11,-40,85,0.28,3.714,2000,1.5,1.5,1.0,1.34,1.23,0.8,19,6000,UVR0J101MDD,Uni-Polar,Radial Lead,Standard,135,EOL,6.3 to 100,630.0,Normal,0.44
6.3,100,1.451,5,11,-40,85,0.28,3.714,2000,1.6,1.6,1.0,1.4,1.25,0.8,19,6000,UVR0J101MDD,Uni-Polar,Radial Lead,Standard,135,EOL,160 to 450,630.0,Normal,0.44
6.3,220,0.75,5,11,-40,85,0.28,1.688,2000,1.5,1.5,1.0,1.34,1.23,0.8,42,6000,UVR0J221MDD,Uni-Polar,Radial Lead,Standard,200,EOL,6.3 to 100,1386.0,Normal,0.44
6.3,220,0.659,5,11,-40,85,0.28,1.688,2000,1.6,1.6,1.0,1.4,1.25,0.8,42,6000,UVR0J221MDD,Uni-Polar,Radial Lead,Standard,200,EOL,160 to 450,1386.0,Normal,0.44
6.3,330,0.5,6.3,11,-40,85,0.28,1.125,2000,1.5,1.5,1.0,1.34,1.23,0.8,62,4000,UVR0J331MED,Uni-Polar,Radial Lead,Standard,270,EOL,6.3 to 100,2079.0,Normal,0.59
