Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
6.3,1000,0.28,8,11.5,-55,105,0.398,1000,189,3000,UVY0J102MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,448.5,390,440.7,429,331.5,MP,6.3 to 100,6300,Normal,1.19
6.3,2200,0.3,10,16,-55,105,0.205,2000,416,1800,UVY0J222MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,730.25,635,717.55,698.5,539.75,MP,6.3 to 100,13860,Normal,1.77
6.3,3300,0.32,10,20,-55,105,0.153,2000,624,1400,UVY0J332MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,966,840,949.2,924,714,MP,6.3 to 100,20790,Normal,2.34
6.3,4700,0.34,12.5,20,-55,105,0.119,2000,888,1000,UVY0J472MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1253.5,1090,1231.7,1199,926.5,MP,6.3 to 100,29610,Normal,3.43
6.3,6800,0.38,12.5,25,-55,105,0.098,2000,1285,800,UVY0J682MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1552.5,1350,1525.5,1485,1147.5,MP,6.3 to 100,42840,Normal,4.56
6.3,10000,0.46,16,25,-55,105,0.088,2000,1890,400,UVY0J103MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1897.5,1650,1864.5,1815,1402.5,MP,6.3 to 100,63000,Normal,8.2
6.3,15000,0.56,16,30.5,-55,105,0.076,2000,2835,300,UVY0J153MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2093,1820,2056.6,2002,1547,MP,6.3 to 100,94500,Normal,9.6
6.3,22000,0.7,18,35.5,-55,105,0.069,2000,4158,250,UVY0J223MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2622,2280,2576.4,2508,1938,MP,6.3 to 100,138600,Normal,14.2
6.3,33000,0.92,20,40,-55,105,0.064,2000,6237,150,UVY0J333MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,,2500,,,,EOL,,207900,Normal,19.6
10,220,0.24,5,11,-55,105,1.447,1000,66,6000,UVY1A221MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,232.5,155,207.7,190.65,124,EOL,6.3 to 100,2200,Normal,0.44
10,220,0.24,5,11,-55,105,1.447,1000,66,6000,UVY1A221MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,248,155,217,193.75,124,EOL,160 to 450,2200,Normal,0.44
10,330,0.24,6.3,11,-55,105,0.965,1000,99,4000,UVY1A331MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,315,210,281.4,258.3,168,EOL,6.3 to 100,3300,Normal,0.59
10,330,0.24,6.3,11,-55,105,0.965,1000,99,4000,UVY1A331MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,241.5,210,237.3,231,189,EOL,160 to 450,3300,Normal,0.59
10,470,0.24,6.3,11,-55,105,0.677,1000,141,4000,UVY1A471MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,375,250,335,307.5,200,EOL,6.3 to 100,4700,Normal,0.59
10,470,0.24,6.3,11,-55,105,0.677,1000,141,4000,UVY1A471MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,287.5,250,282.5,275,225,EOL,160 to 450,4700,Normal,0.59
10,1000,0.24,10,12.5,-55,105,0.345,2000,300,2000,UVY1A102MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,529,460,519.8,506,391,MP,6.3 to 100,10000,Normal,1.49
10,2200,0.26,10,16,-55,105,0.181,2000,660,1800,UVY1A222MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,810.75,705,796.65,775.5,599.25,MP,6.3 to 100,22000,Normal,1.77
10,3300,0.28,12.5,20,-55,105,0.137,2000,990,1000,UVY1A332MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1150,1000,1130,1100,850,MP,6.3 to 100,33000,Normal,3.43
10,4700,0.3,12.5,25,-55,105,0.107,2000,1410,800,UVY1A472MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1449,1260,1423.8,1386,1071,MP,6.3 to 100,47000,Normal,4.56
10,6800,0.34,16,25,-55,105,0.09,2000,2040,400,UVY1A682MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1805.5,1570,1774.1,1727,1334.5,MP,6.3 to 100,68000,Normal,8.2
