Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
6.3,22,0.28,5,11,-55,105,16.88,1000,4,6000,UVZ0J220MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,72,72,45,63,56.25,36,EOL,160 to 450,138.6,Normal,0.44
6.3,33,0.28,5,11,-55,105,11.253,1000,6,6000,UVZ0J330MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,110,110,55,86.35,74.25,41.25,EOL,6.3 to 100,207.9,Normal,0.44
6.3,33,0.28,5,11,-55,105,11.253,1000,6,6000,UVZ0J330MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,88,88,55,77,68.75,44,EOL,160 to 450,207.9,Normal,0.44
6.3,47,0.28,5,11,-55,105,7.901,1000,9,6000,UVZ0J470MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,130,130,65,102.05,87.75,48.75,EOL,6.3 to 100,296.09999999999997,Normal,0.44
6.3,47,0.28,5,11,-55,105,7.901,1000,9,6000,UVZ0J470MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,104,104,65,91,81.25,52,EOL,160 to 450,296.09999999999997,Normal,0.44
6.3,100,0.28,5,11,-55,105,3.714,1000,19,6000,UVZ0J101MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,142.5,142.5,95,127.3,116.85,76,EOL,6.3 to 100,630,Normal,0.44
6.3,100,0.28,5,11,-55,105,3.714,1000,19,6000,UVZ0J101MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,152,152,95,133,118.75,76,EOL,160 to 450,630,Normal,0.44
6.3,220,0.28,5,11,-55,105,1.688,1000,42,6000,UVZ0J221MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,217.5,217.5,145,194.3,178.35,116,EOL,6.3 to 100,1386,Normal,0.44
6.3,220,0.28,5,11,-55,105,1.688,1000,42,6000,UVZ0J221MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,232,232,145,203,181.25,116,EOL,160 to 450,1386,Normal,0.44
6.3,330,0.28,6.3,11,-55,105,1.125,1000,62,4000,UVZ0J331MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,292.5,292.5,195,261.3,239.85,156,EOL,6.3 to 100,2079,Normal,0.59
6.3,330,0.28,6.3,11,-55,105,1.125,1000,62,4000,UVZ0J331MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,224.25,224.25,195,220.35,214.5,175.5,EOL,160 to 450,2079,Normal,0.59
6.3,470,0.28,6.3,11,-55,105,0.79,1000,89,4000,UVZ0J471MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,345,345,230,308.2,282.9,184,EOL,6.3 to 100,2961,Normal,0.59
6.3,1000,0.28,8,11.5,-55,105,0.398,1000,189,3000,UVZ0J102MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,448.5,448.5,390,440.7,429,331.5,MP,6.3 to 100,6300,Normal,1.19
