Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Ripple Current 85°C@120Hz,VC
6.3,3.3,72.022,72.022,,,0.28,112.534,1.25,1.25,1,1.15,0.8,nan,20.79
6.3,4.7,50.568,50.568,,,0.28,79.013,1.25,1.25,1,1.15,0.8,nan,29.61
6.3,10,23.767,23.767,,,0.28,37.136,1.25,1.25,1,1.15,0.8,nan,63.0
6.3,22,10.803,10.803,4,5.3,0.28,16.88,1.25,1.25,1,1.15,0.8,20,138.6
6.3,33,7.202,7.202,5,5.3,0.28,11.253,1.25,1.25,1,1.15,0.8,29,207.9
6.3,47,5.057,5.057,5,5.3,0.28,7.901,1.25,1.25,1,1.15,0.8,34,296.09999999999997
6.3,100,2.377,2.377,6.3,5.3,0.28,3.714,1.25,1.25,1,1.15,0.8,58,630.0
6.3,220,1.08,1.08,8,6.5,0.28,1.688,1.25,1.25,1,1.15,0.8,107,1386.0
6.3,330,0.72,0.72,8,10,0.28,1.125,1.25,1.25,1,1.15,0.8,153,2079.0
6.3,470,0.506,0.506,8,10,0.28,0.79,1.25,1.25,1,1.15,0.8,183,2961.0
10,3.3,61.733,61.733,,,0.24,96.458,1.25,1.25,1,1.15,0.8,nan,33.0
10,4.7,43.344,43.344,,,0.24,67.726,1.25,1.25,1,1.15,0.8,nan,47.0
10,10,20.372,20.372,,,0.24,31.831,1.25,1.25,1,1.15,0.8,nan,100.0
10,22,9.26,9.26,,,0.24,14.469,1.25,1.25,1,1.15,0.8,nan,220.0
10,33,6.173,6.173,5,5.3,0.24,9.646,1.25,1.25,1,1.15,0.8,31,330.0
10,47,4.334,4.334,6.3,5.3,0.24,6.773,1.25,1.25,1,1.15,0.8,43,470.0
10,100,2.037,2.037,8,6.5,0.24,3.183,1.25,1.25,1,1.15,0.8,79,1000.0
10,220,0.926,0.926,8,10,0.24,1.447,1.25,1.25,1,1.15,0.8,136,2200.0
10,330,0.617,0.617,8,10,0.24,0.965,1.25,1.25,1,1.15,0.8,166,3300.0
10,470,0.433,0.433,10,10,0.24,0.677,1.25,1.25,1,1.15,0.8,229,4700.0
16,3.3,51.444,51.444,,,0.2,80.381,1.25,1.25,1,1.15,0.8,nan,52.8
16,4.7,36.12,36.12,4,5.3,0.2,56.438,1.25,1.25,1,1.15,0.8,11,75.2
16,10,16.977,16.977,5,5.3,0.2,26.526,1.25,1.25,1,1.15,0.8,19,160.0
16,22,7.717,7.717,5,5.3,0.2,12.057,1.25,1.25,1,1.15,0.8,28,352.0
16,33,5.144,5.144,6.3,5.3,0.2,8.038,1.25,1.25,1,1.15,0.8,40,528.0
16,47,3.612,3.612,6.3,5.3,0.2,5.644,1.25,1.25,1,1.15,0.8,47,752.0
16,100,1.698,1.698,8,6.5,0.2,2.653,1.25,1.25,1,1.15,0.8,87,1600.0
16,220,0.772,0.772,8,10,0.2,1.206,1.25,1.25,1,1.15,0.8,149,3520.0
16,330,0.514,0.514,10,10,0.2,0.804,1.25,1.25,1,1.15,0.8,221,5280.0
16,470,0.361,0.361,,,0.2,0.564,1.25,1.25,1,1.15,0.8,nan,7520.0
25,3.3,32.809,32.809,,,0.16,64.305,1.4,1.4,1,1.25,0.8,nan,82.5
25,4.7,23.036,23.036,4,5.3,0.16,45.15,1.4,1.4,1,1.25,0.8,12,117.5
25,10,10.827,10.827,5,5.3,0.16,21.221,1.4,1.4,1,1.25,0.8,21,250.0
25,22,4.921,4.921,6.3,5.3,0.16,9.646,1.4,1.4,1,1.25,0.8,36,550.0
25,33,3.281,3.281,6.3,5.3,0.16,6.431,1.4,1.4,1,1.25,0.8,44,825.0
25,47,2.304,2.304,8,6.5,0.16,4.515,1.4,1.4,1,1.25,0.8,66,1175.0
25,100,1.083,1.083,8,10,0.16,2.122,1.4,1.4,1,1.25,0.8,112,2500.0
25,220,0.492,0.492,10,10,0.16,0.965,1.4,1.4,1,1.25,0.8,192,5500.0
25,330,0.328,0.328,,,0.16,0.643,1.4,1.4,1,1.25,0.8,nan,8250.0
25,470,0.23,0.23,,,0.16,0.452,1.4,1.4,1,1.25,0.8,nan,11750.0
35,3.3,28.708,28.708,4,5.3,0.14,56.267,1.4,1.4,1,1.25,0.8,11,115.5
35,4.7,20.156,20.156,4,5.3,0.14,39.507,1.4,1.4,1,1.25,0.8,13,164.5
35,10,9.474,9.474,5,5.3,0.14,18.568,1.4,1.4,1,1.25,0.8,22,350.0
35,22,4.306,4.306,6.3,5.3,0.14,8.44,1.4,1.4,1,1.25,0.8,39,770.0
35,33,2.871,2.871,8,6.5,0.14,5.627,1.4,1.4,1,1.25,0.8,60,1155.0
35,47,2.016,2.016,8,10,0.14,3.951,1.4,1.4,1,1.25,0.8,82,1645.0
35,100,0.947,0.947,10,10,0.14,1.857,1.4,1.4,1,1.25,0.8,139,3500.0
35,220,0.431,0.431,,,0.14,0.844,1.4,1.4,1,1.25,0.8,nan,7700.0
35,330,0.287,0.287,,,0.14,0.563,1.4,1.4,1,1.25,0.8,nan,11550.0
35,470,0.202,0.202,,,0.14,0.395,1.4,1.4,1,1.25,0.8,nan,16450.0
