Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,VC
6.3,22,0.28,4,5.8,16.88,26.25,26.25,21,24.15,16.8,138.6
6.3,33,0.28,5,5.8,11.253,36.25,36.25,29,33.35,23.2,207.9
6.3,47,0.28,5,5.8,7.901,43.75,43.75,35,40.25,28,296.09999999999997
6.3,100,0.28,6.3,5.8,3.714,75,75,60,69,48,630
6.3,220,0.28,8,10.5,1.688,158.75,158.75,127,146.05,101.6,1386
6.3,330,0.28,8,10.5,1.125,195,195,156,179.4,124.8,2079
6.3,470,0.28,10,10.5,0.79,268.75,268.75,215,247.25,172,2961
10,10,0.24,4,5.8,31.831,18.75,18.75,15,17.25,12,100
10,22,0.24,5,5.8,14.469,32.5,32.5,26,29.9,20.8,220
10,33,0.24,5,5.8,9.646,40,40,32,36.8,25.6,330
10,47,0.24,6.3,5.8,6.773,55,55,44,50.6,35.2,470
10,100,0.24,8,6.5,3.183,98.75,98.75,79,90.85,63.2,1000
10,220,0.24,8,10.5,1.447,171.25,171.25,137,157.55,109.6,2200
10,330,0.24,10,10.5,0.965,242.5,242.5,194,223.1,155.2,3300
10,470,0.24,10,10.5,0.677,290,290,232,266.8,185.6,4700
16,4.7,0.2,4,5.8,56.438,13.75,13.75,11,12.65,8.8,75.2
16,10,0.2,4,5.8,26.526,21.25,21.25,17,19.55,13.6,160
16,22,0.2,5,5.8,12.057,35,35,28,32.2,22.4,352
16,33,0.2,6.3,5.8,8.038,51.25,51.25,41,47.15,32.8,528
16,47,0.2,6.3,5.8,5.644,60,60,48,55.2,38.4,752
16,100,0.2,8,6.5,2.653,107.5,107.5,86,98.9,68.8,1600
16,220,0.2,8,10.5,1.206,187.5,187.5,150,172.5,120,3520
16,330,0.2,10,10.5,0.804,266.25,266.25,213,244.95,170.4,5280
16,470,0.2,10,10.5,0.564,317.5,317.5,254,292.1,203.2,7520
25,4.7,0.16,4,5.8,45.15,18.2,18.2,13,16.25,10.4,117.5
25,10,0.16,5,5.8,21.221,29.4,29.4,21,26.25,16.8,250
25,22,0.16,6.3,5.8,9.646,51.8,51.8,37,46.25,29.6,550
25,33,0.16,6.3,5.8,6.431,63,63,45,56.25,36,825
25,47,0.16,8,6.5,4.515,92.4,92.4,66,82.5,52.8,1175
25,100,0.16,8,10.5,2.122,158.2,158.2,113,141.25,90.4,2500
25,220,0.16,10,10.5,0.965,271.6,271.6,194,242.5,155.2,5500
35,4.7,0.13,4,5.8,36.685,19.6,19.6,14,17.5,11.2,164.5
35,10,0.13,5,5.8,17.242,33.6,33.6,24,30,19.2,350
35,22,0.13,6.3,5.8,7.837,57.4,57.4,41,51.25,32.8,770
35,33,0.13,8,6.5,5.225,86.8,86.8,62,77.5,49.6,1155
35,47,0.13,8,10.5,3.668,120.4,120.4,86,107.5,68.8,1645
35,100,0.13,10,10.5,1.724,203,203,145,181.25,116,3500
35,220,0.13,10,10.5,0.784,302.4,302.4,216,270,172.8,7700
50,1,0.12,4,5.8,159.155,10.5,10.5,7,9.45,3.5,50
50,2.2,0.12,4,5.8,72.343,15,15,10,13.5,5,110.00000000000001
50,3.3,0.12,4,5.8,48.229,18,18,12,16.2,6,165
50,4.7,0.12,5,5.8,33.863,25.5,25.5,17,22.95,11.9,235
50,10,0.12,6.3,5.8,15.916,43.5,43.5,29,39.15,20.3,500
50,22,0.12,8,6.5,7.234,78,78,52,70.2,36.4,1100
50,33,0.12,8,10.5,4.823,112.5,112.5,75,101.25,52.5,1650
50,47,0.12,8,10.5,3.386,135,135,90,121.5,63,2350
50,100,0.12,10,10.5,1.592,226.5,226.5,151,203.85,105.7,5000
