Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
6.3,100,0.26,5,11,3.448,115.2,115.2,96,110.4,105.6,76.8,76.8,630
6.3,220,0.26,5,11,1.567,192,192,160,184,176,128,128,1386
6.3,330,0.26,6.3,11,1.045,252,252,210,241.5,231,168,168,2079
6.3,470,0.26,6.3,11,0.734,330,330,275,316.25,302.5,220,220,2961
6.3,1000,0.26,8,11.5,0.371,552,552,460,529,506,368,368,6300
6.3,2200,0.26,10,20,0.181,891.25,891.25,775,852.5,813.75,620,620,13860
6.3,3300,0.26,10,20,0.129,1132.75,1132.75,985,1083.5,1034.25,788,788,20790
6.3,4700,0.26,12.5,20,0.096,1322.5,1322.5,1150,1265,1207.5,920,920,29610
6.3,6800,0.26,12.5,25,0.074,1702,1702,1480,1628,1554,1184,1184,42840
6.3,10000,0.26,16,25,0.061,1955,1955,1700,1870,1785,1360,1360,63000
6.3,15000,0.26,16,35.5,0.05,2403.5,2403.5,2090,2299,2194.5,1672,1672,94500
6.3,22000,0.26,18,40,0.042,2702.5,2702.5,2350,2585,2467.5,1880,1880,138600
10,100,0.22,5,11,2.918,126,126,105,120.75,115.5,84,84,1000
10,220,0.22,6.3,11,1.326,210,210,175,201.25,192.5,140,140,2200
10,330,0.22,6.3,11,0.884,282,282,235,270.25,258.5,188,188,3300
10,470,0.22,8,11.5,0.621,354,354,295,339.25,324.5,236,236,4700
10,1000,0.22,10,12.5,0.318,648,648,540,621,594,432,432,10000
10,2200,0.22,10,20,0.157,989,989,860,946,903,688,688,22000
10,3300,0.22,12.5,20,0.113,1265,1265,1100,1210,1155,880,880,33000
10,4700,0.22,12.5,25,0.085,1552.5,1552.5,1350,1485,1417.5,1080,1080,47000
10,6800,0.22,16,25,0.066,1955,1955,1700,1870,1785,1360,1360,68000
10,10000,0.22,16,35.5,0.056,2242.5,2242.5,1950,2145,2047.5,1560,1560,100000
10,15000,0.22,18,35.5,0.046,2507,2507,2180,2398,2289,1744,1744,150000
16,100,0.18,5,11,2.387,156,156,130,149.5,143,104,104,1600
16,220,0.18,6.3,11,1.085,264,264,220,253,242,176,176,3520
16,330,0.18,8,11.5,0.723,324,324,270,310.5,297,216,216,5280
16,470,0.18,8,11.5,0.508,450,450,375,431.25,412.5,300,300,7520
