Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current @100kHz,Ripple Current @120Hz
160,47,5.644,10,16,0.2,0.65,0.26
160,68,3.901,10,20,0.2,0.8,0.32
160,82,3.235,16,16,0.2,1.35,0.54
160,100,2.653,10,25,0.2,1.193,0.53
160,100,2.653,12.5,20,0.2,1.35,0.6
160,100,2.653,18,16,0.2,1.553,0.69
160,120,2.21,10,30,0.2,1.395,0.62
160,150,1.768,10,35,0.2,1.575,0.7
160,150,1.768,12.5,25,0.2,1.643,0.73
160,150,1.768,14.5,20,0.2,1.8,0.8
160,180,1.474,10,40,0.2,1.8,0.8
160,180,1.474,12.5,30,0.2,1.958,0.87
160,180,1.474,16,20,0.2,1.8,0.8
160,220,1.206,10,50,0.2,2.25,1.0
160,220,1.206,12.5,35,0.2,2.25,1.0
160,220,1.206,14.5,25,0.2,2.003,0.89
160,220,1.206,18,20,0.2,2.228,0.99
160,270,0.982,12.5,40,0.2,2.24,1.12
160,270,0.982,14.5,30,0.2,2.2,1.1
160,270,0.982,16,25,0.2,2.0,1.0
160,330,0.804,12.5,45,0.2,2.48,1.24
160,330,0.804,14.5,35,0.2,2.44,1.22
160,330,0.804,16,30,0.2,2.4,1.2
160,330,0.804,18,25,0.2,2.36,1.18
160,390,0.68,14.5,40,0.2,2.76,1.38
160,390,0.68,16,35,0.2,2.76,1.38
160,470,0.564,14.5,45,0.2,3.04,1.52
160,470,0.564,16,40,0.2,3.1,1.55
160,470,0.564,18,30,0.2,3.1,1.55
160,560,0.474,16,45,0.2,3.52,1.76
160,560,0.474,18,35,0.2,3.48,1.74
160,680,0.39,18,40,0.2,4.0,2.0
160,820,0.323,18,50,0.2,4.46,2.23
200,33,8.038,10,16,0.2,0.65,0.26
200,47,5.644,10,20,0.2,0.8,0.32
200,56,4.737,16,16,0.2,1.35,0.54
200,68,3.901,10,25,0.2,1.075,0.43
200,68,3.901,12.5,20,0.2,1.35,0.54
200,82,3.235,10,30,0.2,1.25,0.5
200,82,3.235,18,16,0.2,1.55,0.62
200,100,2.653,10,35,0.2,1.44,0.64
200,100,2.653,14.5,20,0.2,1.305,0.58
200,120,2.21,10,40,0.2,1.665,0.74
200,120,2.21,12.5,25,0.2,1.463,0.65
200,120,2.21,16,20,0.2,1.8,0.8
200,150,1.768,10,45,0.2,1.755,0.78
200,150,1.768,12.5,30,0.2,1.8,0.8
200,150,1.768,14.5,25,0.2,1.778,0.79
200,180,1.474,12.5,35,0.2,2.07,0.92
200,180,1.474,14.5,30,0.2,2.138,0.95
200,180,1.474,16,25,0.2,2.025,0.9
200,180,1.474,18,20,0.2,2.25,1.0
200,220,1.206,12.5,40,0.2,2.363,1.05
200,220,1.206,14.5,35,0.2,2.453,1.09
200,220,1.206,16,30,0.2,2.43,1.08
200,270,0.982,12.5,50,0.2,2.52,1.26
200,270,0.982,14.5,40,0.2,2.52,1.26
200,270,0.982,16,30,0.2,2.36,1.18
200,270,0.982,18,25,0.2,2.2,1.1
200,330,0.804,14.5,45,0.2,2.74,1.37
200,330,0.804,16,40,0.2,2.86,1.43
200,330,0.804,18,30,0.2,2.6,1.3
200,390,0.68,14.5,50,0.2,2.96,1.48
200,390,0.68,16,45,0.2,3.1,1.55
200,390,0.68,18,35,0.2,2.86,1.43
200,470,0.564,16,50,0.2,3.36,1.68
200,470,0.564,18,40,0.2,3.24,1.62
200,560,0.474,18,45,0.2,3.54,1.77
220,33,8.038,10,16,0.2,0.6,0.24
220,47,5.644,10,20,0.2,0.75,0.3
220,56,4.737,10,25,0.2,1.0,0.4
220,68,3.901,12.5,20,0.2,1.2,0.48
220,82,3.235,10,30,0.2,1.25,0.5
220,100,2.653,10,35,0.2,1.44,0.64
220,100,2.653,12.5,25,0.2,1.395,0.62
220,100,2.653,14.5,20,0.2,1.35,0.6
220,120,2.21,10,45,0.2,1.688,0.75
220,120,2.21,12.5,30,0.2,1.665,0.74
220,120,2.21,14.5,25,0.2,1.688,0.75
220,120,2.21,16,20,0.2,1.53,0.68
220,150,1.768,12.5,35,0.2,1.98,0.88
220,150,1.768,18,20,0.2,1.868,0.83
220,180,1.474,12.5,40,0.2,2.295,1.02
220,180,1.474,14.5,30,0.2,2.048,0.91
220,180,1.474,16,25,0.2,2.025,0.9
220,220,1.206,12.5,45,0.2,2.363,1.05
220,220,1.206,14.5,35,0.2,2.34,1.04
220,220,1.206,16,30,0.2,2.318,1.03
220,220,1.206,18,25,0.2,2.228,0.99
220,270,0.982,14.5,45,0.2,2.6,1.3
220,270,0.982,16,35,0.2,2.38,1.19
220,270,0.982,18,30,0.2,2.34,1.17
220,330,0.804,14.5,50,0.2,2.82,1.41
220,330,0.804,16,40,0.2,2.72,1.36
220,330,0.804,18,35,0.2,2.7,1.35
220,390,0.68,16,45,0.2,2.96,1.48
220,390,0.68,18,40,0.2,3.1,1.55
220,470,0.564,18,45,0.2,3.38,1.69
220,560,0.474,18,50,0.2,3.6,1.8
250,27,9.824,10,16,0.2,0.65,0.26
250,39,6.801,10,20,0.2,0.8,0.32
250,47,5.644,10,25,0.2,0.975,0.39
250,47,5.644,16,16,0.2,1.35,0.54
250,56,4.737,12.5,20,0.2,1.35,0.54
250,56,4.737,18,16,0.2,1.55,0.62
250,68,3.901,10,30,0.2,1.25,0.5
250,82,3.235,10,35,0.2,1.425,0.57
250,82,3.235,12.5,25,0.2,1.425,0.57
250,82,3.235,14.5,20,0.2,1.25,0.5
250,100,2.653,10,45,0.2,1.62,0.72
250,100,2.653,12.5,30,0.2,1.553,0.69
250,100,2.653,16,20,0.2,1.8,0.8
250,120,2.21,10,50,0.2,1.755,0.78
250,120,2.21,12.5,35,0.2,1.778,0.79
250,120,2.21,14.5,25,0.2,1.688,0.75
250,120,2.21,18,20,0.2,2.25,1.0
250,150,1.768,12.5,40,0.2,2.07,0.92
250,150,1.768,14.5,30,0.2,1.868,0.83
250,150,1.768,16,25,0.2,1.89,0.84
250,180,1.474,12.5,45,0.2,2.183,0.97
250,180,1.474,14.5,35,0.2,2.16,0.96
250,180,1.474,16,30,0.2,2.138,0.95
250,180,1.474,18,25,0.2,2.07,0.92
250,220,1.206,14.5,40,0.2,2.498,1.11
250,220,1.206,16,35,0.2,2.475,1.1
250,220,1.206,18,30,0.2,2.475,1.1
250,270,0.982,14.5,50,0.2,2.6,1.3
250,270,0.982,16,40,0.2,2.54,1.27
250,270,0.982,18,35,0.2,2.52,1.26
250,330,0.804,16,50,0.2,2.96,1.48
250,330,0.804,18,40,0.2,2.9,1.45
250,390,0.68,18,45,0.2,3.18,1.59
250,470,0.564,18,50,0.2,3.66,1.83
350,18,14.737,10,16,0.2,0.4,0.16
350,22,12.057,10,20,0.2,0.5,0.2
350,27,9.824,16,16,0.2,0.775,0.31
350,33,8.038,10,25,0.2,0.825,0.33
350,33,8.038,12.5,20,0.2,0.85,0.34
350,33,8.038,18,16,0.2,0.95,0.38
350,39,6.801,10,30,0.2,0.975,0.39
350,47,5.644,10,35,0.2,1.125,0.45
350,47,5.644,12.5,25,0.2,1.125,0.45
350,47,5.644,14.5,20,0.2,1.05,0.42
350,56,4.737,10,40,0.2,1.3,0.52
350,56,4.737,12.5,30,0.2,1.375,0.55
350,56,4.737,16,20,0.2,1.2,0.48
350,68,3.901,10,50,0.2,1.5,0.6
350,68,3.901,12.5,35,0.2,1.525,0.61
350,68,3.901,14.5,25,0.2,1.4,0.56
350,82,3.235,12.5,40,0.2,1.775,0.71
350,82,3.235,14.5,30,0.2,1.675,0.67
350,82,3.235,16,25,0.2,1.625,0.65
350,82,3.235,18,20,0.2,1.3,0.52
350,100,2.653,12.5,45,0.2,1.778,0.79
350,100,2.653,14.5,35,0.2,1.755,0.78
350,100,2.653,16,30,0.2,1.733,0.77
350,100,2.653,18,25,0.2,1.71,0.76
350,120,2.21,12.5,50,0.2,1.913,0.85
350,120,2.21,14.5,40,0.2,2.025,0.9
350,120,2.21,16,35,0.2,2.003,0.89
350,150,1.768,14.5,45,0.2,2.183,0.97
