Capacitance,Voltage,min,max,avg
0.47,63,1.35,1.35,1.35
0.47,100,1.85,1.85,1.85
1,50,3.5,4.0,3.833
1,63,1.35,1.35,1.35
1,100,1.85,4.5,3.617
1,350,21.5,21.5,21.5
1,400,25.0,25.0,25.0
1.2,350,21.5,21.5,21.5
1.2,400,25.0,25.0,25.0
1.2,450,25.0,25.0,25.0
1.5,50,11.0,11.0,11.0
1.5,350,21.5,21.5,21.5
1.5,400,25.0,25.0,25.0
1.5,450,25.0,25.0,25.0
1.8,63,1.35,1.35,1.35
1.8,100,1.8,1.8,1.8
1.8,160,13.94,13.94,13.94
1.8,350,21.5,21.5,21.5
1.8,400,25.0,25.0,25.0
1.8,450,20.0,20.0,20.0
2.2,50,2.5,7.0,4.056
2.2,63,1.35,1.35,1.35
2.2,100,1.8,10.0,6.325
2.2,160,13.94,13.94,13.94
2.2,200,14.5,14.5,14.5
2.2,250,10.15,10.15,10.15
2.2,350,21.5,21.5,21.5
2.2,400,20.0,20.0,20.0
2.2,450,15.72,15.72,15.72
2.7,63,1.35,1.35,1.35
2.7,100,1.8,1.8,1.8
2.7,160,13.94,13.94,13.94
2.7,200,14.5,14.5,14.5
2.7,250,10.15,10.15,10.15
2.7,350,15.71,15.71,15.71
2.7,400,15.72,15.72,15.72
2.7,450,15.72,15.72,15.72
3.3,50,2.2,4.6,3.133
3.3,63,1.2,1.35,1.275
3.3,100,1.8,8.5,4.333
3.3,160,13.94,13.94,13.94
3.3,200,10.15,10.15,10.15
3.3,250,10.15,10.15,10.15
3.3,350,15.72,15.72,15.72
3.3,400,15.72,15.72,15.72
3.3,450,15.72,15.72,15.72
3.9,63,1.35,1.35,1.35
3.9,100,1.8,1.8,1.8
3.9,160,13.94,13.94,13.94
3.9,200,10.15,10.15,10.15
3.9,250,10.15,10.15,10.15
3.9,350,15.72,15.72,15.72
3.9,400,15.72,15.72,15.72
3.9,450,15.72,15.72,15.72
4.7,25,0.6,1.5,1.05
4.7,35,0.6,1.5,1.05
4.7,50,0.85,3.5,1.946
4.7,63,1.2,4.7,3.31
4.7,80,4.2,4.2,4.2
4.7,100,1.3,8.0,3.183
4.7,160,11.3,11.3,11.3
4.7,200,10.15,10.15,10.15
4.7,250,10.15,10.15,10.15
4.7,350,15.72,15.72,15.72
4.7,400,12.0,12.0,12.0
4.7,450,10.51,10.51,10.51
5.6,50,1.0,1.0,1.0
5.6,63,1.35,1.35,1.35
5.6,100,1.25,1.9,1.683
5.6,160,11.3,11.3,11.3
5.6,200,7.98,7.98,7.98
5.6,250,9.0,9.0,9.0
5.6,350,10.51,10.51,10.51
5.6,400,10.5,10.51,10.505
5.6,450,7.5,7.5,7.5
6.8,25,0.08,0.08,0.08
6.8,35,5.2,7.7,6.45
6.8,50,1.8,3.1,2.475
6.8,63,1.35,4.3,2.717
6.8,80,1.9,2.6,2.367
6.8,100,0.045,7.5,2.058
6.8,160,11.3,11.3,11.3
6.8,200,7.98,7.98,7.98
6.8,250,6.7,6.7,6.7
6.8,350,10.51,10.51,10.51
6.8,400,8.7,8.7,8.7
6.8,450,7.5,7.5,7.5
8.2,63,1.35,1.35,1.35
8.2,80,1.9,1.9,1.9
8.2,100,0.72,1.4,1.092
8.2,160,11.3,11.3,11.3
8.2,200,7.98,7.98,7.98
8.2,250,3.65,3.65,3.65
8.2,350,7.5,7.5,7.5
8.2,400,7.5,7.5,7.5
8.2,450,6.2,6.2,6.2
10,10,0.22,5.9,1.356
10,16,0.6,1.5,1.058
10,25,0.06,1.5,0.544
10,35,0.5,3.1,1.234
10,50,0.5,3.5,1.372
10,63,0.55,2.5,1.602
10,80,0.04,2.5,1.468
10,100,0.042,5.0,1.418
10,160,7.5,7.5,7.5
10,200,3.65,3.65,3.65
10,250,3.65,3.65,3.65
10,350,7.5,7.5,7.5
10,400,4.9,5.7,5.3
10,450,5.2,6.2,5.7
12,50,1.2,1.7,1.533
12,63,0.93,2.0,1.526
12,80,0.038,1.4,0.986
12,100,0.39,1.1,0.918
12,160,7.5,7.5,7.5
12,200,3.65,3.65,3.65
15,16,0.95,0.95,0.95
15,20,0.063,0.063,0.063
15,25,0.049,0.95,0.646
15,35,0.95,0.95,0.95
15,50,0.93,1.35,1.22
15,63,0.73,2.3,1.191
15,80,1.1,1.2,1.167
15,100,0.43,5.0,1.167
15,160,4.27,4.27,4.27
15,200,3.65,3.65,3.65
15,250,3.24,3.24,3.24
15,350,6.2,6.2,6.2
15,400,4.0,4.2,4.1
15,450,5.2,5.2,5.2
18,16,0.92,0.92,0.92
18,35,0.47,0.47,0.47
18,50,0.8,1.3,1.079
18,63,0.38,1.2,0.752
18,80,1.0,1.1,1.033
18,100,0.038,0.8,0.53
18,160,4.27,4.27,4.27
18,200,3.24,3.24,3.24
18,250,3.24,3.24,3.24
18,350,3.1,6.2,4.65
18,400,3.2,4.2,3.7
18,450,3.6,3.6,3.6
22,6.3,0.6,1.5,1.05
22,10,0.6,5.4,2.5
22,16,0.049,3.3,1.052
22,20,0.049,0.05,0.05
22,25,0.028,3.3,0.811
22,35,0.32,1.5,0.917
22,50,0.035,2.3,0.724
22,63,0.035,2.0,0.98
22,80,0.035,1.5,0.861
22,100,0.52,2.7,0.754
22,160,2.25,2.25,2.25
22,200,3.24,3.24,3.24
22,250,3.24,3.24,3.24
22,350,3.1,3.1,3.1
22,400,2.25,2.7,2.4
22,450,2.02,2.02,2.02
27,10,0.89,0.89,0.89
27,16,0.3,0.3,0.3
27,25,0.46,0.5,0.48
27,35,0.5,1.0,0.728
27,50,0.033,0.9,0.499
27,63,0.033,1.2,0.619
27,80,0.34,0.63,0.497
27,100,0.18,0.63,0.46
27,160,2.25,2.25,2.25
27,200,2.38,2.38,2.38
27,400,1.9,1.9,1.9
33,6.3,0.6,1.5,1.05
33,10,0.049,3.3,1.362
33,16,0.049,2.1,0.732
33,20,0.049,0.049,0.049
33,25,0.02,1.5,0.601
33,35,0.22,1.5,0.569
33,50,0.032,1.2,0.469
33,63,0.026,1.5,0.634
33,80,0.53,0.8,0.633
33,100,0.2,2.5,0.523
33,120,0.25,0.25,0.25
33,160,1.87,1.87,1.87
33,200,1.65,1.8,1.725
33,250,1.38,1.38,1.38
33,350,2.25,2.25,2.25
33,400,1.5,1.7,1.633
33,450,1.82,1.82,1.82
39,6.3,0.85,0.85,0.85
39,16,0.36,0.36,0.36
39,20,0.045,0.045,0.045
39,25,0.22,1.1,0.683
39,35,0.033,0.7,0.376
39,50,0.025,0.56,0.304
39,63,0.025,0.7,0.404
39,80,0.18,0.49,0.425
39,100,0.14,0.45,0.308
39,160,1.87,1.87,1.87
39,200,1.38,1.4,1.39
39,400,1.2,1.2,1.2
39,450,1.4,1.4,1.4
47,6.3,0.042,1.5,0.714
47,10,0.025,2.2,0.923
47,16,0.042,1.5,0.748
47,20,0.028,0.045,0.036
47,25,0.02,1.5,0.459
47,35,0.024,0.87,0.327
47,50,0.024,1.2,0.393
47,63,0.025,0.65,0.389
47,80,0.2,0.8,0.44
47,100,0.14,1.8,0.389
47,120,0.19,0.19,0.19
47,160,1.87,1.87,1.87
47,200,1.38,1.38,1.38
47,250,1.38,1.38,1.38
47,350,2.25,2.25,2.25
47,400,1.1,1.7,1.333
47,450,1.2,1.38,1.315
56,10,0.44,0.44,0.44
56,16,0.22,1.1,0.607
56,20,0.04,0.04,0.04
56,25,0.018,0.75,0.29
56,35,0.029,0.58,0.249
56,50,0.12,0.41,0.242
56,63,0.025,0.63,0.3
56,80,0.14,0.47,0.317
56,100,0.11,1.5,0.294
56,120,0.17,0.17,0.17
56,160,1.55,1.55,1.55
56,200,1.0,1.25,1.167
56,250,1.25,1.25,1.25
56,350,2.02,2.02,2.02
56,400,0.84,1.7,1.413
56,450,1.1,1.38,1.24
68,6.3,0.43,0.43,0.43
68,10,0.025,1.4,0.81
68,16,0.007,0.92,0.497
68,20,0.025,0.04,0.032
68,25,0.018,0.61,0.289
68,35,0.1,0.41,0.27
68,50,0.024,0.31,0.214
68,63,0.15,0.36,0.258
68,80,0.14,0.31,0.226
68,100,0.11,1.3,0.262
68,160,1.1,1.1,1.1
68,200,1.25,1.25,1.25
68,250,1.25,1.25,1.25
68,350,1.38,1.38,1.38
68,400,0.72,1.38,0.993
68,450,0.86,1.25,1.007
82,10,0.6,1.1,0.796
82,16,0.22,0.71,0.502
82,20,0.04,0.04,0.04
82,25,0.018,0.51,0.257
82,35,0.02,0.32,0.18
82,50,0.16,0.24,0.199
82,63,0.11,0.45,0.208
82,80,0.11,0.32,0.202
82,100,0.084,1.2,0.226
82,120,0.12,0.12,0.12
82,160,1.1,1.1,1.1
82,200,0.72,1.15,0.935
82,250,1.15,1.15,1.15
82,350,1.38,1.38,1.38
82,400,0.64,1.25,0.948
82,450,0.78,0.97,0.847
100,2.5,0.007,0.007,0.007
100,6.3,0.28,1.5,0.972
100,10,0.007,1.5,0.615
100,16,0.007,1.1,0.214
100,20,0.015,0.022,0.018
100,25,0.015,0.58,0.223
100,35,0.025,0.39,0.159
100,50,0.074,0.63,0.174
100,63,0.1,0.41,0.218
100,80,0.11,0.39,0.211
100,100,0.068,0.95,0.176
100,120,0.1,0.1,0.1
100,160,1.1,1.1,1.1
100,200,0.63,1.15,0.89
100,250,1.18,1.18,1.18
100,350,1.25,1.25,1.25
100,400,0.54,0.97,0.755
100,450,0.67,0.67,0.67
110,450,0.59,0.59,0.59
120,6.3,0.61,1.3,0.913
120,10,0.22,0.91,0.495
120,16,0.094,0.58,0.318
120,20,0.027,0.035,0.031
120,25,0.027,0.38,0.203
120,35,0.018,0.26,0.157
120,50,0.061,0.45,0.127
120,63,0.076,0.33,0.156
120,80,0.084,0.2,0.137
120,100,0.06,0.8,0.146
120,120,0.085,0.09,0.088
120,160,0.91,0.91,0.91
120,200,0.44,1.03,0.735
120,250,1.02,1.02,1.02
120,350,1.25,1.25,1.25
120,400,0.49,0.49,0.49
120,450,0.58,0.58,0.58
130,100,0.12,0.12,0.12
150,6.3,0.007,0.92,0.442
150,10,0.02,0.7,0.318
150,16,0.007,0.5,0.224
150,20,0.02,0.027,0.023
150,25,0.026,0.33,0.166
150,35,0.02,0.28,0.121
150,50,0.054,0.33,0.116
150,63,0.08,0.25,0.148
150,80,0.069,0.24,0.122
150,100,0.053,0.9,0.138
150,120,0.21,0.21,0.21
150,160,0.91,0.91,0.91
150,200,0.31,1.03,0.67
150,250,0.98,0.98,0.98
160,50,0.24,0.24,0.24
160,100,0.074,0.09,0.082
180,6.3,0.29,0.66,0.468
180,10,0.15,0.65,0.358
180,16,0.008,0.34,0.112
180,25,0.016,0.24,0.121
180,35,0.068,0.18,0.111
180,50,0.046,0.17,0.087
180,63,0.056,0.23,0.115
180,80,0.068,0.19,0.12
180,100,0.048,0.13,0.097
180,120,0.17,0.18,0.175
180,160,0.81,0.81,0.81
180,200,0.3,0.8,0.487
180,250,0.74,0.74,0.74
200,100,0.082,0.11,0.096
220,6.3,0.007,0.61,0.283
220,10,0.007,0.59,0.249
220,16,0.012,0.33,0.13
220,20,0.025,0.025,0.025
220,25,0.016,0.28,0.124
220,35,0.039,0.21,0.091
220,50,0.041,0.31,0.089
220,63,0.046,0.2,0.103
220,80,0.055,0.18,0.098
220,100,0.038,0.6,0.091
220,120,0.15,0.15,0.15
220,160,0.81,0.81,0.81
220,200,0.28,0.74,0.44
220,250,0.61,0.61,0.61
240,50,0.12,0.16,0.14
240,70,0.093,0.096,0.094
240,80,0.097,0.101,0.099
240,100,0.062,0.071,0.066
270,4,0.007,0.02,0.012
270,6.3,0.011,0.41,0.212
270,10,0.008,0.34,0.176
270,16,0.007,0.22,0.079
270,20,0.024,0.024,0.024
270,25,0.01,0.18,0.088
270,35,0.029,0.13,0.065
270,50,0.03,0.14,0.057
270,63,0.041,0.16,0.084
270,80,0.047,0.12,0.079
270,100,0.033,0.11,0.062
270,120,0.12,0.14,0.13
270,160,0.67,0.67,0.67
270,200,0.24,0.24,0.24
290,80,0.076,0.076,0.076
300,35,0.14,0.14,0.14
300,50,0.1,0.1,0.1
300,100,0.042,0.079,0.058
330,2.5,0.007,0.008,0.007
330,4,0.008,0.008,0.008
330,6.3,0.007,0.5,0.164
330,10,0.017,0.33,0.163
330,16,0.007,0.28,0.089
330,20,0.017,0.024,0.02
330,25,0.01,0.22,0.089
330,35,0.028,0.14,0.064
330,50,0.028,0.21,0.066
330,63,0.037,0.14,0.077
330,80,0.042,0.19,0.084
330,100,0.028,0.57,0.072
330,120,0.1,0.1,0.1
330,160,0.67,0.67,0.67
330,200,0.21,0.21,0.21
360,70,0.067,0.1,0.084
360,100,0.038,0.068,0.052
390,2.5,0.012,0.02,0.016
390,4,0.024,0.024,0.024
390,6.3,0.005,0.29,0.124
390,10,0.016,0.24,0.144
390,16,0.015,0.16,0.084
390,20,0.014,0.014,0.014
390,25,0.01,0.13,0.059
390,35,0.027,0.14,0.049
390,50,0.028,0.12,0.055
390,63,0.031,0.12,0.061
390,80,0.036,0.11,0.061
390,100,0.026,0.083,0.045
390,120,0.085,0.1,0.092
420,80,0.061,0.061,0.061
430,50,0.055,0.065,0.061
430,70,0.061,0.067,0.063
430,80,0.052,0.052,0.052
430,100,0.031,0.055,0.044
470,2.5,0.007,0.007,0.007
470,6.3,0.005,0.28,0.104
470,10,0.007,0.3,0.126
470,16,0.009,0.19,0.072
470,20,0.012,0.012,0.012
470,25,0.01,0.165,0.064
470,35,0.02,0.11,0.049
470,50,0.027,0.16,0.052
470,63,0.028,0.19,0.06
470,70,0.054,0.054,0.054
470,80,0.032,0.116,0.058
470,100,0.022,0.55,0.069
470,120,0.075,0.08,0.078
490,80,0.051,0.051,0.051
510,25,0.13,0.14,0.135
510,35,0.068,0.094,0.081
510,50,0.049,0.072,0.062
510,63,0.069,0.072,0.071
510,70,0.061,0.075,0.069
510,80,0.042,0.042,0.042
510,100,0.035,0.054,0.041
560,2.5,0.005,0.013,0.007
560,4,0.005,0.015,0.007
560,6.3,0.008,0.21,0.067
560,10,0.007,0.18,0.089
560,16,0.014,0.16,0.062
560,20,0.012,0.012,0.012
560,25,0.01,0.14,0.051
560,35,0.018,0.15,0.045
560,50,0.02,0.12,0.045
560,63,0.024,0.085,0.047
560,70,0.051,0.07,0.061
560,80,0.026,0.1,0.052
560,100,0.02,0.068,0.036
560,120,0.07,0.07,0.07
570,80,0.045,0.045,0.045
620,35,0.038,0.038,0.038
620,50,0.056,0.076,0.07
620,63,0.062,0.062,0.062
620,70,0.045,0.064,0.055
620,80,0.035,0.057,0.042
620,100,0.032,0.044,0.038
650,63,0.051,0.051,0.051
680,2.5,0.005,0.015,0.008
680,4,0.005,0.007,0.006
680,6.3,0.005,0.22,0.078
680,10,0.007,0.19,0.087
680,16,0.008,0.14,0.059
680,20,0.012,0.012,0.012
680,25,0.01,0.11,0.044
680,35,0.017,0.075,0.036
680,50,0.021,0.1,0.04
680,63,0.021,0.08,0.043
680,80,0.024,0.07,0.04
680,100,0.018,0.18,0.037
680,120,0.06,0.06,0.06
750,25,0.078,0.094,0.086
750,35,0.046,0.12,0.069
750,50,0.038,0.085,0.058
750,63,0.042,0.053,0.045
750,70,0.04,0.063,0.052
750,80,0.031,0.049,0.037
750,100,0.025,0.039,0.031
800,80,0.034,0.034,0.034
820,2.5,0.005,0.008,0.007
820,4,0.005,0.01,0.006
820,6.3,0.005,0.19,0.06
820,10,0.01,0.14,0.062
820,16,0.008,0.12,0.044
820,20,0.012,0.012,0.012
820,25,0.01,0.1,0.039
820,35,0.015,0.066,0.036
820,50,0.019,0.083,0.034
820,63,0.021,0.08,0.04
820,70,0.036,0.042,0.039
820,80,0.022,0.062,0.037
820,100,0.018,0.13,0.032
830,35,0.174,0.174,0.174
900,50,0.057,0.057,0.057
910,16,0.14,0.14,0.14
910,25,0.046,0.082,0.064
910,35,0.068,0.1,0.084
910,50,0.037,0.065,0.047
910,63,0.029,0.047,0.04
910,70,0.047,0.047,0.047
910,80,0.031,0.037,0.034
910,100,0.026,0.026,0.026
950,63,0.038,0.048,0.043
950,80,0.036,0.036,0.036
950,100,0.021,0.021,0.021
1000,2.5,0.005,0.006,0.006
1000,4,0.006,0.007,0.007
1000,6.3,0.007,0.19,0.071
1000,10,0.014,0.14,0.061
1000,16,0.008,0.11,0.042
1000,25,0.01,0.091,0.035
1000,35,0.015,0.061,0.032
1000,50,0.018,0.073,0.032
1000,63,0.018,0.066,0.038
1000,70,0.033,0.045,0.039
1000,80,0.02,0.051,0.032
1000,100,0.017,0.13,0.044
1100,25,0.07,0.174,0.121
1100,35,0.033,0.072,0.048
1100,50,0.037,0.051,0.045
1100,63,0.031,0.037,0.034
1100,70,0.038,0.042,0.04
1100,80,0.028,0.028,0.028
1200,2.5,0.007,0.008,0.007
1200,4,0.005,0.01,0.007
1200,6.3,0.009,0.14,0.057
1200,10,0.009,0.12,0.048
1200,16,0.008,0.1,0.039
1200,25,0.01,0.073,0.038
1200,35,0.014,0.084,0.028
1200,50,0.017,0.054,0.029
1200,63,0.018,0.046,0.03
1200,80,0.018,0.032,0.025
1200,100,0.018,0.021,0.02
1300,16,0.1,0.1,0.1
1300,25,0.034,0.068,0.056
1300,35,0.029,0.107,0.046
1300,50,0.026,0.048,0.038
1300,63,0.021,0.041,0.033
1300,70,0.034,0.037,0.036
1300,80,0.022,0.031,0.025
1400,35,0.035,0.067,0.05
1500,2.5,0.005,0.008,0.007
1500,6.3,0.007,0.14,0.052
1500,10,0.018,0.11,0.044
1500,16,0.008,0.075,0.033
1500,25,0.015,0.062,0.03
1500,35,0.012,0.121,0.025
1500,50,0.015,0.045,0.025
1500,63,0.018,0.043,0.027
1500,80,0.018,0.028,0.022
1500,100,0.017,0.017,0.017
1600,25,0.029,0.08,0.053
1600,35,0.022,0.084,0.039
1600,50,0.023,0.039,0.032
1600,63,0.027,0.03,0.028
1600,80,0.021,0.021,0.021
1700,25,0.057,0.057,0.057
1700,63,0.027,0.027,0.027
1800,2.5,0.009,0.009,0.009
1800,4,0.007,0.009,0.008
1800,6.3,0.008,0.084,0.044
1800,10,0.019,0.072,0.036
1800,16,0.008,0.062,0.027
1800,25,0.014,0.107,0.029
1800,35,0.011,0.058,0.023
1800,50,0.016,0.047,0.025
1800,63,0.016,0.051,0.024
1800,80,0.017,0.027,0.02
1900,50,0.034,0.034,0.034
2000,16,0.065,0.065,0.065
2000,25,0.029,0.05,0.039
2000,35,0.018,0.041,0.028
2000,50,0.02,0.038,0.028
2000,63,0.024,0.031,0.027
2100,25,0.121,0.121,0.121
2100,35,0.033,0.107,0.074
2200,2.5,0.008,0.008,0.008
2200,4,0.007,0.007,0.007
2200,6.3,0.018,0.095,0.042
2200,10,0.017,0.087,0.036
2200,16,0.008,0.069,0.029
2200,25,0.012,0.054,0.024
2200,35,0.01,0.07,0.023
2200,50,0.014,0.04,0.023
2200,63,0.015,0.032,0.022
2400,16,0.008,0.047,0.021
2400,25,0.034,0.084,0.052
2400,35,0.021,0.039,0.028
2400,50,0.018,0.033,0.027
2400,63,0.018,0.023,0.021
2400,80,0.017,0.017,0.017
2500,35,0.033,0.062,0.042
2500,63,0.021,0.021,0.021
2600,50,0.031,0.031,0.031
2700,2.5,0.007,0.008,0.008
2700,4,0.008,0.008,0.008
2700,6.3,0.017,0.072,0.035
2700,10,0.016,0.051,0.032
2700,16,0.014,0.042,0.024
2700,25,0.011,0.051,0.023
2700,35,0.011,0.033,0.02
2700,50,0.013,0.036,0.019
2700,63,0.015,0.015,0.015
2800,25,0.039,0.039,0.039
2800,35,0.032,0.032,0.032
2900,35,0.048,0.048,0.048
3000,25,0.029,0.107,0.041
3000,35,0.018,0.079,0.034
3000,50,0.022,0.024,0.023
3100,25,0.082,0.082,0.082
3100,35,0.02,0.029,0.024
3200,25,0.07,0.07,0.07
3200,35,0.028,0.028,0.028
3300,6.3,0.016,0.081,0.037
3300,10,0.015,0.077,0.029
3300,16,0.012,0.055,0.022
3300,25,0.01,0.047,0.022
3300,35,0.01,0.035,0.019
3300,50,0.012,0.017,0.014
3300,63,0.017,0.021,0.019
3400,25,0.041,0.041,0.041
3400,35,0.026,0.026,0.026
3500,25,0.033,0.033,0.033
3500,35,0.024,0.024,0.024
3600,25,0.021,0.042,0.031
3600,35,0.019,0.03,0.023
3600,50,0.02,0.023,0.022
3700,25,0.062,0.062,0.062
3800,35,0.025,0.025,0.025
3900,2.5,0.008,0.008,0.008
3900,6.3,0.015,0.056,0.028
3900,10,0.014,0.041,0.024
3900,16,0.011,0.034,0.02
3900,25,0.011,0.042,0.02
3900,35,0.01,0.028,0.018
3900,50,0.014,0.014,0.014
4000,35,0.023,0.051,0.034
4200,25,0.033,0.048,0.039
4200,35,0.056,0.056,0.056
4300,25,0.022,0.079,0.035
4300,35,0.016,0.03,0.02
4400,25,0.03,0.03,0.03
4500,25,0.027,0.027,0.027
4500,35,0.022,0.022,0.022
4600,25,0.032,0.032,0.032
4600,35,0.045,0.045,0.045
4700,6.3,0.013,0.063,0.026
4700,10,0.012,0.057,0.022
4700,16,0.011,0.046,0.021
4700,25,0.011,0.037,0.02
4700,35,0.011,0.027,0.018
4800,35,0.024,0.024,0.024
5000,35,0.023,0.023,0.023
5100,25,0.016,0.031,0.021
5100,35,0.015,0.024,0.02
5300,25,0.029,0.029,0.029
5300,35,0.042,0.042,0.042
5400,25,0.02,0.028,0.024
5400,35,0.018,0.018,0.018
5600,6.3,0.012,0.047,0.022
5600,10,0.011,0.033,0.019
5600,16,0.01,0.038,0.019
5600,25,0.01,0.028,0.018
5600,35,0.012,0.045,0.021
5700,25,0.028,0.028,0.028
5800,25,0.051,0.051,0.051
5900,25,0.024,0.024,0.024
5900,35,0.02,0.02,0.02
6000,25,0.03,0.056,0.043
6000,35,0.019,0.019,0.019
6200,25,0.019,0.03,0.024
6200,35,0.014,0.019,0.018
6400,25,0.025,0.025,0.025
6500,35,0.042,0.042,0.042
6600,25,0.023,0.023,0.023
6600,35,0.017,0.017,0.017
6700,35,0.02,0.02,0.02
6800,6.3,0.011,0.055,0.022
6800,10,0.012,0.046,0.02
6800,16,0.011,0.04,0.019
6800,25,0.01,0.045,0.017
6800,35,0.014,0.014,0.014
6900,35,0.018,0.018,0.018
7100,35,0.017,0.017,0.017
7300,35,0.019,0.019,0.019
7400,35,0.04,0.04,0.04
7500,16,0.031,0.031,0.031
7500,25,0.016,0.022,0.02
7500,35,0.018,0.018,0.018
7600,35,0.018,0.018,0.018
7800,25,0.019,0.042,0.026
7900,25,0.024,0.024,0.024
8000,25,0.021,0.045,0.033
8100,25,0.022,0.022,0.022
8200,6.3,0.012,0.047,0.02
8200,10,0.01,0.038,0.018
8200,16,0.01,0.036,0.017
8200,25,0.011,0.024,0.017
8200,35,0.014,0.016,0.015
8400,35,0.015,0.015,0.015
8500,25,0.02,0.02,0.02
9000,35,0.016,0.016,0.016
9100,16,0.025,0.025,0.025
9100,25,0.015,0.019,0.018
9200,25,0.022,0.022,0.022
9300,25,0.042,0.042,0.042
9500,25,0.019,0.019,0.019
9900,25,0.018,0.018,0.018
10000,6.3,0.01,0.039,0.02
10000,10,0.011,0.037,0.017
10000,16,0.012,0.03,0.016
10000,25,0.014,0.019,0.018
10000,35,0.015,0.015,0.015
11000,25,0.014,0.04,0.02
12000,6.3,0.011,0.023,0.016
12000,10,0.01,0.015,0.013
12000,16,0.011,0.024,0.014
12000,25,0.016,0.018,0.017
14000,25,0.015,0.015,0.015
15000,6.3,0.01,0.037,0.017
15000,10,0.011,0.027,0.015
15000,25,0.015,0.015,0.015
18000,6.3,0.012,0.015,0.013
22000,6.3,0.011,0.012,0.011
