Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current
180,120,2.21,10,40,0.2,0.53
180,150,1.768,10,45,0.2,0.61
180,180,1.474,10,50,0.2,0.69
180,220,1.206,12.5,40,0.2,0.8
180,220,1.206,14.5,31.5,0.2,0.8
180,270,0.982,12.5,45,0.2,0.91
180,270,0.982,14.5,35,0.2,0.9
180,270,0.982,16,31.5,0.2,0.92
180,330,0.804,14.5,45,0.2,1.09
180,330,0.804,16,35,0.2,1.04
180,330,0.804,18,31.5,0.2,1.03
180,390,0.68,16,40,0.2,1.17
180,390,0.68,18,35,0.2,1.14
180,470,0.564,16,45,0.2,1.31
180,470,0.564,18,40,0.2,1.29
180,560,0.474,18,45,0.2,1.44
180,680,0.39,18,50,0.2,1.59
200,120,2.21,10,40,0.2,0.54
200,150,1.768,10,45,0.2,0.62
200,180,1.474,12.5,40,0.2,0.73
200,220,1.206,12.5,45,0.2,0.84
200,220,1.206,14.5,35,0.2,0.83
200,220,1.206,16,31.5,0.2,0.85
200,270,0.982,12.5,50,0.2,0.94
200,270,0.982,14.5,40,0.2,0.96
200,330,0.804,14.5,45,0.2,1.08
200,330,0.804,16,40,0.2,1.1
200,330,0.804,18,31.5,0.2,1.02
200,390,0.68,16,45,0.2,1.23
200,390,0.68,18,35,0.2,1.13
200,470,0.564,16,50,0.2,1.37
200,470,0.564,18,40,0.2,1.29
200,560,0.474,18,45,0.2,1.44
250,82,3.235,10,40,0.2,0.45
250,100,2.653,10,45,0.2,0.52
250,120,2.21,10,50,0.2,0.59
250,150,1.768,12.5,40,0.2,0.65
250,150,1.768,14.5,31.5,0.2,0.68
250,180,1.474,12.5,45,0.2,0.77
250,180,1.474,14.5,35,0.2,0.77
250,180,1.474,16,31.5,0.2,0.79
250,220,1.206,14.5,40,0.2,0.88
250,220,1.206,16,35,0.2,0.89
250,220,1.206,18,31.5,0.2,0.88
250,270,0.982,16,40,0.2,1.01
250,270,0.982,18,35,0.2,0.99
250,330,0.804,16,45,0.2,1.15
250,330,0.804,18,40,0.2,1.13
250,390,0.68,18,45,0.2,1.27
250,470,0.564,18,50,0.2,1.41
350,56,4.737,10,40,0.2,0.37
350,68,3.901,10,45,0.2,0.43
350,100,2.653,12.5,40,0.2,0.56
350,100,2.653,14.5,31.5,0.2,0.56
350,120,2.21,12.5,50,0.2,0.66
350,120,2.21,14.5,35,0.2,0.63
350,120,2.21,16,31.5,0.2,0.65
350,150,1.768,14.5,45,0.2,0.76
350,150,1.768,16,35,0.2,0.74
350,150,1.768,18,31.5,0.2,0.74
350,180,1.474,16,40,0.2,0.84
350,180,1.474,18,35,0.2,0.83
350,220,1.206,16,50,0.2,0.99
350,220,1.206,18,40,0.2,0.93
350,270,0.982,18,45,0.2,1.03
400,15,17.684,8,25,0.2,0.16
400,18,14.737,8,30,0.2,0.19
400,22,12.057,8,35,0.2,0.22
400,27,9.824,8,40,0.2,0.25
400,33,8.038,8,45,0.2,0.29
400,39,6.801,10,40,0.2,0.37
400,47,5.644,10,45,0.2,0.42
400,56,4.737,10,50,0.2,0.47
400,68,3.901,12.5,40,0.2,0.54
400,82,3.235,12.5,45,0.2,0.61
400,82,3.235,14.5,31.5,0.2,0.57
400,100,2.653,12.5,50,0.2,0.68
400,100,2.653,14.5,40,0.2,0.69
400,100,2.653,16,31.5,0.2,0.71
400,120,2.21,14.5,45,0.2,0.79
400,120,2.21,16,35,0.2,0.8
400,150,1.768,16,40,0.2,0.92
400,150,1.768,18,31.5,0.2,0.89
400,150,1.768,18,40,0.2,1.05
400,180,1.474,16,50,0.2,1.08
400,180,1.474,18,40,0.2,1.06
400,220,1.206,18,45,0.2,1.2
420,12,22.105,8,25,0.2,0.1
420,15,17.684,8,30,0.2,0.12
420,18,14.737,8,35,0.2,0.16
420,22,12.057,8,40,0.2,0.19
420,39,6.801,10,40,0.2,0.36
420,47,5.644,10,50,0.2,0.43
420,56,4.737,12.5,40,0.2,0.48
420,68,3.901,12.5,40,0.2,0.52
420,68,3.901,14.5,31.5,0.2,0.52
420,82,3.235,12.5,45,0.2,0.59
420,82,3.235,14.5,35,0.2,0.59
420,100,2.653,14.5,40,0.2,0.67
420,100,2.653,16,31.5,0.2,0.69
420,120,2.21,14.5,45,0.2,0.75
420,120,2.21,16,35,0.2,0.78
420,120,2.21,18,31.5,0.2,0.8
420,150,1.768,16,45,0.2,0.94
420,150,1.768,18,35,0.2,0.92
420,180,1.474,16,50,0.2,1.05
420,180,1.474,18,40,0.2,1.04
420,220,1.206,18,50,0.2,1.22
450,10,26.526,8,25,0.2,0.12
450,12,22.105,8,30,0.2,0.14
450,15,17.684,8,35,0.2,0.16
450,18,14.737,8,40,0.2,0.18
450,22,12.057,8,50,0.2,0.22
450,33,8.038,10,40,0.2,0.34
450,39,6.801,10,45,0.2,0.38
450,47,5.644,12.5,40,0.2,0.44
450,56,4.737,12.5,40,0.2,0.49
450,68,3.901,12.5,45,0.2,0.55
450,68,3.901,14.5,31.5,0.2,0.52
450,82,3.235,12.5,50,0.2,0.62
450,82,3.235,14.5,40,0.2,0.63
450,82,3.235,16,31.5,0.2,0.64
450,100,2.653,14.5,45,0.2,0.71
450,100,2.653,16,35,0.2,0.73
450,120,2.21,14.5,50,0.2,0.79
450,120,2.21,16,40,0.2,0.82
450,120,2.21,18,31.5,0.2,0.8
450,120,2.21,18,40,0.2,0.85
450,150,1.768,16,50,0.2,0.98
450,150,1.768,18,40,0.2,0.97
450,180,1.474,18,45,0.2,1.09
450,220,1.206,18,50,0.2,1.22
