Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
10,100,3.979,5,11,0.3,5000,0.5,2.0,5.0,2.5,EEUEB1A101S(),66.0,200,2000
10,220,1.809,6.3,11.2,0.3,5000,0.5,2.5,5.0,2.5,EEUEB1A221S(),100.0,200,2000
10,470,0.847,8,15,0.3,10000,0.6,3.5,5.0,,EEUEB1A471(),278.0,200,1000
10,470,0.847,8,11.5,0.3,5000,0.6,3.5,5.0,,EEUEB1A471S(),180.0,200,1000
10,2200,0.193,12.5,20,0.32,10000,0.6,5.0,5.0,,EEUEB1A222(),540.0,200,500
10,3300,0.137,12.5,25,0.34,10000,0.6,5.0,5.0,,EEUEB1A332(),802.0,200,500
16,1000,0.332,10,20,0.25,10000,0.6,5.0,5.0,,EEUEB1C102(),430.0,200,500
16,2200,0.163,12.5,25,0.27,10000,0.6,5.0,5.0,,EEUEB1C222(),706.0,200,500
25,47,6.208,5,11,0.22,5000,0.5,2.0,5.0,2.5,EEUEB1E470S(),55.0,200,2000
25,100,2.918,6.3,11.2,0.22,5000,0.5,2.5,5.0,2.5,EEUEB1E101S(),95.0,200,2000
25,220,1.326,8,11.5,0.22,5000,0.6,3.5,5.0,,EEUEB1E221S(),125.0,200,1000
25,330,0.884,8,15,0.22,10000,0.6,3.5,5.0,,EEUEB1E331(),255.0,200,1000
25,470,0.621,10,16,0.22,10000,0.6,5.0,5.0,,EEUEB1E471(),321.0,200,500
25,1000,0.292,12.5,20,0.22,10000,0.6,5.0,5.0,,EEUEB1E102(),498.0,200,500
35,33,7.234,5,11,0.18,5000,0.5,2.0,5.0,2.5,EEUEB1V330S(),46.0,200,2000
35,220,1.085,8,15,0.18,10000,0.6,3.5,5.0,,EEUEB1V221(),197.0,200,1000
35,330,0.723,10,16,0.18,10000,0.6,5.0,5.0,,EEUEB1V331(),278.0,200,500
35,470,0.508,10,20,0.18,10000,0.6,5.0,5.0,,EEUEB1V471(),349.0,200,500
35,1000,0.239,12.5,25,0.18,10000,0.6,5.0,5.0,,EEUEB1V102(),586.0,200,500
50,2.2,90.429,5,11,0.15,5000,0.5,2.0,5.0,2.5,EEUEB1H2R2S(),15.0,200,2000
50,3.3,60.286,5,11,0.15,5000,0.5,2.0,5.0,2.5,EEUEB1H3R3S(),18.0,200,2000
50,4.7,42.328,5,11,0.15,5000,0.5,2.0,5.0,2.5,EEUEB1H4R7S(),18.0,200,2000
50,10,19.894,5,11,0.15,5000,0.5,2.0,5.0,2.5,EEUEB1H100S(),27.0,200,2000
50,22,9.043,5,11,0.15,5000,0.5,2.0,5.0,2.5,EEUEB1H220S(),39.0,200,2000
50,47,4.233,6.3,11.2,0.15,5000,0.5,2.5,5.0,2.5,EEUEB1H470S(),61.0,200,2000
50,100,1.989,8,11.5,0.15,5000,0.6,3.5,5.0,,EEUEB1H101S(),99.0,200,1000
50,220,0.904,10,16,0.15,10000,0.6,5.0,5.0,,EEUEB1H221(),234.0,200,500
50,330,0.603,10,20,0.15,10000,0.6,5.0,5.0,,EEUEB1H331(),293.0,200,500
50,470,0.423,12.5,20,0.15,10000,0.6,5.0,5.0,,EEUEB1H471(),370.0,200,500
63,2.2,72.343,5,11,0.12,5000,0.5,2.0,5.0,2.5,EEUEB1J2R2S(),16.5,200,2000
63,3.3,48.229,5,11,0.12,5000,0.5,2.0,5.0,2.5,EEUEB1J3R3S(),20.0,200,2000
63,4.7,33.863,5,11,0.12,5000,0.5,2.0,5.0,2.5,EEUEB1J4R7S(),23.0,200,2000
63,10,15.916,5,11,0.12,5000,0.5,2.0,5.0,2.5,EEUEB1J100S(),30.0,200,2000
63,22,7.234,6.3,11.2,0.12,5000,0.5,2.5,5.0,2.5,EEUEB1J220S(),40.0,200,2000
63,33,4.823,6.3,11.2,0.12,5000,0.5,2.5,5.0,2.5,EEUEB1J330S(),50.0,200,2000
63,47,3.386,8,15,0.12,10000,0.6,3.5,5.0,,EEUEB1J470(),94.0,200,1000
63,47,3.386,8,11.5,0.12,5000,0.6,3.5,5.0,,EEUEB1J470S(),80.0,200,1000
63,100,1.592,8,15,0.12,10000,0.6,3.5,5.0,,EEUEB1J101(),180.0,200,1000
63,220,0.723,10,20,0.12,10000,0.6,5.0,5.0,,EEUEB1J221(),292.0,200,500
63,330,0.482,12.5,20,0.12,10000,0.6,5.0,5.0,,EEUEB1J331(),381.0,200,500
63,470,0.339,12.5,25,0.12,10000,0.6,5.0,5.0,,EEUEB1J471(),454.0,200,500
160,22,9.043,10,20,0.15,5000,0.6,5.0,5.0,,EEUEB2C220(),470.0,200,500
160,33,6.029,10,20,0.15,5000,0.6,5.0,5.0,,EEUEB2C330(),470.0,200,500
160,47,4.233,12.5,20,0.15,5000,0.6,5.0,5.0,,EEUEB2C470(),600.0,200,500
160,68,2.926,12.5,25,0.15,5000,0.6,5.0,5.0,,EEUEB2C680(),750.0,200,500
160,68,2.926,16,20,0.15,5000,0.8,7.5,7.5,,EEUEB2C680S(),750.0,100,250
160,100,1.989,16,25,0.15,5000,0.8,7.5,7.5,,EEUEB2C101(),1060.0,100,250
160,100,1.989,18,20,0.15,5000,0.8,7.5,7.5,,EEUEB2C101S(),1060.0,100,250
160,150,1.326,16,31.5,0.15,5000,0.8,7.5,,,EEUEB2C151,1280.0,100,
160,150,1.326,18,25,0.15,5000,0.8,7.5,7.5,,EEUEB2C151S(),1280.0,100,250
160,220,0.904,16,31.5,0.15,5000,0.8,7.5,,,EEUEB2C221,1280.0,100,
160,220,0.904,18,25,0.15,5000,0.8,7.5,7.5,,EEUEB2C221S(),1280.0,100,250
160,330,0.603,18,31.5,0.15,5000,0.8,7.5,,,EEUEB2C331,1690.0,50,
200,22,9.043,10,20,0.15,5000,0.6,5.0,5.0,,EEUEB2D220(),470.0,200,500
200,33,6.029,12.5,20,0.15,5000,0.6,5.0,5.0,,EEUEB2D330(),600.0,200,500
200,47,4.233,12.5,20,0.15,5000,0.6,5.0,5.0,,EEUEB2D470(),600.0,200,500
200,68,2.926,12.5,25,0.15,5000,0.6,5.0,5.0,,EEUEB2D680(),750.0,200,500
