Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Part Number,Ripple Current,Straight leads,Taping
160,22,9.043,10,20,0.15,8000,0.6,5.0,5.0,EEUED2C220( ),500,200,500
160,33,6.029,10,20,0.15,8000,0.6,5.0,5.0,EEUED2C330( ),580,200,500
160,47,4.233,10,20,0.15,8000,0.6,5.0,5.0,EEUED2C470( ),750,200,500
160,68,2.926,12.5,20,0.15,10000,0.6,5.0,5.0,EEUED2C680( ),950,200,500
160,82,2.426,12.5,25,0.15,10000,0.6,5.0,5.0,EEUED2C820( ),1060,200,500
160,100,1.989,12.5,25,0.15,10000,0.6,5.0,5.0,EEUED2C101( ),1170,200,500
160,100,1.989,16,20,0.15,10000,0.8,7.5,7.5,EEUED2C101S( ),1280,100,250
160,150,1.326,16,25,0.15,10000,0.8,7.5,7.5,EEUED2C151( ),1400,100,250
160,150,1.326,18,20,0.15,10000,0.8,7.5,7.5,EEUED2C151S( ),1400,100,250
160,220,0.904,16,31.5,0.15,10000,0.8,7.5,,EEUED2C221,1700,100,
160,220,0.904,18,25,0.15,10000,0.8,7.5,7.5,EEUED2C221S( ),1500,100,250
160,330,0.603,18,31.5,0.15,10000,0.8,7.5,,EEUED2C331,2000,50,
200,22,9.043,10,20,0.15,8000,0.6,5.0,5.0,EEUED2D220( ),600,200,500
200,33,6.029,10,20,0.15,8000,0.6,5.0,5.0,EEUED2D330( ),650,200,500
200,47,4.233,12.5,20,0.15,10000,0.6,5.0,5.0,EEUED2D470( ),790,200,500
200,68,2.926,12.5,25,0.15,10000,0.6,5.0,5.0,EEUED2D680( ),950,200,500
200,68,2.926,16,20,0.15,10000,0.8,7.5,7.5,EEUED2D680S( ),1000,100,250
200,82,2.426,16,20,0.15,10000,0.8,7.5,7.5,EEUED2D820S( ),1100,100,250
200,100,1.989,16,25,0.15,10000,0.8,7.5,7.5,EEUED2D101( ),1300,100,250
200,100,1.989,18,20,0.15,10000,0.8,7.5,7.5,EEUED2D101S( ),1280,100,250
200,150,1.326,16,25,0.15,10000,0.8,7.5,7.5,EEUED2D151( ),1400,100,250
200,220,0.904,18,31.5,0.15,10000,0.8,7.5,,EEUED2D221,2000,50,
200,330,0.603,18,40,0.15,10000,0.8,7.5,,EEUED2D331,2400,50,
250,22,9.043,10,20,0.15,8000,0.6,5.0,5.0,EEUED2E220( ),560,200,500
250,33,6.029,12.5,20,0.15,10000,0.6,5.0,5.0,EEUED2E330( ),710,200,500
250,47,4.233,12.5,25,0.15,10000,0.6,5.0,5.0,EEUED2E470( ),920,200,500
250,47,4.233,16,20,0.15,10000,0.8,7.5,7.5,EEUED2E470S( ),990,100,250
250,68,2.926,16,20,0.15,10000,0.8,7.5,7.5,EEUED2E680S( ),1000,100,250
250,82,2.426,16,25,0.15,10000,0.8,7.5,7.5,EEUED2E820( ),1200,100,250
250,82,2.426,18,20,0.15,10000,0.8,7.5,7.5,EEUED2E820S( ),1200,100,250
250,100,1.989,16,31.5,0.15,10000,0.8,7.5,,EEUED2E101,1500,100,
250,100,1.989,18,25,0.15,10000,0.8,7.5,7.5,EEUED2E101S( ),1500,100,250
250,150,1.326,18,31.5,0.15,10000,0.8,7.5,,EEUED2E151,1800,50,
250,220,0.904,18,40,0.15,10000,0.8,7.5,,EEUED2E221,2100,50,
350,10,26.526,10,20,0.2,8000,0.6,5.0,5.0,EEUED2V100( ),350,200,500
350,22,12.057,12.5,20,0.2,10000,0.6,5.0,5.0,EEUED2V220( ),480,200,500
350,33,8.038,16,20,0.2,10000,0.8,7.5,7.5,EEUED2V330S( ),640,100,250
350,47,5.644,16,25,0.2,10000,0.8,7.5,7.5,EEUED2V470( ),800,100,250
350,47,5.644,18,20,0.2,10000,0.8,7.5,7.5,EEUED2V470S( ),800,100,250
350,68,3.901,16,31.5,0.2,10000,0.8,7.5,,EEUED2V680,1100,100,
350,68,3.901,18,25,0.2,10000,0.8,7.5,7.5,EEUED2V680S( ),1000,100,250
350,82,3.235,18,25,0.2,10000,0.8,7.5,7.5,EEUED2V820S( ),1100,100,250
350,100,2.653,18,31.5,0.2,10000,0.8,7.5,,EEUED2V101,1200,50,
400,10,31.831,10,20,0.24,8000,0.6,5.0,5.0,EEUED2G100( ),300,200,500
400,15,21.221,12.5,20,0.24,10000,0.6,5.0,5.0,EEUED2G150( ),410,200,500
400,22,14.469,12.5,25,0.24,10000,0.6,5.0,5.0,EEUED2G220( ),500,200,500
400,22,14.469,16,20,0.24,10000,0.8,7.5,7.5,EEUED2G220S( ),600,100,250
400,33,9.646,16,20,0.24,10000,0.8,7.5,7.5,EEUED2G330S( ),730,100,250
400,47,6.773,16,25,0.24,10000,0.8,7.5,7.5,EEUED2G470( ),840,100,250
400,47,6.773,18,20,0.24,10000,0.8,7.5,7.5,EEUED2G470S( ),840,100,250
