Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance,Leakage Current,Part Number,Ripple Current,Surge Voltage
6.3,100,291.784,1.5,5,11,22,1.5,8.0,ESX107M6R3AC3(1),166,8
6.3,100,291.784,0.61,8,11,22,0.61,8.0,ESX107M6R3AG3(1),180,8
6.3,120,243.154,1.3,5,11,22,1.3,9.6,ESX127M6R3AC3(1),175,8
6.3,120,243.154,0.61,8,11,22,0.61,9.6,ESX127M6R3AG3(1),200,8
6.3,150,194.523,0.92,6.3,11,22,0.92,12.0,ESX157M6R3AE3(1),225,8
6.3,220,132.629,0.61,8,11,22,0.61,17.6,ESX227M6R3AG3(1),285,8
6.3,330,88.419,0.4,8,11,22,0.4,26.4,ESX337M6R3AG3(1),410,8
6.3,470,62.082,0.28,10,12,22,0.28,37.6,ESX477M6R3AH1(1),550,8
6.3,680,42.909,0.22,10,15,22,0.22,54.4,ESX687M6R3AH2(1),735,8
6.3,820,35.583,0.19,10,15,22,0.19,65.6,ESX827M6R3AH2(1),795,8
6.3,1000,29.178,0.17,10,20,22,0.17,80.0,ESX108M6R3AH4(1),950,8
6.3,1200,24.315,0.14,10,20,22,0.14,96.0,ESX128M6R3AH4(1),1020,8
6.3,1500,19.452,0.14,10,20,22,0.14,120.0,ESX158M6R3AH4(1),1000,8
6.3,1500,19.452,0.12,10,25,22,0.12,120.0,ESX158M6R3AH5(1),1200,8
6.3,2200,13.263,0.095,10,30,22,0.095,176.0,ESX228M6R3AH6(1),1450,8
6.3,3300,8.842,0.081,12,35,22,0.081,264.0,ESX338M6R3AJP(1),1700,8
6.3,4700,6.208,0.063,12,35,22,0.063,376.0,ESX478M6R3AJP(1),2110,8
6.3,6800,4.291,0.055,16,32,22,0.055,544.0,ESX688M6R3AM2(1),2350,8
6.3,8200,3.558,0.047,16,36,22,0.047,656.0,ESX828M6R3AM3(1),2550,8
6.3,10000,2.918,0.039,16,40,22,0.039,800.0,ESX109M6R3AM4(1),2750,8
6.3,15000,1.945,0.037,18,40,22,0.037,1200.0,ESX159M6R3AN3(1),2950,8
10,10,2519.955,5.9,5,11,19,5.9,3.0,ESX106M010AC3(1),20,13
10,22,1145.434,5.4,5,11,19,5.4,3.0,ESX226M010AC3(1),44,13
10,33,763.623,3.3,5,11,19,3.3,4.3,ESX336M010AC3(1),66,13
10,47,536.161,2.2,5,11,19,2.2,6.1,ESX476M010AC3(1),94,13
10,68,370.582,1.3,5,11,19,1.3,8.8,ESX686M010AC3(1),136,13
10,100,251.996,1.15,5,11,19,1.15,13.0,ESX107M010AC3(1),170,13
10,100,251.996,1.15,6.3,11,19,1.15,13.0,ESX107M010AE3(1),200,13
10,100,251.996,1,8,7,19,1.0,13.0,ESX107M010AG1(1),195,13
10,120,209.996,0.91,6.3,11,19,0.91,15.6,ESX127M010AE3(1),240,13
10,150,167.997,0.7,6.3,11,19,0.7,19.5,ESX157M010AE3(1),265,13
10,180,139.998,0.65,6.3,11,19,0.65,23.4,ESX187M010AE3(1),275,13
10,220,114.543,0.59,6.3,11,19,0.59,28.6,ESX227M010AE3(1),290,13
10,220,114.543,0.48,8,11,19,0.48,28.6,ESX227M010AG3(1),370,13
10,330,76.362,0.33,8,11,19,0.33,42.9,ESX337M010AG3(1),470,13
10,470,53.616,0.24,10,12,19,0.24,61.1,ESX477M010AH1(1),590,13
10,470,53.616,0.3,8,11,19,0.3,61.1,ESX477M010AG3(1),480,13
10,680,37.058,0.17,10,15,19,0.17,88.4,ESX687M010AH2(1),750,13
