Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Leakage Current,Part Number,Ripple Current,Surge Voltage
160,33,803.814,10,20,20,311.2,ESZ336M160AH4(1),250,200
160,47,564.38,10,20,20,400.8,ESZ476M160AH4(1),290,200
160,47,564.38,12.5,20,20,400.8,ESZ476M160AK5(1),330,200
160,68,390.086,13,25,20,535.2,ESZ686M160AL4(1),360,200
160,68,390.086,16,20,20,535.2,ESZ686M160AM5(1),380,200
160,100,265.258,13,25,20,740.0,ESZ107M160AL4(1),485,200
160,100,265.258,16,20,20,740.0,ESZ107M160AM5(1),560,200
160,100,265.258,16,25,20,740.0,ESZ107M160AM7(1),560,200
160,100,265.258,18,20,20,740.0,ESZ107M160AN4(1),560,200
160,150,176.839,16,25,20,1060.0,ESZ157M160AM7(1),600,200
160,150,176.839,16,32,20,1060.0,ESZ157M160AM2(1),650,200
160,150,176.839,18,25,20,1060.0,ESZ157M160AN5(1),650,200
160,220,120.572,16,32,20,1508.0,ESZ227M160AM2(1),650,200
160,220,120.572,18,25,20,1508.0,ESZ227M160AN5(1),650,200
160,330,80.381,18,36,20,2212.0,ESZ337M160AN2(1),690,200
200,22,1205.72,10,20,20,276.0,ESZ226M200AH4(1),220,250
200,33,803.814,10,20,20,364.0,ESZ336M200AH4(1),260,250
200,33,803.814,12.5,20,20,364.0,ESZ336M200AK5(1),290,250
200,47,564.38,13,20,20,476.0,ESZ476M200AL3(1),330,250
200,68,390.086,13,25,20,644.0,ESZ686M200AL4(1),360,250
200,68,390.086,16,20,20,644.0,ESZ686M200AM5(1),380,250
200,100,265.258,16,25,20,900.0,ESZ107M200AM7(1),560,250
200,150,176.839,16,32,20,1300.0,ESZ157M200AM2(1),640,250
400,6.8,4681.032,10,20,24,208.8,ESZ685M400AH4(1),75,450
400,10,3183.102,10,20,24,260.0,ESZ106M400AH4(1),90,450
400,22,1446.864,16,20,24,452.0,ESZ226M400AM5(1),150,450
400,33,964.576,16,25,24,628.0,ESZ336M400AM7(1),260,450
400,47,677.256,16,32,24,852.0,ESZ476M400AM2(1),350,450
400,68,468.103,18,32,24,1188.0,ESZ686M400AN1(1),435,450
450,3.3,9645.762,10,16,24,159.4,ESZ335M450AH8(1),50,500
450,4.7,6772.556,10,20,24,184.6,ESZ475M450AH4(1),70,500
450,6.8,4681.032,10,20,24,222.4,ESZ685M450AH4(1),75,500
450,6.8,4681.032,12.5,20,24,222.4,ESZ685M450AK5(1),90,500
450,10,3183.102,12.5,20,24,280.0,ESZ106M450AK5(1),155,500
450,22,1446.864,16,25,24,496.0,ESZ226M450AM7(1),280,500
450,22,1446.864,18,20,24,496.0,ESZ226M450AN4(1),275,500
450,33,964.576,16,32,24,694.0,ESZ336M450AM2(1),310,500
450,33,964.576,18,25,24,694.0,ESZ336M450AN5(1),295,500
450,47,677.256,16,36,24,946.0,ESZ476M450AM3(1),440,500
450,47,677.256,18,32,24,946.0,ESZ476M450AN1(1),440,500
