Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
6.3,100,3.979,6.3,11.2,0.3,0.5,2.5,5.0,2.5,ECA0JEN101( ),130,200,2000
6.3,330,1.206,8,11.5,0.3,0.6,3.5,5.0,,ECA0JEN331( ),250,200,1000
10,47,6.773,5,11,0.24,0.5,2.0,5.0,2.5,ECA1AEN470( ),90,200,2000
10,10,26.526,5,11,0.2,0.5,2.0,5.0,2.5,ECA1CEN100( ),40,200,2000
10,22,12.057,5,11,0.2,0.5,2.0,5.0,2.5,ECA1CEN220( ),60,200,2000
10,33,8.038,5,11,0.2,0.5,2.0,5.0,2.5,ECA1CEN330( ),80,200,2000
10,47,5.644,6.3,11.2,0.2,0.5,2.5,5.0,2.5,ECA1CEN470( ),100,200,2000
16,10,19.894,5,11,0.15,0.5,2.0,5.0,2.5,ECA1EEN100( ),45,200,2000
16,22,9.043,6.3,11.2,0.15,0.5,2.5,5.0,2.5,ECA1EEN220( ),60,200,2000
16,33,6.029,6.3,11.2,0.15,0.5,2.5,5.0,2.5,ECA1EEN330( ),90,200,2000
16,47,4.233,6.3,11.2,0.15,0.5,2.5,5.0,2.5,ECA1EEN470( ),110,200,2000
16,100,1.989,8,11.5,0.15,0.6,3.5,5.0,,ECA1EEN101( ),180,200,1000
25,33,6.029,8,11.5,0.15,0.6,3.5,5.0,,ECA1VEN330( ),100,200,1000
25,100,1.989,10,16,0.15,0.6,5.0,5.0,,ECA1VEN101( ),230,200,500
35,2.2,90.429,5,11,0.15,0.5,2.0,5.0,2.5,ECA1HEN2R2( ),18,200,2000
35,3.3,60.286,5,11,0.15,0.5,2.0,5.0,2.5,ECA1HEN3R3( ),25,200,2000
35,4.7,42.328,5,11,0.15,0.5,2.0,5.0,2.5,ECA1HEN4R7( ),30,200,2000
35,10,19.894,6.3,11.2,0.15,0.5,2.5,5.0,2.5,ECA1HEN100( ),50,200,2000
50,22,9.043,8,11.5,0.15,0.6,3.5,5.0,,ECA1HEN220( ),90,200,1000
50,33,6.029,8,11.5,0.15,0.6,3.5,5.0,,ECA1HEN330( ),110,200,1000
50,47,4.233,10,12.5,0.15,0.6,5.0,5.0,,ECA1HEN470( ),140,200,500
50,100,1.989,10,20,0.15,0.6,5.0,5.0,,ECA1HEN101( ),250,200,500
