Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz
25,1200,0.155,0.044,12.5,20,0.14,0.22,1820,EGPA250E□□122MK20S
25,1500,0.124,0.037,14.5,20,0.14,0.19,2100,EGPA250E□□152MU20S
25,1800,0.103,0.033,12.5,25,0.14,0.17,2400,EGPA250E□□182MK25S
25,1800,0.103,0.034,16,20,0.14,0.17,2280,EGPA250E□□182ML20S
25,2200,0.096,0.029,12.5,30,0.16,0.13,2560,EGPA250E□□222MK30S
25,2200,0.096,0.028,14.5,25,0.16,0.14,2800,EGPA250E□□222MU25S
25,2700,0.079,0.024,12.5,35,0.16,0.11,2970,EGPA250E□□272MK35S
25,2700,0.079,0.023,14.5,30,0.16,0.1,3060,EGPA250E□□272MU30S
25,2700,0.079,0.026,16,25,0.16,0.13,3100,EGPA250E□□272ML25S
25,2700,0.079,0.032,18,20,0.16,0.16,2490,EGPA250E□□272MM20S
25,3300,0.072,0.021,12.5,40,0.18,0.095,3600,EGPA250E□□332MK40S
25,3300,0.072,0.021,14.5,35,0.18,0.095,3380,EGPA250E□□332MU35S
25,3300,0.072,0.023,16,30,0.18,0.1,3160,EGPA250E□□332ML30S
25,3900,0.061,0.02,16,35,0.18,0.09,3590,EGPA250E□□392ML35S
25,3900,0.061,0.024,18,25,0.18,0.12,3200,EGPA250E□□392MM25S
25,4700,0.056,0.018,14.5,40,0.2,0.081,4000,EGPA250E□□472MU40S
25,4700,0.056,0.022,18,30,0.2,0.099,3390,EGPA250E□□472MM30S
25,5600,0.052,0.017,16,40,0.22,0.077,4300,EGPA250E□□562ML40S
25,5600,0.052,0.019,18,35,0.22,0.086,4200,EGPA250E□□562MM35S
25,6800,0.047,0.016,18,40,0.24,0.072,4600,EGPA250E□□682MM40S
35,680,0.234,0.044,12.5,20,0.12,0.22,1820,EGPA350E□□681MK20S
35,1000,0.159,0.033,12.5,25,0.12,0.17,2400,EGPA350E□□102MK25S
35,1000,0.159,0.037,14.5,20,0.12,0.19,2100,EGPA350E□□102MU20S
35,1200,0.133,0.029,12.5,30,0.12,0.13,2560,EGPA350E□□122MK30S
35,1200,0.133,0.028,14.5,25,0.12,0.14,2800,EGPA350E□□122MU25S
35,1200,0.133,0.034,16,20,0.12,0.17,2280,EGPA350E□□122ML20S
35,1500,0.106,0.024,12.5,35,0.12,0.11,2970,EGPA350E□□152MK35S
35,1500,0.106,0.023,14.5,30,0.12,0.1,3060,EGPA350E□□152MU30S
