Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz
25,2000,0.106,0.042,12.5,20,0.16,0.48,EGPD250E□□202MK20H,2760,1690
25,3000,0.08,0.033,12.5,25,0.18,0.3,EGPD250E□□302MK25H,3480,2010
25,3300,0.072,0.035,16,20,0.18,0.27,EGPD250E□□332ML20H,3040,1860
25,3600,0.066,0.028,12.5,30,0.18,0.24,EGPD250E□□362MK30H,4490,2900
25,4300,0.062,0.034,18,20,0.2,0.22,EGPD250E□□432MM20H,3250,1870
25,4700,0.056,0.025,12.5,35,0.2,0.21,EGPD250E□□472MK35H,5140,3190
25,4700,0.056,0.028,16,25,0.2,0.22,EGPD250E□□472ML25H,4260,2870
25,5100,0.057,0.024,12.5,40,0.22,0.19,EGPD250E□□512MK40H,5810,3470
25,5600,0.052,0.023,16,30,0.22,0.18,EGPD250E□□562ML30H,5480,3400
25,6200,0.051,0.027,18,25,0.24,0.19,EGPD250E□□622MM25H,4500,2900
25,7500,0.046,0.02,16,35,0.26,0.14,EGPD250E□□752ML35H,6070,3630
25,7500,0.046,0.022,18,30,0.26,0.16,EGPD250E□□752MM30H,5600,3470
25,9100,0.044,0.019,16,40,0.3,0.12,EGPD250E□□912ML40H,6810,3930
25,10000,0.042,0.019,18,35,0.32,0.12,EGPD250E□□103MM35H,6280,3750
25,12000,0.04,0.018,18,40,0.36,0.1,EGPD250E□□123MM40H,7070,4080
35,1300,0.122,0.042,12.5,20,0.12,0.48,EGPD350E□□132MK20H,2760,1690
35,1800,0.088,0.033,12.5,25,0.12,0.3,EGPD350E□□182MK25H,3480,2010
35,2000,0.093,0.035,16,20,0.14,0.27,EGPD350E□□202ML20H,3040,1860
35,2200,0.084,0.028,12.5,30,0.14,0.24,EGPD350E□□222MK30H,4490,2900
35,2400,0.077,0.034,18,20,0.14,0.22,EGPD350E□□242MM20H,3250,1870
35,2700,0.069,0.025,12.5,35,0.14,0.21,EGPD350E□□272MK35H,5140,3190
35,3000,0.071,0.028,16,25,0.16,0.22,EGPD350E□□302ML25H,4260,2870
35,3300,0.064,0.024,12.5,40,0.16,0.19,EGPD350E□□332MK40H,5810,3470
35,3600,0.059,0.023,16,30,0.16,0.18,EGPD350E□□362ML30H,5480,3400
35,3900,0.054,0.027,18,25,0.16,0.19,EGPD350E□□392MM25H,4500,2900
35,4300,0.056,0.02,16,35,0.18,0.14,EGPD350E□□432ML35H,6070,3630
35,4700,0.051,0.022,18,30,0.18,0.16,EGPD350E□□472MM30H,5600,3470
35,5600,0.047,0.019,16,40,0.2,0.12,EGPD350E□□562ML40H,6810,3930
35,6200,0.047,0.019,18,35,0.22,0.12,EGPD350E□□622MM35H,6280,3750
35,7500,0.042,0.018,18,40,0.24,0.1,EGPD350E□□752MM40H,7070,4080
50,620,0.214,0.073,12.5,20,0.1,0.88,EGPD500E□□621MK20H,2400,1470
50,820,0.162,0.058,12.5,25,0.1,0.67,EGPD500E□□821MK25H,3350,2260
50,1000,0.133,0.05,16,20,0.1,0.55,EGPD500E□□102ML20H,2960,1870
50,1100,0.121,0.048,12.5,30,0.1,0.52,EGPD500E□□112MK30H,4220,2520
50,1300,0.102,0.042,12.5,35,0.1,0.44,EGPD500E□□132MK35H,4810,2780
50,1300,0.102,0.042,16,25,0.1,0.44,EGPD500E□□132ML25H,4040,2500
50,1300,0.102,0.042,18,20,0.1,0.44,EGPD500E□□132MM20H,3130,2110
50,1600,0.083,0.037,12.5,40,0.1,0.36,EGPD500E□□162MK40H,5240,3020
50,1600,0.083,0.035,16,30,0.1,0.36,EGPD500E□□162ML30H,5130,2960
50,1800,0.074,0.033,18,25,0.1,0.32,EGPD500E□□182MM25H,4230,2530
50,2200,0.072,0.029,16,35,0.12,0.27,EGPD500E□□222ML35H,5480,3160
50,2400,0.066,0.028,18,30,0.12,0.25,EGPD500E□□242MM30H,5240,3020
50,2700,0.059,0.025,16,40,0.12,0.22,EGPD500E□□272ML40H,5930,3420
50,3000,0.062,0.024,18,35,0.14,0.2,EGPD500E□□302MM35H,5870,3390
