Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Part Number,Ripple Current 125°C@100kHz
25,510,0.364,0.14,10,12.5,0.14,2.1,EGXF250E□□511MJC5S,900
25,750,0.248,0.094,10,16,0.14,1.5,EGXF250E□□751MJ16S,1300
25,910,0.204,0.082,12.5,15,0.14,1.1,EGXF250E□□911MK15S,1220
25,1200,0.155,0.073,10,20,0.14,1.1,EGXF250E□□122MJ20S,1540
25,1200,0.155,0.067,14.5,15,0.14,0.80,EGXF250E□□122MU15S,1320
25,1500,0.124,0.042,10,25,0.14,0.24,EGXF250E□□152MJ25S,1880
25,1600,0.116,0.063,16,15,0.14,0.76,EGXF250E□□162ML15S,1430
25,1800,0.103,0.038,12.5,20,0.14,0.19,EGXF250E□□182MK20S,1590
25,2000,0.093,0.033,10,30,0.14,0.19,EGXF250E□□202MJ30S,2150
25,2200,0.084,0.030,14.5,20,0.14,0.17,EGXF250E□□222MU20S,1780
25,2400,0.077,0.053,18,15,0.14,0.51,EGXF250E□□242MM15S,1630
25,2700,0.069,0.030,12.5,25,0.14,0.14,EGXF250E□□272MK25S,2280
25,3000,0.062,0.029,16,20,0.14,0.13,EGXF250E□□302ML20S,1890
25,3300,0.056,0.025,12.5,30,0.14,0.10,EGXF250E□□332MK30S,2760
25,3600,0.052,0.025,14.5,25,0.14,0.11,EGXF250E□□362MU25S,2760
25,4300,0.043,0.022,12.5,35,0.14,0.080,EGXF250E□□432MK35S,3120
25,4300,0.043,0.022,16,25,0.14,0.092,EGXF250E□□432ML25S,3030
25,4300,0.043,0.028,18,20,0.14,0.10,EGXF250E□□432MM20S,1930
25,4700,0.04,0.020,14.5,30,0.14,0.081,EGXF250E□□472MU30S,3090
25,5100,0.036,0.019,12.5,40,0.14,0.068,EGXF250E□□512MK40S,3610
25,5100,0.036,0.018,14.5,35,0.14,0.065,EGXF250E□□512MU35S,3430
25,5100,0.036,0.018,16,30,0.14,0.071,EGXF250E□□512ML30S,3330
25,5600,0.033,0.020,18,25,0.14,0.078,EGXF250E□□562MM25S,3200
25,6800,0.027,0.016,14.5,40,0.14,0.054,EGXF250E□□682MU40S,3820
25,6800,0.027,0.016,16,35,0.14,0.056,EGXF250E□□682ML35S,3630
25,7500,0.025,0.016,18,30,0.14,0.060,EGXF250E□□752MM30S,3480
25,8200,0.023,0.015,16,40,0.14,0.048,EGXF250E□□822ML40S,3930
25,9100,0.02,0.015,18,35,0.14,0.049,EGXF250E□□912MM35S,3750
25,11000,0.017,0.014,18,40,0.14,0.043,EGXF250E□□113MM40S,4040
35,300,0.531,0.14,10,12.5,0.12,2.1,EGXF350E□□301MJC5S,900
35,510,0.312,0.094,10,16,0.12,1.5,EGXF350E□□511MJ16S,1300
35,560,0.284,0.082,12.5,15,0.12,1.1,EGXF350E□□561MK15S,1220
35,680,0.234,0.073,10,20,0.12,1.1,EGXF350E□□681MJ20S,1540
35,750,0.212,0.067,14.5,15,0.12,0.80,EGXF350E□□751MU15S,1320
35,820,0.194,0.042,10,25,0.12,0.24,EGXF350E□□821MJ25S,1880
35,1100,0.145,0.038,12.5,20,0.12,0.19,EGXF350E□□112MK20S,1590
35,1100,0.145,0.063,16,15,0.12,0.76,EGXF350E□□112ML15S,1430
35,1200,0.133,0.033,10,30,0.12,0.19,EGXF350E□□122MJ30S,2150
35,1500,0.106,0.030,12.5,25,0.12,0.14,EGXF350E□□152MK25S,2280
35,1500,0.106,0.030,14.5,20,0.12,0.17,EGXF350E□□152MU20S,1780
35,1500,0.106,0.053,18,15,0.12,0.51,EGXF350E□□152MM15S,1630
35,2000,0.08,0.025,12.5,30,0.12,0.10,EGXF350E□□202MK30S,2760
35,2000,0.08,0.029,16,20,0.12,0.13,EGXF350E□□202ML20S,1890
35,2200,0.072,0.025,14.5,25,0.12,0.11,EGXF350E□□222MU25S,2760
35,2400,0.066,0.022,12.5,35,0.12,0.080,EGXF350E□□242MK35S,3120
35,2400,0.066,0.022,16,25,0.12,0.092,EGXF350E□□242ML25S,3030
35,2400,0.066,0.028,18,20,0.12,0.10,EGXF350E□□242MM20S,1930
35,2700,0.059,0.019,12.5,40,0.12,0.068,EGXF350E□□272MK40S,3610
35,2700,0.059,0.020,14.5,30,0.12,0.081,EGXF350E□□272MU30S,3090
35,3000,0.053,0.018,14.5,35,0.12,0.065,EGXF350E□□302MU35S,3430
35,3300,0.048,0.018,16,30,0.12,0.071,EGXF350E□□332ML30S,3330
35,3300,0.048,0.020,18,25,0.12,0.078,EGXF350E□□332MM25S,3200
35,3900,0.041,0.016,14.5,40,0.12,0.054,EGXF350E□□392MU40S,3820
35,4300,0.037,0.016,16,35,0.12,0.056,EGXF350E□□432ML35S,3630
