Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
4,100,4.642,6.3,7,0.35,0.45,2.5,5.0,2.5,ECEA0GKN101( ),61,200,2000
6.3,22,14.469,5,7,0.24,0.45,2.0,5.0,2.5,ECEA0JKN220( ),29,200,2000
6.3,33,9.646,5,7,0.24,0.45,2.0,5.0,2.5,ECEA0JKN330( ),38,200,2000
6.3,47,6.773,6.3,7,0.24,0.45,2.5,5.0,2.5,ECEA0JKN470( ),46,200,2000
10,10,26.526,4,7,0.2,0.45,1.5,5.0,2.5,ECEA1AKN100( ),25,200,2000
10,22,12.057,5,7,0.2,0.45,2.0,5.0,2.5,ECEA1AKN220( ),35,200,2000
10,33,8.038,6.3,7,0.2,0.45,2.5,5.0,2.5,ECEA1AKN330( ),43,200,2000
10,47,5.644,6.3,7,0.2,0.45,2.5,5.0,2.5,ECEA1AKN470( ),65,200,2000
16,4.7,45.15,4,7,0.16,0.45,1.5,5.0,2.5,ECEA1CKN4R7( ),20,200,2000
16,10,21.221,5,7,0.16,0.45,2.0,5.0,2.5,ECEA1CKN100( ),25,200,2000
16,22,9.646,6.3,7,0.16,0.45,2.5,5.0,2.5,ECEA1CKN220( ),39,200,2000
16,33,6.431,6.3,7,0.16,0.45,2.5,5.0,2.5,ECEA1CKN330( ),60,200,2000
25,3.3,64.305,4,7,0.16,0.45,1.5,5.0,2.5,ECEA1EKN3R3( ),16,200,2000
25,4.7,45.15,5,7,0.16,0.45,2.0,5.0,2.5,ECEA1EKN4R7( ),21,200,2000
25,10,21.221,6.3,7,0.16,0.45,2.5,5.0,2.5,ECEA1EKN100( ),28,200,2000
25,22,9.646,6.3,7,0.16,0.45,2.5,5.0,2.5,ECEA1EKN220( ),55,200,2000
35,2.2,84.4,4,7,0.14,0.45,1.5,5.0,2.5,ECEA1VKN2R2( ),12,200,2000
35,3.3,56.267,5,7,0.14,0.45,2.0,5.0,2.5,ECEA1VKN3R3( ),16,200,2000
35,4.7,39.507,5,7,0.14,0.45,2.0,5.0,2.5,ECEA1VKN4R7( ),22,200,2000
35,10,18.568,6.3,7,0.14,0.45,2.5,5.0,2.5,ECEA1VKN100( ),30,200,2000
50,2.2,72.343,5,7,0.12,0.45,2.0,5.0,2.5,ECEA1HKN2R2( ),16,200,2000
50,3.3,48.229,5,7,0.12,0.45,2.0,5.0,2.5,ECEA1HKN3R3( ),16,200,2000
50,4.7,33.863,6.3,7,0.12,0.45,2.5,5.0,2.5,ECEA1HKN4R7( ),23,200,2000
