Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
400,33,6.029,10,30,0.15,EKHE401E□□330MJ30S,335
400,39,5.101,10,35,0.15,EKHE401E□□390MJ35S,385
400,47,4.233,10,40,0.15,EKHE401E□□470MJ40S,445
400,56,3.553,10,45,0.15,EKHE401E□□560MJ45S,505
400,56,3.553,12.5,30,0.15,EKHE401E□□560MK30S,480
400,68,2.926,12.5,35,0.15,EKHE401E□□680MK35S,560
400,82,2.426,12.5,40,0.15,EKHE401E□□820MK40S,640
400,82,2.426,14.5,31.5,0.15,EKHE401E□□820MUN3S,625
400,100,1.989,12.5,45,0.15,EKHE401E□□101MK45S,730
400,100,1.989,14.5,35,0.15,EKHE401E□□101MU35S,715
400,100,1.989,16,31.5,0.15,EKHE401E□□101MLN3S,720
400,120,1.658,14.5,40,0.15,EKHE401E□□121MU40S,810
400,120,1.658,16,35,0.15,EKHE401E□□121ML35S,810
400,120,1.658,18,31.5,0.15,EKHE401E□□121MMN3S,815
420,33,8.038,10,30,0.2,EKHE421E□□330MJ30S,335
420,39,6.801,10,35,0.2,EKHE421E□□390MJ35S,385
420,47,5.644,10,40,0.2,EKHE421E□□470MJ40S,445
420,56,4.737,10,50,0.2,EKHE421E□□560MJ50S,520
420,56,4.737,12.5,30,0.2,EKHE421E□□560MK30S,480
420,68,3.901,12.5,35,0.2,EKHE421E□□680MK35S,560
420,82,3.235,12.5,40,0.2,EKHE421E□□820MK40S,640
420,82,3.235,14.5,31.5,0.2,EKHE421E□□820MUN3S,625
420,100,2.653,12.5,50,0.2,EKHE421E□□101MK50S,750
420,100,2.653,14.5,40,0.2,EKHE421E□□101MU40S,740
420,100,2.653,16,31.5,0.2,EKHE421E□□101MLN3S,720
420,120,2.21,14.5,45,0.2,EKHE421E□□121MU45S,835
420,120,2.21,16,35,0.2,EKHE421E□□121ML35S,810
420,120,2.21,18,31.5,0.2,EKHE421E□□121MMN3S,815
450,27,9.824,10,30,0.2,EKHE451E□□270MJ30S,305
450,33,8.038,10,35,0.2,EKHE451E□□330MJ35S,355
450,39,6.801,10,40,0.2,EKHE451E□□390MJ40S,405
450,47,5.644,10,45,0.2,EKHE451E□□470MJ45S,460
450,47,5.644,12.5,30,0.2,EKHE451E□□470MK30S,440
450,56,4.737,12.5,35,0.2,EKHE451E□□560MK35S,505
450,68,3.901,12.5,40,0.2,EKHE451E□□680MK40S,580
450,68,3.901,14.5,31.5,0.2,EKHE451E□□680MUN3S,570
450,82,3.235,12.5,45,0.2,EKHE451E□□820MK45S,660
450,82,3.235,14.5,35,0.2,EKHE451E□□820MU35S,650
450,82,3.235,16,31.5,0.2,EKHE451E□□820MLN3S,655
450,100,2.653,14.5,40,0.2,EKHE451E□□101MU40S,740
450,100,2.653,16,35,0.2,EKHE451E□□101ML35S,740
450,120,2.21,18,31.5,0.2,EKHE451E□□121MMN3S,815
