Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
400,22,12.057,10,20,0.2,EKHF401E□□220MJ20S,235
400,27,9.824,10,25,0.2,EKHF401E□□270MJ25S,285
400,39,6.801,10,30,0.2,EKHF401E□□390MJ30S,365
400,39,6.801,12.5,20,0.2,EKHF401E□□390MK20S,345
400,47,5.644,10,35,0.2,EKHF401E□□470MJ35S,425
400,56,4.737,10,40,0.2,EKHF401E□□560MJ40S,485
400,56,4.737,12.5,25,0.2,EKHF401E□□560MK25S,450
400,68,3.901,10,45,0.2,EKHF401E□□680MJ45S,555
400,68,3.901,10,50,0.2,EKHF401E□□680MJ50S,575
400,68,3.901,12.5,30,0.2,EKHF401E□□680MK30S,530
400,68,3.901,16,20,0.2,EKHF401E□□680ML20S,510
400,82,3.235,12.5,35,0.2,EKHF401E□□820MK35S,610
400,100,2.653,12.5,40,0.2,EKHF401E□□101MK40S,705
400,100,2.653,14.5,31.5,0.2,EKHF401E□□101MUN3S,680
400,100,2.653,16,25,0.2,EKHF401E□□101ML25S,670
400,100,2.653,18,20,0.2,EKHF401E□□101MM20S,650
400,120,2.21,12.5,45,0.2,EKHF401E□□121MK45S,800
400,120,2.21,12.5,50,0.2,EKHF401E□□121MK50S,820
400,120,2.21,14.5,35,0.2,EKHF401E□□121MU35S,765
400,120,2.21,14.5,40,0.2,EKHF401E□□121MU40S,810
400,120,2.21,16,31.5,0.2,EKHF401E□□121MLN3S,790
400,120,2.21,18,25,0.2,EKHF401E□□121MM25S,755
400,150,1.768,14.5,45,0.2,EKHF401E□□151MU45S,905
400,150,1.768,16,35,0.2,EKHF401E□□151ML35S,905
400,150,1.768,18,31.5,0.2,EKHF401E□□151MMN3S,915
400,180,1.474,16,40,0.2,EKHF401E□□181ML40S,1020
400,180,1.474,16,45,0.2,EKHF401E□□181ML45S,1040
400,180,1.474,18,31.5,0.2,EKHF401E□□181MMN3S,1000
400,180,1.474,18,35,0.2,EKHF401E□□181MM35S,1020
400,220,1.206,16,50,0.2,EKHF401E□□221ML50S,1170
400,220,1.206,18,40,0.2,EKHF401E□□221MM40S,1160
400,270,0.982,18,45,0.2,EKHF401E□□271MM45S,1310
400,270,0.982,18,50,0.2,EKHF401E□□271MM50S,1310
420,22,12.057,10,20,0.2,EKHF421E□□220MJ20S,235
420,27,9.824,10,25,0.2,EKHF421E□□270MJ25S,285
420,39,6.801,10,30,0.2,EKHF421E□□390MJ30S,365
420,39,6.801,12.5,20,0.2,EKHF421E□□390MK20S,345
420,47,5.644,10,35,0.2,EKHF421E□□470MJ35S,425
420,56,4.737,10,40,0.2,EKHF421E□□560MJ40S,485
420,56,4.737,10,45,0.2,EKHF421E□□560MJ45S,505
420,56,4.737,12.5,25,0.2,EKHF421E□□560MK25S,450
420,68,3.901,10,50,0.2,EKHF421E□□680MJ50S,575
420,68,3.901,12.5,30,0.2,EKHF421E□□680MK30S,530
420,68,3.901,16,20,0.2,EKHF421E□□680ML20S,510
420,82,3.235,12.5,35,0.2,EKHF421E□□820MK35S,610
420,82,3.235,14.5,31.5,0.2,EKHF421E□□820MUN3S,615
420,82,3.235,16,25,0.2,EKHF421E□□820ML25S,605
420,82,3.235,18,20,0.2,EKHF421E□□820MM20S,585
420,100,2.653,12.5,40,0.2,EKHF421E□□101MK40S,705
420,100,2.653,12.5,45,0.2,EKHF421E□□101MK45S,730
420,100,2.653,14.5,35,0.2,EKHF421E□□101MU35S,700
420,120,2.21,12.5,50,0.2,EKHF421E□□121MK50S,820
420,120,2.21,14.5,40,0.2,EKHF421E□□121MU40S,810
420,120,2.21,16,31.5,0.2,EKHF421E□□121MLN3S,790
420,120,2.21,18,25,0.2,EKHF421E□□121MM25S,755
420,150,1.768,14.5,45,0.2,EKHF421E□□151MU45S,905
420,150,1.768,16,35,0.2,EKHF421E□□151ML35S,905
420,150,1.768,16,40,0.2,EKHF421E□□151ML40S,935
420,150,1.768,18,31.5,0.2,EKHF421E□□151MMN3S,915
420,180,1.474,16,45,0.2,EKHF421E□□181ML45S,1040
