Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
200,33,8.038,1.8,10,20,0.2,EKLJ201E□□330MJ20S,165
200,39,6.801,1.4,10,25,0.2,EKLJ201E□□390MJ25S,200
200,56,4.737,1,12.5,20,0.2,EKLJ201E□□560MK20S,265
200,82,3.235,0.72,12.5,25,0.2,EKLJ201E□□820MK25S,350
200,100,2.653,0.63,16,20,0.2,EKLJ201E□□101ML20S,390
200,120,2.21,0.44,16,25,0.2,EKLJ201E□□121ML25S,465
200,150,1.768,0.31,18,20,0.2,EKLJ201E□□151MM20S,505
200,180,1.474,0.36,16,31.5,0.2,EKLJ201E□□181MLN3S,615
200,180,1.474,0.3,18,25,0.2,EKLJ201E□□181MM25S,585
200,220,1.206,0.3,16,35.5,0.2,EKLJ201E□□221MLP1S,695
200,220,1.206,0.28,18,31.5,0.2,EKLJ201E□□221MMN3S,700
200,270,0.982,0.24,18,35.5,0.2,EKLJ201E□□271MMP1S,805
200,330,0.804,0.21,18,40,0.2,EKLJ201E□□331MM40S,900
400,10,31.831,5.7,10,16,0.24,EKLJ401E□□100MJ16S,64
400,15,21.221,4,10,20,0.24,EKLJ401E□□150MJ20S,105
400,18,17.684,3.2,10,25,0.24,EKLJ401E□□180MJ25S,110
400,22,14.469,2.7,12.5,20,0.24,EKLJ401E□□220MK20S,165
400,27,11.789,1.9,12.5,25,0.24,EKLJ401E□□270MK25S,200
400,33,9.646,1.5,16,20,0.24,EKLJ401E□□330ML20S,225
400,39,8.162,1.2,18,20,0.24,EKLJ401E□□390MM20S,255
400,47,6.773,1.1,16,25,0.24,EKLJ401E□□470ML25S,290
400,47,6.773,1.2,18,20,0.24,EKLJ401E□□470MM20S,280
400,56,5.684,0.84,16,31.5,0.24,EKLJ401E□□560MLN3S,340
400,68,4.681,0.72,16,35.5,0.24,EKLJ401E□□680MLP1S,385
400,68,4.681,0.88,18,25,0.24,EKLJ401E□□680MM25S,360
400,82,3.882,0.65,16,40,0.24,EKLJ401E□□820ML40S,435
400,82,3.882,0.64,18,31.5,0.24,EKLJ401E□□820MMN3S,425
400,100,3.183,0.54,18,35.5,0.24,EKLJ401E□□101MMP1S,490
400,120,2.653,0.49,18,40,0.24,EKLJ401E□□121MM40S,540
450,39,8.162,1.4,16,25,0.24,EKLJ451E□□390ML25S,265
450,39,8.162,1.4,18,20,0.24,EKLJ451E□□390MM20S,255
450,47,6.773,1.3,16,25,0.24,EKLJ451E□□470ML25S,290
450,47,6.773,1.2,18,25,0.24,EKLJ451E□□470MM25S,320
450,56,5.684,1.1,16,31.5,0.24,EKLJ451E□□560MLN3S,340
450,68,4.681,0.86,16,35.5,0.24,EKLJ451E□□680MLP1S,420
450,68,4.681,0.91,18,31.5,0.24,EKLJ451E□□680MMN3S,390
450,82,3.882,0.79,16,40,0.24,EKLJ451E□□820ML40S,435
450,82,3.882,0.78,18,31.5,0.24,EKLJ451E□□820MMN3S,425
450,100,3.183,0.67,18,40,0.24,EKLJ451E□□101MM40S,490
450,110,2.894,0.59,18,40,0.24,EKLJ451E□□111MM40S,540
450,120,2.653,0.58,18,45,0.24,EKLJ451E□□121MM45S,570
