Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
6.3,1000,0.371,8,11.5,0.28,EKMQ6R3E□□102MHB5D,390
6.3,2200,0.181,10,16,0.3,EKMQ6R3E□□222MJ16S,635
6.3,3300,0.129,10,20,0.32,EKMQ6R3E□□332MJ20S,840
6.3,4700,0.096,12.5,20,0.34,EKMQ6R3E□□472MK20S,1090
6.3,6800,0.074,12.5,25,0.38,EKMQ6R3E□□682MK25S,1350
6.3,10000,0.061,16,25,0.46,EKMQ6R3E□□103ML25S,1650
6.3,15000,0.05,16,31.5,0.56,EKMQ6R3E□□153MLN3S,1820
6.3,22000,0.042,18,35.5,0.7,EKMQ6R3E□□223MMP1S,2280
10,220,1.447,5,11,0.24,EKMQ100E□□221ME11D,155
10,330,0.965,6.3,11,0.24,EKMQ100E□□331MF11D,210
10,470,0.677,6.3,11,0.24,EKMQ100E□□471MF11D,250
10,1000,0.318,10,12.5,0.24,EKMQ100E□□102MJC5S,460
10,2200,0.157,10,16,0.26,EKMQ100E□□222MJ16S,705
10,3300,0.113,12.5,20,0.28,EKMQ100E□□332MK20S,1000
10,4700,0.085,12.5,25,0.3,EKMQ100E□□472MK25S,1260
10,6800,0.066,16,25,0.34,EKMQ100E□□682ML25S,1570
10,10000,0.056,16,31.5,0.42,EKMQ100E□□103MLN3S,1820
10,15000,0.046,16,35.5,0.52,EKMQ100E□□153MLP1S,2050
10,22000,0.04,18,40,0.66,EKMQ100E□□223MM40S,2420
16,220,1.206,6.3,11,0.2,EKMQ160E□□221MF11D,190
16,330,0.804,6.3,11,0.2,EKMQ160E□□331MF11D,225
16,470,0.564,8,11.5,0.2,EKMQ160E□□471MHB5D,315
16,1000,0.265,10,12.5,0.2,EKMQ160E□□102MJC5S,500
16,2200,0.133,10,20,0.22,EKMQ160E□□222MJ20S,710
16,3300,0.096,12.5,25,0.24,EKMQ160E□□332MK25S,1170
16,4700,0.073,16,25,0.26,EKMQ160E□□472ML25S,1500
16,6800,0.059,16,25,0.3,EKMQ160E□□682ML25S,1600
16,10000,0.05,16,35.5,0.38,EKMQ160E□□103MLP1S,1930
16,15000,0.042,18,40,0.48,EKMQ160E□□153MM40S,2210
25,100,2.122,5,11,0.16,EKMQ250E□□101ME11D,125
25,220,0.965,6.3,11,0.16,EKMQ250E□□221MF11D,200
25,330,0.643,8,11.5,0.16,EKMQ250E□□331MHB5D,310
25,470,0.452,10,12.5,0.16,EKMQ250E□□471MJC5S,380
25,1000,0.212,10,16,0.16,EKMQ250E□□102MJ16S,610
25,2200,0.109,12.5,25,0.18,EKMQ250E□□222MK25S,1090
