Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
400,56,7.105,16,20,0.3,EKXQ401E□□560ML20S,450
400,68,5.851,18,20,0.3,EKXQ401E□□680MM20S,530
400,75,5.305,16,25,0.3,EKXQ401E□□750ML25S,580
400,100,3.979,16,31.5,0.3,EKXQ401E□□101MLN3S,730
400,100,3.979,18,25,0.3,EKXQ401E□□101MM25S,660
400,120,3.316,16,35.5,0.3,EKXQ401E□□121MLP1S,830
400,130,3.061,16,40,0.3,EKXQ401E□□131ML40S,910
400,130,3.061,18,31.5,0.3,EKXQ401E□□131MMN3S,860
400,160,2.487,18,35.5,0.3,EKXQ401E□□161MMP1S,980
400,180,2.21,18,40,0.3,EKXQ401E□□181MM40S,1020
400,180,2.21,18,45,0.3,EKXQ401E□□181MM45S,1080
420,51,7.802,16,20,0.3,EKXQ421E□□510ML20S,400
420,68,5.851,16,25,0.3,EKXQ421E□□680ML25S,510
420,68,5.851,18,20,0.3,EKXQ421E□□680MM20S,510
420,91,4.372,16,31.5,0.3,EKXQ421E□□910MLN3S,650
420,91,4.372,18,25,0.3,EKXQ421E□□910MM25S,640
420,110,3.617,16,35.5,0.3,EKXQ421E□□111MLP1S,750
420,120,3.316,18,31.5,0.3,EKXQ421E□□121MMN3S,800
420,130,3.061,16,40,0.3,EKXQ421E□□131ML40S,860
420,150,2.653,18,35.5,0.3,EKXQ421E□□151MMP1S,920
420,160,2.487,18,40,0.3,EKXQ421E□□161MM40S,980
420,180,2.21,18,45,0.3,EKXQ421E□□181MM45S,1000
450,47,8.466,16,20,0.3,EKXQ451E□□470ML20S,400
450,62,6.418,16,25,0.3,EKXQ451E□□620ML25S,510
450,62,6.418,18,20,0.3,EKXQ451E□□620MM20S,510
450,82,4.852,16,31.5,0.3,EKXQ451E□□820MLN3S,650
450,82,4.852,18,25,0.3,EKXQ451E□□820MM25S,640
450,100,3.979,16,35.5,0.3,EKXQ451E□□101MLP1S,750
450,110,3.617,18,31.5,0.3,EKXQ451E□□111MMN3S,800
450,120,3.316,16,40,0.3,EKXQ451E□□121ML40S,860
450,130,3.061,18,35.5,0.3,EKXQ451E□□131MMP1S,920
450,160,2.487,18,40,0.3,EKXQ451E□□161MM40S,980
450,180,2.21,18,45,0.3,EKXQ451E□□181MM45S,1000
