Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@100kHz
16,910,0.233,0.14,10,12.5,0.16,EKYC160E□□911MJC5S,1120
16,1300,0.163,0.1,10,16,0.16,EKYC160E□□132MJ16S,1570
16,2000,0.106,0.065,10,20,0.16,EKYC160E□□202MJ20S,1940
16,3300,0.064,0.05,12.5,20,0.16,EKYC160E□□332MK20S,2150
16,4700,0.045,0.037,12.5,25,0.16,EKYC160E□□472MK25S,2820
16,5600,0.038,0.029,12.5,30,0.16,EKYC160E□□562MK30S,3120
16,5600,0.038,0.038,16,20,0.16,EKYC160E□□562ML20S,2530
16,6800,0.031,0.037,18,20,0.16,EKYC160E□□682MM20S,2700
16,7500,0.028,0.031,16,25,0.16,EKYC160E□□752ML25S,3240
16,9100,0.023,0.025,16,30,0.16,EKYC160E□□912ML30S,3580
16,10000,0.021,0.03,18,25,0.16,EKYC160E□□103MM25S,3350
16,12000,0.018,0.024,18,30,0.16,EKYC160E□□123MM30S,3710
25,560,0.332,0.14,10,12.5,0.14,EKYC250E□□561MJC5S,1120
25,820,0.226,0.1,10,16,0.14,EKYC250E□□821MJ16S,1570
25,1300,0.143,0.065,10,20,0.14,EKYC250E□□132MJ20S,1940
25,2000,0.093,0.05,12.5,20,0.14,EKYC250E□□202MK20S,2150
25,3000,0.062,0.037,12.5,25,0.14,EKYC250E□□302MK25S,2820
25,3600,0.052,0.038,16,20,0.14,EKYC250E□□362ML20S,2530
25,3900,0.048,0.029,12.5,30,0.14,EKYC250E□□392MK30S,3120
25,4700,0.04,0.037,18,20,0.14,EKYC250E□□472MM20S,2700
25,5100,0.036,0.031,16,25,0.14,EKYC250E□□512ML25S,3240
25,6200,0.03,0.025,16,30,0.14,EKYC250E□□622ML30S,3580
25,6200,0.03,0.03,18,25,0.14,EKYC250E□□622MM25S,3350
25,8200,0.023,0.024,18,30,0.14,EKYC250E□□822MM30S,3710
35,390,0.408,0.14,10,12.5,0.12,EKYC350E□□391MJC5S,1120
35,560,0.284,0.1,10,16,0.12,EKYC350E□□561MJ16S,1570
35,820,0.194,0.065,10,20,0.12,EKYC350E□□821MJ20S,1940
35,1300,0.122,0.05,12.5,20,0.12,EKYC350E□□132MK20S,2150
35,1800,0.088,0.037,12.5,25,0.12,EKYC350E□□182MK25S,2820
35,2200,0.072,0.038,16,20,0.12,EKYC350E□□222ML20S,2530
35,2400,0.066,0.029,12.5,30,0.12,EKYC350E□□242MK30S,3120
35,3000,0.053,0.037,18,20,0.12,EKYC350E□□302MM20S,2700
35,3300,0.048,0.031,16,25,0.12,EKYC350E□□332ML25S,3240
35,3900,0.041,0.025,16,30,0.12,EKYC350E□□392ML30S,3580
35,4300,0.037,0.03,18,25,0.12,EKYC350E□□432MM25S,3350
35,5100,0.031,0.024,18,30,0.12,EKYC350E□□512MM30S,3710
50,180,0.737,0.14,10,12.5,0.1,EKYC500E□□181MJC5S,1120
50,300,0.442,0.1,10,16,0.1,EKYC500E□□301MJ16S,1570
50,430,0.308,0.065,10,20,0.1,EKYC500E□□431MJ20S,1940
50,680,0.195,0.05,12.5,20,0.1,EKYC500E□□681MK20S,2150
50,910,0.146,0.037,12.5,25,0.1,EKYC500E□□911MK25S,2820
50,1200,0.111,0.038,16,20,0.1,EKYC500E□□122ML20S,2530
50,1300,0.102,0.029,12.5,30,0.1,EKYC500E□□132MK30S,3120
50,1500,0.088,0.037,18,20,0.1,EKYC500E□□152MM20S,2700
50,1600,0.083,0.031,16,25,0.1,EKYC500E□□162ML25S,3240
50,2000,0.066,0.025,16,30,0.1,EKYC500E□□202ML30S,3580
50,2200,0.06,0.03,18,25,0.1,EKYC500E□□222MM25S,3350
