Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz
6.3,220,1.326,0.24,5,11,0.22,0.8,EKZH6R3E□□221ME11D,330
6.3,470,0.621,0.11,6.3,11,0.22,0.35,EKZH6R3E□□471MF11D,500
6.3,820,0.356,0.062,8,11.5,0.22,0.19,EKZH6R3E□□821MHB5D,900
6.3,1200,0.243,0.048,8,15,0.22,0.15,EKZH6R3E□□122MH15D,1210
6.3,1200,0.243,0.045,10,12.5,0.22,0.14,EKZH6R3E□□122MJC5S,1240
6.3,1500,0.195,0.033,8,20,0.22,0.11,EKZH6R3E□□152MH20D,1410
6.3,1800,0.162,0.032,10,16,0.22,0.1,EKZH6R3E□□182MJ16S,1650
6.3,2200,0.133,0.02,10,20,0.22,0.06,EKZH6R3E□□222MJ20S,1960
6.3,2700,0.108,0.018,10,25,0.22,0.054,EKZH6R3E□□272MJ25S,2250
6.3,3900,0.075,0.017,12.5,20,0.22,0.043,EKZH6R3E□□392MK20S,2480
6.3,4700,0.062,0.015,12.5,25,0.22,0.038,EKZH6R3E□□472MK25S,2900
6.3,5600,0.052,0.013,12.5,30,0.22,0.033,EKZH6R3E□□562MK30S,3450
6.3,6800,0.043,0.012,12.5,35,0.22,0.031,EKZH6R3E□□682MK35S,3570
6.3,6800,0.043,0.015,16,20,0.22,0.038,EKZH6R3E□□682ML20S,3250
6.3,8200,0.036,0.013,16,25,0.22,0.035,EKZH6R3E□□822ML25S,3630
10,150,1.68,0.24,5,11,0.19,0.8,EKZH100E□□151ME11D,330
10,330,0.764,0.11,6.3,11,0.19,0.35,EKZH100E□□331MF11D,500
10,680,0.371,0.062,8,11.5,0.19,0.19,EKZH100E□□681MHB5D,900
10,1000,0.252,0.048,8,15,0.19,0.15,EKZH100E□□102MH15D,1210
10,1000,0.252,0.045,10,12.5,0.19,0.14,EKZH100E□□102MJC5S,1240
10,1500,0.168,0.033,8,20,0.19,0.11,EKZH100E□□152MH20D,1410
10,1500,0.168,0.032,10,16,0.19,0.1,EKZH100E□□152MJ16S,1650
10,1800,0.14,0.02,10,20,0.19,0.06,EKZH100E□□182MJ20S,1960
10,2200,0.115,0.018,10,25,0.19,0.054,EKZH100E□□222MJ25S,2250
10,3300,0.076,0.017,12.5,20,0.19,0.043,EKZH100E□□332MK20S,2480
10,3900,0.065,0.015,12.5,25,0.19,0.038,EKZH100E□□392MK25S,2900
10,4700,0.054,0.013,12.5,30,0.19,0.033,EKZH100E□□472MK30S,3450
10,4700,0.054,0.015,16,20,0.19,0.038,EKZH100E□□472ML20S,3250
10,5600,0.045,0.012,12.5,35,0.19,0.031,EKZH100E□□562MK35S,3570
10,6800,0.037,0.013,16,25,0.19,0.035,EKZH100E□□682ML25S,3630
16,100,2.122,0.24,5,11,0.16,0.8,EKZH160E□□101ME11D,330
16,220,0.965,0.11,6.3,11,0.16,0.35,EKZH160E□□221MF11D,500
16,470,0.452,0.062,8,11.5,0.16,0.19,EKZH160E□□471MHB5D,900
16,680,0.312,0.048,8,15,0.16,0.15,EKZH160E□□681MH15D,1210
16,680,0.312,0.045,10,12.5,0.16,0.14,EKZH160E□□681MJC5S,1240
16,1000,0.212,0.033,8,20,0.16,0.11,EKZH160E□□102MH20D,1410
16,1000,0.212,0.032,10,16,0.16,0.1,EKZH160E□□102MJ16S,1650
16,1500,0.141,0.02,10,20,0.16,0.06,EKZH160E□□152MJ20S,1960
16,1800,0.118,0.018,10,25,0.16,0.054,EKZH160E□□182MJ25S,2250
16,2200,0.096,0.017,12.5,20,0.16,0.043,EKZH160E□□222MK20S,2480
16,2700,0.079,0.015,12.5,25,0.16,0.038,EKZH160E□□272MK25S,2900
16,3300,0.064,0.013,12.5,30,0.16,0.033,EKZH160E□□332MK30S,3450
16,3300,0.064,0.015,16,20,0.16,0.038,EKZH160E□□332ML20S,3250
16,3900,0.054,0.012,12.5,35,0.16,0.031,EKZH160E□□392MK35S,3570
16,4700,0.045,0.013,16,25,0.16,0.035,EKZH160E□□472ML25S,3630
25,68,2.731,0.24,5,11,0.14,0.8,EKZH250E□□680ME11D,330
25,150,1.238,0.11,6.3,11,0.14,0.35,EKZH250E□□151MF11D,500
25,330,0.563,0.062,8,11.5,0.14,0.19,EKZH250E□□331MHB5D,900
25,390,0.476,0.048,8,15,0.14,0.15,EKZH250E□□391MH15D,1210
25,470,0.395,0.045,10,12.5,0.14,0.14,EKZH250E□□471MJC5S,1240
25,560,0.332,0.033,8,20,0.14,0.11,EKZH250E□□561MH20D,1410
25,680,0.273,0.032,10,16,0.14,0.1,EKZH250E□□681MJ16S,1650
25,820,0.226,0.02,10,20,0.14,0.06,EKZH250E□□821MJ20S,1960
25,1000,0.186,0.018,10,25,0.14,0.054,EKZH250E□□102MJ25S,2250
25,1500,0.124,0.017,12.5,20,0.14,0.043,EKZH250E□□152MK20S,2480
25,1800,0.103,0.015,12.5,25,0.14,0.038,EKZH250E□□182MK25S,2900
25,2200,0.084,0.013,12.5,30,0.14,0.033,EKZH250E□□222MK30S,3450
25,2200,0.084,0.015,16,20,0.14,0.038,EKZH250E□□222ML20S,3250
25,2700,0.069,0.012,12.5,35,0.14,0.031,EKZH250E□□272MK35S,3570
25,3300,0.056,0.013,16,25,0.14,0.035,EKZH250E□□332ML25S,3630
35,47,3.386,0.24,5,11,0.12,0.8,EKZH350E□□470ME11D,330
35,100,1.592,0.11,6.3,11,0.12,0.35,EKZH350E□□101MF11D,500
35,220,0.723,0.062,8,11.5,0.12,0.19,EKZH350E□□221MHB5D,900
35,270,0.589,0.048,8,15,0.12,0.15,EKZH350E□□271MH15D,1210
35,330,0.482,0.045,10,12.5,0.12,0.14,EKZH350E□□331MJC5S,1240
35,390,0.408,0.033,8,20,0.12,0.11,EKZH350E□□391MH20D,1410
35,470,0.339,0.032,10,16,0.12,0.1,EKZH350E□□471MJ16S,1650
