Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current
6.3,220,1.326,5,11,0.22,1.2,0.38,EKZN6R3E□□221ME11D,345
6.3,470,0.621,6.3,11,0.22,0.51,0.17,EKZN6R3E□□471MF11D,540
6.3,820,0.356,8,11.5,0.22,0.23,0.075,EKZN6R3E□□821MHB5D,945
6.3,1200,0.243,8,15,0.22,0.18,0.059,EKZN6R3E□□122MH15D,1250
6.3,1200,0.243,10,12.5,0.22,0.16,0.053,EKZN6R3E□□122MJC5S,1330
6.3,1500,0.195,8,20,0.22,0.13,0.041,EKZN6R3E□□152MH20D,1500
6.3,1800,0.162,10,16,0.22,0.12,0.038,EKZN6R3E□□182MJ16S,1760
6.3,2700,0.108,10,20,0.22,0.084,0.028,EKZN6R3E□□272MJ20S,1960
6.3,2700,0.108,12.5,16,0.22,0.11,0.035,EKZN6R3E□□272MK16S,1900
6.3,3300,0.088,10,25,0.22,0.072,0.026,EKZN6R3E□□332MJ25S,2250
6.3,3900,0.075,12.5,20,0.22,0.075,0.025,EKZN6R3E□□392MK20S,2480
6.3,5600,0.052,12.5,25,0.22,0.057,0.019,EKZN6R3E□□562MK25S,2900
6.3,6800,0.043,12.5,30,0.22,0.054,0.018,EKZN6R3E□□682MK30S,3450
6.3,6800,0.043,16,20,0.22,0.063,0.021,EKZN6R3E□□682ML20S,3250
6.3,8200,0.036,12.5,35,0.22,0.048,0.016,EKZN6R3E□□822MK35S,3570
6.3,8200,0.036,18,20,0.22,0.06,0.02,EKZN6R3E□□822MM20S,3450
6.3,10000,0.029,16,25,0.22,0.051,0.017,EKZN6R3E□□103ML25S,3630
6.3,12000,0.024,16,31.5,0.22,0.048,0.016,EKZN6R3E□□123MLN3S,4100
6.3,12000,0.024,18,25,0.22,0.048,0.016,EKZN6R3E□□123MM25S,3880
6.3,15000,0.019,16,35.5,0.22,0.042,0.014,EKZN6R3E□□153MLP1S,4280
6.3,15000,0.019,18,31.5,0.22,0.042,0.014,EKZN6R3E□□153MMN3S,4190
6.3,18000,0.016,16,40,0.22,0.039,0.013,EKZN6R3E□□183ML40S,4580
6.3,18000,0.016,18,35.5,0.22,0.036,0.012,EKZN6R3E□□183MMP1S,4380
6.3,22000,0.013,18,40,0.22,0.033,0.011,EKZN6R3E□□223MM40S,4960
10,150,1.68,5,11,0.19,1.2,0.38,EKZN100E□□151ME11D,450
10,330,0.764,6.3,11,0.19,0.51,0.17,EKZN100E□□331MF11D,700
10,560,0.45,8,11.5,0.19,0.23,0.075,EKZN100E□□561MHB5D,1200
10,820,0.307,8,15,0.19,0.18,0.059,EKZN100E□□821MH15D,1600
10,1000,0.252,8,20,0.19,0.13,0.041,EKZN100E□□102MH20D,1960
10,1000,0.252,10,12.5,0.19,0.16,0.053,EKZN100E□□102MJC5S,1700
10,1200,0.21,10,16,0.19,0.12,0.038,EKZN100E□□122MJ16S,2000
10,1800,0.14,10,20,0.19,0.084,0.028,EKZN100E□□182MJ20S,2500
10,1800,0.14,12.5,16,0.19,0.11,0.035,EKZN100E□□182MK16S,2400
10,2200,0.115,10,25,0.19,0.072,0.026,EKZN100E□□222MJ25S,2900
10,2700,0.093,12.5,20,0.19,0.075,0.025,EKZN100E□□272MK20S,2600
10,3900,0.065,12.5,25,0.19,0.057,0.019,EKZN100E□□392MK25S,3200
10,4700,0.054,12.5,30,0.19,0.054,0.018,EKZN100E□□472MK30S,3660
10,4700,0.054,16,20,0.19,0.063,0.021,EKZN100E□□472ML20S,3330
10,5600,0.045,12.5,35,0.19,0.048,0.016,EKZN100E□□562MK35S,4120
10,5600,0.045,18,20,0.19,0.06,0.02,EKZN100E□□562MM20S,3450
10,6800,0.037,16,25,0.19,0.051,0.017,EKZN100E□□682ML25S,3810
10,8200,0.031,16,31.5,0.19,0.048,0.016,EKZN100E□□822MLN3S,4100
10,8200,0.031,18,25,0.19,0.048,0.016,EKZN100E□□822MM25S,3880
10,10000,0.025,16,35.5,0.19,0.042,0.014,EKZN100E□□103MLP1S,4280
10,10000,0.025,18,31.5,0.19,0.042,0.014,EKZN100E□□103MMN3S,4190
10,12000,0.021,16,40,0.19,0.039,0.013,EKZN100E□□123ML40S,4580
10,12000,0.021,18,35.5,0.19,0.036,0.012,EKZN100E□□123MMP1S,4380
10,15000,0.017,18,40,0.19,0.033,0.011,EKZN100E□□153MM40S,4960
16,120,1.768,5,11,0.16,1.2,0.38,EKZN160E□□121ME11D,450
16,270,0.786,6.3,11,0.16,0.51,0.17,EKZN160E□□271MF11D,700
16,470,0.452,8,11.5,0.16,0.23,0.075,EKZN160E□□471MHB5D,1200
16,680,0.312,8,15,0.16,0.18,0.059,EKZN160E□□681MH15D,1600
16,680,0.312,10,12.5,0.16,0.16,0.053,EKZN160E□□681MJC5S,1700
16,820,0.259,8,20,0.16,0.13,0.041,EKZN160E□□821MH20D,1960
16,1000,0.212,10,16,0.16,0.12,0.038,EKZN160E□□102MJ16S,2000
16,1500,0.141,10,20,0.16,0.084,0.028,EKZN160E□□152MJ20S,2500
16,1500,0.141,12.5,16,0.16,0.11,0.035,EKZN160E□□152MK16S,2400
16,1800,0.118,10,25,0.16,0.072,0.026,EKZN160E□□182MJ25S,2900
16,2200,0.096,12.5,20,0.16,0.075,0.025,EKZN160E□□222MK20S,2600
16,2700,0.079,12.5,25,0.16,0.057,0.019,EKZN160E□□272MK25S,3200
16,3300,0.064,12.5,30,0.16,0.054,0.018,EKZN160E□□332MK30S,3660
16,3900,0.054,12.5,35,0.16,0.048,0.016,EKZN160E□□392MK35S,4120
16,3900,0.054,16,20,0.16,0.063,0.021,EKZN160E□□392ML20S,3330
16,4700,0.045,18,20,0.16,0.06,0.02,EKZN160E□□472MM20S,3450
16,5600,0.038,16,25,0.16,0.051,0.017,EKZN160E□□562ML25S,3810
16,6800,0.031,16,31.5,0.16,0.048,0.016,EKZN160E□□682MLN3S,4100
