Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@100kHz
10,100,5.968,5,11,0.45,ELE-100E□□101ME11D,130
10,220,2.713,6.3,11,0.45,ELE-100E□□221MF11D,210
10,330,1.809,8,11.5,0.45,ELE-100E□□331MHB5D,330
16,47,9.877,5,11,0.35,ELE-160E□□470ME11D,130
16,100,4.642,6.3,11,0.35,ELE-160E□□101MF11D,210
16,220,2.11,8,11.5,0.35,ELE-160E□□221MHB5D,330
25,33,12.057,5,11,0.3,ELE-250E□□330ME11D,130
25,47,8.466,5,11,0.3,ELE-250E□□470ME11D,130
25,100,3.979,6.3,11,0.3,ELE-250E□□101MF11D,210
35,33,8.842,5,11,0.22,ELE-350E□□330ME11D,130
35,47,6.208,6.3,11,0.22,ELE-350E□□470MF11D,210
35,100,2.918,8,11.5,0.22,ELE-350E□□101MHB5D,330
50,1,251.996,5,11,0.19,ELE-500E□□1R0ME11D,25
50,2.2,114.543,5,11,0.19,ELE-500E□□2R2ME11D,35
50,3.3,76.362,5,11,0.19,ELE-500E□□3R3ME11D,70
50,4.7,53.616,5,11,0.19,ELE-500E□□4R7ME11D,80
50,10,25.2,5,11,0.19,ELE-500E□□100ME11D,90
50,22,11.454,5,11,0.19,ELE-500E□□220ME11D,110
50,33,7.636,6.3,11,0.19,ELE-500E□□330MF11D,190
50,47,5.362,6.3,11,0.19,ELE-500E□□470MF11D,190
50,100,2.52,8,11.5,0.19,ELE-500E□□101MHB5D,270
63,10,22.547,5,11,0.17,ELE-630E□□100ME11D,80
63,22,10.249,6.3,11,0.17,ELE-630E□□220MF11D,170
63,33,6.832,6.3,11,0.17,ELE-630E□□330MF11D,170
63,47,4.797,8,11.5,0.17,ELE-630E□□470MHB5D,240
100,1,198.944,5,11,0.15,ELE-101E□□1R0ME11D,40
100,2.2,90.429,5,11,0.15,ELE-101E□□2R2ME11D,50
100,3.3,60.286,5,11,0.15,ELE-101E□□3R3ME11D,60
100,4.7,42.328,5,11,0.15,ELE-101E□□4R7ME11D,70
100,10,19.894,6.3,11,0.15,ELE-101E□□100MF11D,150
100,22,9.043,8,11.5,0.15,ELE-101E□□220MHB5D,230
