Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@100kHz
6.3,1500,0.195,0.063,10,12.5,0.22,ELZA6R3E□□152MJC5S,960
6.3,1800,0.162,0.049,10,16,0.22,ELZA6R3E□□182MJ16S,1240
6.3,2700,0.108,0.035,10,20,0.22,ELZA6R3E□□272MJ20S,1550
6.3,3300,0.088,0.033,10,25,0.22,ELZA6R3E□□332MJ25S,1740
6.3,4700,0.062,0.029,12.5,20,0.22,ELZA6R3E□□472MK20S,1890
6.3,6800,0.043,0.022,12.5,25,0.22,ELZA6R3E□□682MK25S,2350
6.3,6800,0.043,0.026,16,20,0.22,ELZA6R3E□□682ML20S,2330
6.3,8200,0.036,0.025,18,20,0.22,ELZA6R3E□□822MM20S,2640
6.3,10000,0.029,0.019,16,25,0.22,ELZA6R3E□□103ML25S,2760
6.3,12000,0.024,0.018,18,25,0.22,ELZA6R3E□□123MM25S,2850
10,1000,0.252,0.063,10,12.5,0.19,ELZA100E□□102MJC5S,960
10,1500,0.168,0.049,10,16,0.19,ELZA100E□□152MJ16S,1240
10,2200,0.115,0.035,10,20,0.19,ELZA100E□□222MJ20S,1550
10,2700,0.093,0.033,10,25,0.19,ELZA100E□□272MJ25S,1740
10,3300,0.076,0.029,12.5,20,0.19,ELZA100E□□332MK20S,1890
10,4700,0.054,0.022,12.5,25,0.19,ELZA100E□□472MK25S,2350
10,4700,0.054,0.026,16,20,0.19,ELZA100E□□472ML20S,2330
10,6800,0.037,0.019,16,25,0.19,ELZA100E□□682ML25S,2760
10,6800,0.037,0.025,18,20,0.19,ELZA100E□□682MM20S,2640
10,8200,0.031,0.018,18,25,0.19,ELZA100E□□822MM25S,2850
16,820,0.259,0.063,10,12.5,0.16,ELZA160E□□821MJC5S,960
16,1000,0.212,0.049,10,16,0.16,ELZA160E□□102MJ16S,1240
16,1500,0.141,0.035,10,20,0.16,ELZA160E□□152MJ20S,1550
16,1800,0.118,0.033,10,25,0.16,ELZA160E□□182MJ25S,1740
16,2200,0.096,0.029,12.5,20,0.16,ELZA160E□□222MK20S,1890
16,3300,0.064,0.022,12.5,25,0.16,ELZA160E□□332MK25S,2350
16,3900,0.054,0.026,16,20,0.16,ELZA160E□□392ML20S,2330
16,5600,0.038,0.019,16,25,0.16,ELZA160E□□562ML25S,2760
16,5600,0.038,0.025,18,20,0.16,ELZA160E□□562MM20S,2640
16,8200,0.026,0.018,18,25,0.16,ELZA160E□□822MM25S,2850
25,470,0.395,0.063,10,12.5,0.14,ELZA250E□□471MJC5S,960
25,680,0.273,0.049,10,16,0.14,ELZA250E□□681MJ16S,1240
25,1000,0.186,0.035,10,20,0.14,ELZA250E□□102MJ20S,1550
25,1200,0.155,0.033,10,25,0.14,ELZA250E□□122MJ25S,1740
25,1500,0.124,0.029,12.5,20,0.14,ELZA250E□□152MK20S,1890
25,2200,0.084,0.022,12.5,25,0.14,ELZA250E□□222MK25S,2350
25,2700,0.069,0.026,16,20,0.14,ELZA250E□□272ML20S,2330
25,3300,0.056,0.025,18,20,0.14,ELZA250E□□332MM20S,2640
25,3900,0.048,0.019,16,25,0.14,ELZA250E□□392ML25S,2760
25,4700,0.04,0.018,18,25,0.14,ELZA250E□□472MM25S,2850
35,330,0.482,0.063,10,12.5,0.12,ELZA350E□□331MJC5S,960
35,470,0.339,0.049,10,16,0.12,ELZA350E□□471MJ16S,1240
35,680,0.234,0.035,10,20,0.12,ELZA350E□□681MJ20S,1550
35,820,0.194,0.033,10,25,0.12,ELZA350E□□821MJ25S,1740
35,1000,0.159,0.029,12.5,20,0.12,ELZA350E□□102MK20S,1890
35,1500,0.106,0.022,12.5,25,0.12,ELZA350E□□152MK25S,2350
35,1800,0.088,0.026,16,20,0.12,ELZA350E□□182ML20S,2330
35,2200,0.072,0.025,18,20,0.12,ELZA350E□□222MM20S,2640
35,2700,0.059,0.019,16,25,0.12,ELZA350E□□272ML25S,2760
35,3300,0.048,0.018,18,25,0.12,ELZA350E□□332MM25S,2850
