Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
6.3,100,3.714,5,11,0.28,1000,0.5,2.0,5.0,2.5,ECA0JHG101( ),91,200,2000
6.3,220,1.688,5,11,0.28,1000,0.5,2.0,5.0,2.5,ECA0JHG221( ),140,200,2000
6.3,470,0.79,6.3,11.2,0.28,1000,0.5,2.5,5.0,2.5,ECA0JHG471( ),200,200,2000
6.3,1000,0.371,8,11.5,0.28,1000,0.6,3.5,5.0,,ECA0JHG102( ),380,200,1000
6.3,2200,0.181,10,16,0.3,2000,0.6,5.0,5.0,,ECA0JHG222( ),710,200,500
6.3,3300,0.129,10,20,0.32,2000,0.6,5.0,5.0,,ECA0JHG332( ),840,200,500
6.3,4700,0.096,12.5,20,0.34,2000,0.6,5.0,5.0,,ECA0JHG472( ),1090,200,500
6.3,6800,0.074,12.5,25,0.38,2000,0.6,5.0,5.0,,ECA0JHG682( ),1350,200,500
6.3,10000,0.061,16,25,0.46,2000,0.8,7.5,7.5,,ECA0JHG103( ),1650,100,250
6.3,15000,0.05,16,31.5,0.56,2000,0.8,7.5,,,ECA0JHG153,2010,100,
6.3,22000,0.042,18,35.5,0.7,2000,0.8,7.5,,,ECA0JHG223,2350,50,
10,330,0.965,6.3,11.2,0.24,1000,0.5,2.5,5.0,2.5,ECA1AHG331( ),200,200,2000
10,470,0.677,8,11.5,0.24,1000,0.6,3.5,5.0,,ECA1AHG471( ),250,200,1000
10,1000,0.318,10,12.5,0.24,2000,0.6,5.0,5.0,,ECA1AHG102( ),460,200,500
10,2200,0.157,10,20,0.26,2000,0.6,5.0,5.0,,ECA1AHG222( ),760,200,500
10,3300,0.113,12.5,20,0.28,2000,0.6,5.0,5.0,,ECA1AHG332( ),1000,200,500
10,4700,0.085,12.5,25,0.3,2000,0.6,5.0,5.0,,ECA1AHG472( ),1260,200,500
10,6800,0.066,16,25,0.34,2000,0.8,7.5,7.5,,ECA1AHG682( ),1570,100,250
10,10000,0.056,16,31.5,0.42,2000,0.8,7.5,,,ECA1AHG103,1890,100,
10,15000,0.046,18,35.5,0.52,2000,0.8,7.5,,,ECA1AHG153,2180,50,
16,100,2.653,5,11,0.2,1000,0.5,2.0,5.0,2.5,ECA1CHG101( ),110,200,2000
16,220,1.206,6.3,11.2,0.2,1000,0.5,2.5,5.0,2.5,ECA1CHG221( ),180,200,2000
16,330,0.804,8,11.5,0.2,1000,0.6,3.5,5.0,,ECA1CHG331( ),260,200,1000
16,470,0.564,8,11.5,0.2,1000,0.6,3.5,5.0,,ECA1CHG471( ),310,200,1000
16,1000,0.265,10,16,0.2,2000,0.6,5.0,5.0,,ECA1CHG102( ),560,200,500
16,2200,0.133,12.5,20,0.22,2000,0.6,5.0,5.0,,ECA1CHG222( ),920,200,500
16,3300,0.096,12.5,25,0.24,2000,0.6,5.0,5.0,,ECA1CHG332( ),1170,200,500
16,4700,0.079,16,25,0.28,2000,0.8,7.5,7.5,,ECA1CHG472( ),1480,100,250
16,6800,0.059,16,31.5,0.3,2000,0.8,7.5,,,ECA1CHG682,1780,100,
16,10000,0.05,18,35.5,0.38,2000,0.8,7.5,,,ECA1CHG103,2060,50,
25,47,4.515,5,11,0.16,1000,0.5,2.0,5.0,2.5,ECA1EHG470( ),91,200,2000
25,100,2.122,5,11,0.16,1000,0.5,2.0,5.0,2.5,ECA1EHG101( ),130,200,2000
25,220,0.965,6.3,11.2,0.16,1000,0.5,2.5,5.0,2.5,ECA1EHG221( ),230,200,2000
25,330,0.643,8,11.5,0.16,1000,0.6,3.5,5.0,,ECA1EHG331( ),380,200,1000
25,470,0.452,10,12.5,0.16,2000,0.6,5.0,5.0,,ECA1EHG471( ),680,200,500
25,1000,0.239,12.5,20,0.18,2000,0.6,5.0,5.0,,ECA1EHG102( ),1090,200,500
25,2200,0.121,16,25,0.2,2000,0.8,7.5,,,ECA1EHG222,1400,100,
25,3300,0.088,16,31.5,0.22,2000,0.8,7.5,,,ECA1EHG332,1750,50,
35,47,3.951,5,11,0.14,1000,0.5,2.0,5.0,2.5,ECA1VHG470( ),90,200,2000
35,100,1.857,6.3,11.2,0.14,1000,0.5,2.5,5.0,2.5,ECA1VHG101( ),150,200,2000
35,220,0.844,8,11.5,0.14,1000,0.6,3.5,5.0,,ECA1VHG221( ),270,200,1000
35,330,0.563,10,12.5,0.14,2000,0.6,5.0,5.0,,ECA1VHG331( ),350,200,500
35,470,0.395,10,16,0.14,2000,0.6,5.0,5.0,,ECA1VHG471( ),460,200,500
35,1000,0.186,12.5,20,0.14,2000,0.6,5.0,5.0,,ECA1VHG102( ),810,200,500
35,2200,0.096,16,25,0.16,2000,0.8,7.5,7.5,,ECA1VHG222( ),1260,100,250
35,3300,0.072,16,31.5,0.18,2000,0.8,7.5,,,ECA1VHG332,1610,100,
35,4700,0.056,18,35.5,0.2,2000,0.8,7.5,,,ECA1VHG472,1910,50,
50,2.2,72.343,5,11,0.12,1000,0.5,2.0,5.0,2.5,ECA1HHG2R2( ),18,200,2000
50,3.3,48.229,5,11,0.12,1000,0.5,2.0,5.0,2.5,ECA1HHG3R3( ),22,200,2000
50,4.7,33.863,5,11,0.12,1000,0.5,2.0,5.0,2.5,ECA1HHG4R7( ),26,200,2000
50,10,15.916,5,11,0.12,1000,0.5,2.0,5.0,2.5,ECA1HHG100( ),39,200,2000
50,22,7.234,5,11,0.12,1000,0.5,2.0,5.0,2.5,ECA1HHG220( ),65,200,2000
50,33,4.823,5,11,0.12,1000,0.5,2.0,5.0,2.5,ECA1HHG330( ),90,200,2000
50,47,3.386,6.3,11.2,0.12,1000,0.5,2.5,5.0,2.5,ECA1HHG470( ),110,200,2000
50,100,1.592,8,11.5,0.12,1000,0.6,3.5,5.0,,ECA1HHG101( ),180,200,1000
50,220,0.723,10,12.5,0.12,2000,0.6,5.0,5.0,,ECA1HHG221( ),300,200,500
50,330,0.482,10,16,0.12,2000,0.6,5.0,5.0,,ECA1HHG331( ),410,200,500
50,470,0.339,10,20,0.12,2000,0.6,5.0,5.0,,ECA1HHG471( ),530,200,500
50,1000,0.159,12.5,25,0.12,2000,0.6,5.0,5.0,,ECA1HHG102( ),950,200,500
50,2200,0.084,16,31.5,0.14,2000,0.8,7.5,,,ECA1HHG222,1470,100,
