Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
2.5,330,0.322,0.007,6.3,9,-55,105,0.08,2000,500,3000,PLF0E331MCO8,Uni-Polar,Radial Lead,Standard,5600,NRND,Normal,0.45
2.5,390,0.272,0.02,6.3,10.5,-55,105,0.08,2000,195,3000,PLF0E391MDL4,Uni-Polar,Radial Lead,Standard,3200,NRND,Normal,0.5
2.5,560,0.189,0.007,6.3,9,-55,105,0.08,2000,500,3000,PLF0E561MCO8,Uni-Polar,Radial Lead,Standard,5600,NRND,Normal,0.45
2.5,560,0.189,0.006,8,9,-55,105,0.08,2000,280,2000,PLF0E561MCO1,Uni-Polar,Radial Lead,Standard,4800,NRND,Normal,0.75
2.5,680,0.156,0.007,8,9,-55,105,0.08,2000,340,2000,PLF0E681MCO6,Uni-Polar,Radial Lead,Standard,4800,NRND,Normal,0.75
2.5,680,0.156,0.006,8,12,-55,105,0.08,2000,340,2000,PLF0E681MDO1,Uni-Polar,Radial Lead,Standard,5700,NRND,Normal,0.95
2.5,820,0.129,0.007,6.3,9,-55,105,0.08,2000,500,3000,PLF0E821MCO8,Uni-Polar,Radial Lead,Standard,5600,NRND,Normal,0.45
2.5,820,0.129,0.007,8,9,-55,105,0.08,2000,410,2000,PLF0E821MCO6,Uni-Polar,Radial Lead,Standard,5200,NRND,Normal,0.75
2.5,820,0.129,0.006,8,12,-55,105,0.08,2000,410,2000,PLF0E821MDO1,Uni-Polar,Radial Lead,Standard,6200,NRND,Normal,0.95
2.5,1000,0.106,0.006,10,13,-55,105,0.08,2000,500,1000,PLF0E102MDO1,Uni-Polar,Radial Lead,Standard,6500,NRND,Normal,1.5
2.5,1200,0.088,0.008,10,13,-55,105,0.08,2000,600,1000,PLF0E122MDO1,Uni-Polar,Radial Lead,Standard,5300,NRND,Normal,1.5
2.5,1500,0.071,0.007,8,12,-55,105,0.08,2000,750,2000,PLF0E152MDO6,Uni-Polar,Radial Lead,Standard,6100,NRND,Normal,0.95
2.5,1500,0.071,0.008,10,13,-55,105,0.08,2000,750,1000,PLF0E152MDO1,Uni-Polar,Radial Lead,Standard,5500,NRND,Normal,1.5
4,270,0.393,0.007,6.3,9,-55,105,0.08,2000,500,3000,PLF0G271MCO8,Uni-Polar,Radial Lead,Standard,5600,NRND,Normal,0.45
4,270,0.393,0.02,6.3,10.5,-55,105,0.08,2000,216,3000,PLF0G271MDL4,Uni-Polar,Radial Lead,Standard,3200,NRND,Normal,0.5
4,390,0.272,0.024,6.3,10.5,-55,105,0.08,2000,312,3000,PLF0G391MDL4,Uni-Polar,Radial Lead,Standard,3300,NRND,Normal,0.5
4,560,0.189,0.007,8,9,-55,105,0.08,2000,448,2000,PLF0G561MCO6,Uni-Polar,Radial Lead,Standard,5200,NRND,Normal,0.75
4,560,0.189,0.007,8,12,-55,105,0.08,2000,448,2000,PLF0G561MDO1,Uni-Polar,Radial Lead,Standard,5500,NRND,Normal,0.95
4,680,0.156,0.006,8,12,-55,105,0.08,2000,544,2000,PLF0G681MDO1,Uni-Polar,Radial Lead,Standard,6200,NRND,Normal,0.95
4,820,0.129,0.006,10,13,-55,105,0.08,2000,656,1000,PLF0G821MDO1,Uni-Polar,Radial Lead,Standard,6500,NRND,Normal,1.5
4,1000,0.106,0.006,10,13,-55,105,0.08,2000,800,1000,PLF0G102MDO1,Uni-Polar,Radial Lead,Standard,6640,NRND,Normal,1.5
4,1200,0.088,0.008,10,13,-55,105,0.08,2000,960,1000,PLF0G122MDO1,Uni-Polar,Radial Lead,Standard,5600,NRND,Normal,1.5
6.3,220,0.482,0.02,6.3,10.5,-55,105,0.08,2000,277,3000,PLF0J221MDL4,Uni-Polar,Radial Lead,Standard,3200,NRND,Normal,0.5
6.3,330,0.322,0.024,6.3,10.5,-55,105,0.08,2000,416,3000,PLF0J331MDL4,Uni-Polar,Radial Lead,Standard,3300,NRND,Normal,0.5
6.3,470,0.226,0.007,8,9,-55,105,0.08,2000,592,2000,PLF0J471MCO6,Uni-Polar,Radial Lead,Standard,5200,NRND,Normal,0.75
6.3,470,0.226,0.007,8,12,-55,105,0.08,2000,592,2000,PLF0J471MDO1,Uni-Polar,Radial Lead,Standard,5500,NRND,Normal,0.95
6.3,680,0.156,0.006,10,13,-55,105,0.08,2000,857,1000,PLF0J681MDO1,Uni-Polar,Radial Lead,Standard,6300,NRND,Normal,1.5
10,47,2.258,0.025,6.3,10.5,-55,105,0.08,2000,94,3000,PLF1A470MDL4,Uni-Polar,Radial Lead,Standard,2900,NRND,Normal,0.5
10,68,1.56,0.025,6.3,10.5,-55,105,0.08,2000,136,3000,PLF1A680MDL4,Uni-Polar,Radial Lead,Standard,2900,NRND,Normal,0.5
10,100,1.061,0.025,6.3,10.5,-55,105,0.08,2000,200,3000,PLF1A101MDL4,Uni-Polar,Radial Lead,Standard,2900,NRND,Normal,0.5
10,150,0.707,0.025,6.3,10.5,-55,105,0.08,2000,300,3000,PLF1A151MDL4,Uni-Polar,Radial Lead,Standard,2900,NRND,Normal,0.5
10,270,0.393,0.008,8,12,-55,105,0.08,2000,540,2000,PLF1A271MDO1,Uni-Polar,Radial Lead,Standard,4900,NRND,Normal,0.95
10,470,0.226,0.007,10,13,-55,105,0.08,2000,940,1000,PLF1A471MDO1,Uni-Polar,Radial Lead,Standard,5700,NRND,Normal,1.5
10,560,0.189,0.007,10,13,-55,105,0.08,2000,1120,1000,PLF1A561MDO1,Uni-Polar,Radial Lead,Standard,5900,NRND,Normal,1.5
10,680,0.156,0.007,10,13,-55,105,0.08,2000,1360,1000,PLF1A681MDO1,Uni-Polar,Radial Lead,Standard,6100,NRND,Normal,1.5
16,100,1.061,0.024,6.3,10.5,-55,105,0.08,2000,320,3000,PLF1C101MDL4,Uni-Polar,Radial Lead,Standard,2900,NRND,Normal,0.5
16,180,0.589,0.009,8,12,-55,105,0.08,2000,576,2000,PLF1C181MDO1,Uni-Polar,Radial Lead,Standard,5000,NRND,Normal,0.95
16,270,0.393,0.009,8,12,-55,105,0.08,2000,864,2000,PLF1C271MDO1,Uni-Polar,Radial Lead,Standard,5100,NRND,Normal,0.95
16,330,0.322,0.009,10,13,-55,105,0.08,2000,1056,1000,PLF1C331MDO1,Uni-Polar,Radial Lead,Standard,6100,NRND,Normal,1.5
16,470,0.226,0.009,10,13,-55,105,0.08,2000,1504,1000,PLF1C471MDO1,Uni-Polar,Radial Lead,Standard,6100,NRND,Normal,1.5
20,22,7.234,0.05,6.3,6,-55,105,0.12,2000,88,4000,PLF1D220MCL2,Uni-Polar,Radial Lead,Standard,1700,NRND,Normal,0.3
20,39,4.081,0.045,8,7,-55,105,0.12,2000,156,2000,PLF1D390MCL2,Uni-Polar,Radial Lead,Standard,2000,NRND,Normal,0.55
20,47,3.386,0.045,8,7,-55,105,0.12,2000,188,2000,PLF1D470MCL2,Uni-Polar,Radial Lead,Standard,2000,NRND,Normal,0.55
20,56,2.842,0.04,10,8,-55,105,0.12,2000,224,1000,PLF1D560MCL2,Uni-Polar,Radial Lead,Standard,2400,NRND,Normal,0.9
20,68,2.341,0.04,10,8,-55,105,0.12,2000,272,1000,PLF1D680MCL2,Uni-Polar,Radial Lead,Standard,2600,NRND,Normal,0.9
20,82,1.941,0.04,10,8,-55,105,0.12,2000,328,1000,PLF1D820MCL2,Uni-Polar,Radial Lead,Standard,2600,NRND,Normal,0.9
20,100,1.592,0.022,8,12,-55,105,0.12,2000,400,2000,PLF1D101MDO2,Uni-Polar,Radial Lead,Standard,3320,NRND,Normal,0.95
20,120,1.326,0.035,10,10,-55,105,0.12,2000,480,1000,PLF1D121MCL2,Uni-Polar,Radial Lead,Standard,2800,NRND,Normal,1.0
20,150,1.061,0.02,10,13,-55,105,0.12,2000,600,1000,PLF1D151MDO2,Uni-Polar,Radial Lead,Standard,4320,NRND,Normal,1.5
25,6.8,23.405,0.08,6.3,6,-55,105,0.12,2000,85,4000,PLF1E6R8MCL2,Uni-Polar,Radial Lead,Standard,1200,NRND,Normal,0.3
25,10,15.916,0.065,6.3,6,-55,105,0.12,2000,125,4000,PLF1E100MCL7,Uni-Polar,Radial Lead,Standard,1500,NRND,Normal,0.3
25,10,15.916,0.06,8,7,-55,105,0.12,2000,125,2000,PLF1E100MCL2,Uni-Polar,Radial Lead,Standard,1500,NRND,Normal,0.55
25,22,7.234,0.05,8,7,-55,105,0.12,2000,275,2000,PLF1E220MCL7,Uni-Polar,Radial Lead,Standard,1800,NRND,Normal,0.55
25,47,3.386,0.03,10,13,-55,105,0.12,2000,588,1000,PLF1E470MDO2,Uni-Polar,Radial Lead,Standard,3000,NRND,Normal,1.5
25,56,2.842,0.028,10,13,-55,105,0.12,2000,700,1000,PLF1E560MDO2,Uni-Polar,Radial Lead,Standard,3800,NRND,Normal,1.5
