Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Ripple Current_1,Status,Vibration resistant,Weight (g)
16,150,1.061,26,8,9,-55,125,0.12,3000,480,2000,PLX1C151MCL1,Uni-Polar,Radial Lead,Hi-Reliability,810,2100,NRND,Normal,0.75
16,220,0.723,25,8,12,-55,125,0.12,3000,704,2000,PLX1C221MDL1,Uni-Polar,Radial Lead,Hi-Reliability,930,2400,NRND,Normal,0.95
16,390,0.408,23,10,13,-55,125,0.12,3000,1248,1000,PLX1C391MDL1,Uni-Polar,Radial Lead,Hi-Reliability,1130,2900,NRND,Normal,1.5
20,120,1.326,27,8,9,-55,125,0.12,3000,480,2000,PLX1D121MCL1,Uni-Polar,Radial Lead,Hi-Reliability,800,2000,NRND,Normal,0.75
20,150,1.061,26,8,12,-55,125,0.12,3000,600,2000,PLX1D151MDL1,Uni-Polar,Radial Lead,Hi-Reliability,910,2300,NRND,Normal,0.95
20,270,0.589,24,10,13,-55,125,0.12,3000,1080,1000,PLX1D271MDL1,Uni-Polar,Radial Lead,Hi-Reliability,1110,2800,NRND,Normal,1.5
25,82,1.941,28,8,9,-55,125,0.12,3000,410,2000,PLX1E820MCL1,Uni-Polar,Radial Lead,Hi-Reliability,780,2000,NRND,Normal,0.75
25,120,1.326,27,8,12,-55,125,0.12,3000,600,2000,PLX1E121MDL1,Uni-Polar,Radial Lead,Hi-Reliability,890,2300,NRND,Normal,0.95
25,180,0.884,25,10,13,-55,125,0.12,3000,900,1000,PLX1E181MDL1,Uni-Polar,Radial Lead,Hi-Reliability,1080,2800,NRND,Normal,1.5
35,39,4.081,33,8,9,-55,125,0.12,3000,273,2000,PLX1V390MCL1,Uni-Polar,Radial Lead,Hi-Reliability,720,1800,NRND,Normal,0.75
35,56,2.842,31,8,12,-55,125,0.12,3000,392,2000,PLX1V560MDL1,Uni-Polar,Radial Lead,Hi-Reliability,830,2100,NRND,Normal,0.95
35,100,1.592,28,10,13,-55,125,0.12,3000,700,1000,PLX1V101MDL1,Uni-Polar,Radial Lead,Hi-Reliability,1040,2700,NRND,Normal,1.5
50,22,7.234,35,8,9,-55,125,0.12,3000,220,2000,PLX1H220MCL1,Uni-Polar,Radial Lead,Hi-Reliability,700,1800,NRND,Normal,0.75
50,27,5.895,33,8,12,-55,125,0.12,3000,270,2000,PLX1H270MDL1,Uni-Polar,Radial Lead,Hi-Reliability,810,2000,NRND,Normal,0.95
50,47,3.386,29,10,13,-55,125,0.12,3000,470,1000,PLX1H470MDL1,Uni-Polar,Radial Lead,Hi-Reliability,1020,2600,NRND,Normal,1.5
