Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current
200,82,2.426,10,30,0.15,0.51
200,100,1.989,10,35,0.15,0.6
200,120,1.658,10,40,0.15,0.68
200,150,1.326,12.5,30,0.15,0.73
200,180,1.105,12.5,35,0.15,0.85
200,220,0.904,12.5,40,0.15,0.97
200,220,0.904,14.5,30,0.15,0.89
200,270,0.737,14.5,35,0.15,1.04
200,270,0.737,16,30,0.15,1.01
200,330,0.603,16,35,0.15,1.17
200,330,0.603,18,30,0.15,1.17
200,390,0.51,16,40,0.15,1.33
200,390,0.51,18,35,0.15,1.33
200,470,0.423,18,40,0.15,1.53
200,560,0.355,18,45,0.15,1.73
400,18,11.052,8,25,0.15,0.19
400,22,9.043,8,30,0.15,0.22
400,27,7.368,8,35,0.15,0.25
400,33,6.029,8,45,0.15,0.33
400,33,6.029,10,30,0.15,0.33
400,39,5.101,8,50,0.15,0.35
400,39,5.101,10,35,0.15,0.37
400,47,4.233,10,40,0.15,0.43
400,56,3.553,10,45,0.15,0.48
400,56,3.553,12.5,30,0.15,0.47
400,68,2.926,12.5,35,0.15,0.54
400,82,2.426,12.5,40,0.15,0.62
400,82,2.426,14.5,31.5,0.15,0.61
400,100,1.989,12.5,50,0.15,0.73
400,100,1.989,14.5,35,0.15,0.7
400,100,1.989,16,31.5,0.15,0.71
400,120,1.658,14.5,40,0.15,0.79
400,120,1.658,16,35,0.15,0.8
400,150,1.326,14.5,50,0.15,0.94
400,150,1.326,16,40,0.15,0.92
400,150,1.326,18,31.5,0.15,0.89
400,180,1.105,16,50,0.15,1.08
400,180,1.105,18,40,0.15,1.06
400,220,0.904,18,45,0.15,1.2
420,15,17.684,8,25,0.2,0.12
420,18,14.737,8,30,0.2,0.14
420,22,12.057,8,40,0.2,0.22
420,27,9.824,8,45,0.2,0.26
420,33,8.038,10,30,0.2,0.32
420,39,6.801,10,35,0.2,0.36
420,47,5.644,10,40,0.2,0.41
420,56,4.737,10,50,0.2,0.49
420,56,4.737,12.5,30,0.2,0.46
420,68,3.901,12.5,35,0.2,0.53
420,82,3.235,12.5,45,0.2,0.63
420,82,3.235,14.5,31.5,0.2,0.6
420,100,2.653,12.5,50,0.2,0.71
420,100,2.653,14.5,40,0.2,0.72
420,100,2.653,16,31.5,0.2,0.69
420,120,2.21,14.5,45,0.2,0.81
420,120,2.21,16,35,0.2,0.78
420,120,2.21,18,31.5,0.2,0.8
420,150,1.768,16,45,0.2,0.94
420,150,1.768,18,35,0.2,0.92
420,180,1.474,16,50,0.2,1.05
420,180,1.474,18,40,0.2,1.04
420,220,1.206,18,50,0.2,1.22
450,12,22.105,8,25,0.2,0.15
450,15,17.684,8,30,0.2,0.17
450,18,14.737,8,35,0.2,0.19
450,22,12.057,8,45,0.2,0.23
450,27,9.824,10,30,0.2,0.3
450,33,8.038,10,35,0.2,0.34
450,39,6.801,10,40,0.2,0.39
450,47,5.644,10,45,0.2,0.44
450,47,5.644,12.5,30,0.2,0.43
450,56,4.737,12.5,35,0.2,0.49
450,68,3.901,12.5,40,0.2,0.56
450,68,3.901,14.5,31.5,0.2,0.56
450,82,3.235,12.5,45,0.2,0.63
450,82,3.235,14.5,35,0.2,0.63
450,82,3.235,16,31.5,0.2,0.64
450,100,2.653,14.5,40,0.2,0.72
450,100,2.653,16,35,0.2,0.73
450,120,2.21,14.5,50,0.2,0.85
450,120,2.21,16,40,0.2,0.82
450,120,2.21,18,31.5,0.2,0.8
450,150,1.768,16,50,0.2,0.98
450,150,1.768,18,40,0.2,0.97
450,180,1.474,18,45,0.2,1.09
450,220,1.206,18,50,0.2,1.22
