Voltage,Capacitance,ESR 20°C@120Hz,Case Size Length,Dissipation Factor,Part Number,Ripple Current 85°C@120Hz
6.3,220,1.688,5,0.28,RE3-6V221M,200.0
6.3,330,1.125,6.3,0.28,RE3-6V331M,270.0
6.3,470,0.79,6.3,0.28,RE3-6V471M,322.0
6.3,1000,0.371,8,0.28,RE3-6V102M,546.0
6.3,2200,0.181,10,0.3,RE3-6V222M,1010.0
6.3,3300,0.129,10,0.32,RE3-6V332M,1230.0
6.3,4700,0.096,12.5,0.34,RE3-6V472M,1710.0
6.3,6800,0.074,12.5,0.38,RE3-6V682M,1930.0
6.3,10000,0.058,16,0.44,RE3-6V103M,2450.0
6.3,15000,0.048,16,0.54,RE3-6V153M,2860.0
6.3,22000,0.041,18,0.68,RE3-6V223M,3340.0
10,47,6.773,5,0.24,RE3-10V470M,99.0
10,100,3.183,5,0.24,RE3-10V101M,146.0
10,220,1.447,6.3,0.24,RE3-10V221M,240.0
10,330,0.965,6.3,0.24,RE3-10V331M,290.0
10,470,0.677,8,0.24,RE3-10V471M,417.0
10,1000,0.318,10,0.24,RE3-10V102M,650.0
10,2200,0.157,10,0.26,RE3-10V222M,1080.0
10,3300,0.113,12.5,0.28,RE3-10V332M,1430.0
10,4700,0.085,12.5,0.3,RE3-10V472M,1780.0
10,6800,0.066,16,0.34,RE3-10V682M,2220.0
10,10000,0.053,16,0.4,RE3-10V103M,2700.0
10,15000,0.044,18,0.5,RE3-10V153M,3100.0
16,10,26.526,5,0.2,RE3-16V100M,50.0
16,22,12.057,5,0.2,RE3-16V220M,75.0
16,33,8.038,5,0.2,RE3-16V330M,92.0
16,47,5.644,5,0.2,RE3-16V470M,110.0
16,100,2.653,5,0.2,RE3-16V101M,160.0
16,220,1.206,6.3,0.2,RE3-16V221M,264.0
16,330,0.804,8,0.2,RE3-16V331M,383.0
16,470,0.564,8,0.2,RE3-16V471M,457.0
16,1000,0.265,10,0.2,RE3-16V102M,791.0
16,2200,0.133,12.5,0.22,RE3-16V222M,1350.0
16,3300,0.096,12.5,0.24,RE3-16V332M,1690.0
16,4700,0.073,16,0.26,RE3-16V472M,2100.0
16,6800,0.059,16,0.3,RE3-16V682M,2580.0
16,10000,0.048,18,0.36,RE3-16V103M,3130.0
25,4.7,45.15,5,0.16,RE3-25V4R7M,38.0
25,10,21.221,5,0.16,RE3-25V100M,55.0
25,22,9.646,5,0.16,RE3-25V220M,82.0
25,33,6.431,5,0.16,RE3-25V330M,100.0
25,47,4.515,5,0.16,RE3-25V470M,118.0
