Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current 105°C@100kHz,Size Code
25,4200,0.063,0.033,16,20,0.2,0.095,2250,J20
25,5300,0.05,0.029,18,20,0.2,0.082,2500,K20
25,5900,0.045,0.024,16,25,0.2,0.073,2600,J25
25,7500,0.035,0.022,18,25,0.2,0.063,2800,K25
25,8000,0.033,0.021,16,31.5,0.2,0.052,3200,J31
25,9500,0.028,0.019,18,31.5,0.2,0.046,3500,K31
25,10000,0.027,0.019,16,35.5,0.2,0.045,3500,J35
25,11000,0.024,0.017,18,35.5,0.2,0.04,3700,K35
25,11000,0.024,0.017,16,40,0.2,0.04,3800,J40
25,14000,0.019,0.015,18,40,0.2,0.035,4000,K40
35,2500,0.085,0.033,16,20,0.16,0.095,2250,J20
35,3100,0.068,0.029,18,20,0.16,0.082,2500,K20
35,3500,0.061,0.024,16,25,0.16,0.073,2600,J25
35,4500,0.047,0.022,18,25,0.16,0.063,2800,K25
35,4700,0.045,0.021,16,31.5,0.16,0.052,3200,J31
35,5600,0.038,0.019,18,31.5,0.16,0.046,3500,K31
35,6000,0.035,0.019,16,35.5,0.16,0.045,3500,J35
35,7100,0.03,0.017,18,35.5,0.16,0.04,3700,K35
35,6600,0.032,0.017,16,40,0.16,0.04,3800,J40
35,8400,0.025,0.015,18,40,0.16,0.035,4000,K40
