Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Size Code
6.3,150,1.945,0.22,5,11.5,0.22,0.8,345,C11
6.3,220,1.326,0.22,5,11.5,0.22,0.8,345,C11
6.3,330,0.884,0.094,6.3,11.5,0.22,0.35,540,D11
6.3,470,0.621,0.094,6.3,11.5,0.22,0.35,540,D11
6.3,820,0.356,0.056,8,12,0.22,0.19,945,E12
6.3,1200,0.243,0.045,8,15,0.22,0.15,1250,E15
6.3,1200,0.243,0.039,10,12.5,0.22,0.14,1560,F12
6.3,1500,0.195,0.029,8,20,0.22,0.11,1500,E20
6.3,1800,0.162,0.028,10,16,0.22,0.1,2000,F16
6.3,2200,0.133,0.02,10,20,0.22,0.06,2500,F20
6.3,2700,0.108,0.017,10,25,0.22,0.051,2900,F25
6.3,3900,0.075,0.017,12.5,20,0.22,0.043,2600,G20
6.3,4700,0.062,0.015,12.5,25,0.22,0.038,3200,G25
6.3,5600,0.052,0.013,12.5,30,0.22,0.033,3795,G30
6.3,6800,0.043,0.012,12.5,35,0.22,0.031,4120,G35
6.3,6800,0.043,0.015,16,20,0.22,0.038,3575,J20
6.3,8200,0.036,0.013,16,25,0.22,0.035,3810,J25
10,100,2.52,0.22,5,11.5,0.19,0.8,345,C11
10,120,2.1,0.22,5,11.5,0.19,0.8,345,C11
10,150,1.68,0.22,5,11.5,0.19,0.8,345,C11
10,220,1.145,0.094,6.3,11.5,0.19,0.35,540,D11
10,270,0.933,0.094,6.3,11.5,0.19,0.35,540,D11
10,330,0.764,0.094,6.3,11.5,0.19,0.35,540,D11
10,680,0.371,0.056,8,12,0.19,0.19,945,E12
10,1000,0.252,0.045,8,15,0.19,0.15,1250,E15
10,1000,0.252,0.039,10,12.5,0.19,0.14,1560,F12
10,1500,0.168,0.029,8,20,0.19,0.11,1500,E20
10,1500,0.168,0.028,10,16,0.19,0.1,2000,F16
10,1800,0.14,0.02,10,20,0.19,0.06,2500,F20
10,2200,0.115,0.017,10,25,0.19,0.051,2900,F25
10,3300,0.076,0.017,12.5,20,0.19,0.043,2600,G20
10,3900,0.065,0.015,12.5,25,0.19,0.038,3200,G25
10,4700,0.054,0.013,12.5,30,0.19,0.033,3795,G30
10,4700,0.054,0.015,16,20,0.19,0.038,3575,J20
10,5600,0.045,0.012,12.5,35,0.19,0.031,4120,G35
10,6800,0.037,0.013,16,25,0.19,0.035,3810,J25
16,82,2.588,0.22,5,11.5,0.16,0.8,345,C11
16,100,2.122,0.22,5,11.5,0.16,0.8,345,C11
16,180,1.179,0.094,6.3,11.5,0.16,0.35,540,D11
16,220,0.965,0.094,6.3,11.5,0.16,0.35,540,D11
16,470,0.452,0.056,8,12,0.16,0.19,945,E12
16,680,0.312,0.045,8,15,0.16,0.15,1250,E15
16,680,0.312,0.039,10,12.5,0.16,0.14,1560,F12
16,1000,0.212,0.029,8,20,0.16,0.11,1500,E20
16,1000,0.212,0.028,10,16,0.16,0.1,2000,F16
16,1500,0.141,0.02,10,20,0.16,0.06,2500,F20
16,1800,0.118,0.017,10,25,0.16,0.051,2900,F25
16,2200,0.096,0.017,12.5,20,0.16,0.043,2600,G20
16,2700,0.079,0.015,12.5,25,0.16,0.038,3200,G25
16,3300,0.064,0.013,12.5,30,0.16,0.033,3795,G30
16,3300,0.064,0.015,16,20,0.16,0.038,3575,J20
16,3900,0.054,0.012,12.5,35,0.16,0.031,4120,G35
16,4700,0.045,0.013,16,25,0.16,0.035,3810,J25
