Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz,Size Code
25,2000,0.093,0.042,12.5,20,0.14,0.48,2760,1690,G20
25,3000,0.062,0.033,12.5,25,0.14,0.3,3480,2010,G25
25,3300,0.056,0.035,16,20,0.14,0.27,3040,2160,J20
25,3600,0.052,0.028,12.5,30,0.14,0.24,4490,2900,G30
25,4300,0.043,0.034,18,20,0.14,0.22,3250,2320,K20
25,4700,0.04,0.025,12.5,35,0.14,0.21,5140,3190,G35
25,4700,0.04,0.028,16,25,0.14,0.22,4260,2870,J25
25,5100,0.036,0.024,12.5,40,0.14,0.19,5810,3470,G40
25,5600,0.033,0.023,16,31.5,0.14,0.18,5480,3400,J31
25,7500,0.025,0.02,16,35.5,0.14,0.14,6070,3630,J35
25,7500,0.025,0.022,18,31.5,0.14,0.16,5600,3470,K31
25,9100,0.02,0.019,16,40,0.14,0.12,6810,3930,J40
25,10000,0.019,0.019,18,35.5,0.14,0.12,6280,3750,K35
25,12000,0.015,0.018,18,40,0.14,0.1,7070,4080,K40
35,1300,0.122,0.042,12.5,20,0.12,0.48,2760,1690,G20
35,1800,0.088,0.033,12.5,25,0.12,0.3,3480,2010,G25
35,2000,0.08,0.035,16,20,0.12,0.27,3040,2160,J20
35,2200,0.072,0.028,12.5,30,0.12,0.24,4490,2900,G30
35,2400,0.066,0.034,18,20,0.12,0.22,3250,2320,K20
35,2700,0.059,0.025,12.5,35,0.12,0.21,5140,3190,G35
35,3000,0.053,0.028,16,25,0.12,0.22,4260,2870,J25
35,3300,0.048,0.024,12.5,40,0.12,0.19,5810,3470,G40
35,3600,0.044,0.023,16,31.5,0.12,0.18,5480,3400,J31
35,3900,0.041,0.027,18,25,0.12,0.19,4500,2900,K25
35,4300,0.037,0.02,16,35.5,0.12,0.14,6070,3630,J35
35,4700,0.034,0.022,18,31.5,0.12,0.16,5600,3470,K31
35,5600,0.028,0.019,16,40,0.12,0.12,6810,3930,J40
35,6200,0.026,0.019,18,35.5,0.12,0.12,6280,3750,K35
35,7500,0.021,0.018,18,40,0.12,0.1,7070,4080,K40
50,620,0.214,0.073,12.5,20,0.1,0.88,2400,1470,G20
50,820,0.162,0.058,12.5,25,0.1,0.67,3350,2260,G25
50,1000,0.133,0.05,16,20,0.1,0.55,2960,1870,J20
50,1100,0.121,0.048,12.5,30,0.1,0.52,4220,2520,G30
50,1300,0.102,0.042,12.5,35,0.1,0.44,4810,2780,G35
50,1300,0.102,0.042,16,25,0.1,0.44,4040,2500,J25
50,1300,0.102,0.042,18,20,0.1,0.44,3130,2110,K20
50,1600,0.083,0.037,12.5,40,0.1,0.36,5240,3020,G40
50,1600,0.083,0.035,16,31.5,0.1,0.36,5130,2960,J31
50,1800,0.074,0.033,18,25,0.1,0.32,4230,2530,K25
50,2200,0.06,0.029,16,35.5,0.1,0.27,5480,3160,J35
50,2400,0.055,0.028,18,31.5,0.1,0.25,5240,3020,K31
50,2700,0.049,0.025,16,40,0.1,0.22,5930,3420,J40
50,3000,0.044,0.024,18,35.5,0.1,0.2,5870,3390,K35
50,3600,0.037,0.023,18,40,0.1,0.16,6420,3700,K40
63,270,0.491,0.072,12.5,20,0.1,0.56,1640,1420,G20
63,390,0.34,0.072,12.5,20,0.1,0.56,1640,1420,G20
63,560,0.237,0.052,12.5,25,0.1,0.39,2520,2050,G25
63,680,0.195,0.053,16,20,0.1,0.34,2140,1910,J20
63,750,0.177,0.042,12.5,30,0.1,0.3,3110,2630,G30
63,910,0.146,0.035,12.5,35,0.1,0.25,3760,2970,G35
63,910,0.146,0.044,18,20,0.1,0.26,2350,2100,K20
63,1000,0.133,0.038,16,25,0.1,0.23,2940,2680,J25
63,1100,0.121,0.031,12.5,40,0.1,0.22,4610,3260,G40
63,1200,0.111,0.034,16,31.5,0.1,0.2,3860,3050,J31
63,1300,0.102,0.033,18,25,0.1,0.19,3080,2810,K25
63,1600,0.083,0.027,16,35.5,0.1,0.15,4590,3420,J35
63,1600,0.083,0.028,18,31.5,0.1,0.15,4080,3220,K31
63,1800,0.074,0.025,16,40,0.1,0.14,5190,3670,J40
63,2200,0.06,0.022,18,35.5,0.1,0.12,5220,3690,K35
63,2400,0.055,0.021,18,40,0.1,0.11,5660,3820,K40
80,270,0.393,0.072,12.5,20,0.08,0.56,1640,1420,G20
80,390,0.272,0.052,12.5,25,0.08,0.39,2520,2050,G25
80,470,0.226,0.053,16,20,0.08,0.34,2140,1910,J20
80,510,0.208,0.042,12.5,30,0.08,0.3,3110,2630,G30
80,620,0.171,0.035,12.5,35,0.08,0.25,3760,2970,G35
80,620,0.171,0.044,18,20,0.08,0.26,2350,2100,K20
80,680,0.156,0.038,16,25,0.08,0.23,2940,2680,J25
80,750,0.141,0.031,12.5,40,0.08,0.22,4610,3260,G40
80,750,0.141,0.034,16,31.5,0.08,0.2,3860,3050,J31
80,820,0.129,0.033,18,25,0.08,0.19,3080,2810,K25
80,1000,0.106,0.027,16,35.5,0.08,0.15,4590,3420,J35
80,1100,0.096,0.028,18,31.5,0.08,0.15,4080,3220,K31
80,1300,0.082,0.025,16,40,0.08,0.14,5190,3670,J40
80,1300,0.082,0.022,18,35.5,0.08,0.12,5220,3690,K35
80,1600,0.066,0.021,18,40,0.08,0.11,5660,3820,K40
