Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz,Size Code
25,1800,0.103,0.033,12.5,25,0.14,0.3,3480,2010,G25
25,2200,0.084,0.028,12.5,30,0.14,0.24,4490,2900,G30
25,2700,0.069,0.025,12.5,35,0.14,0.21,5140,3190,G35
25,3300,0.056,0.024,12.5,40,0.14,0.19,5810,3470,G40
25,4700,0.04,0.023,16,31.5,0.14,0.18,5480,3400,J31
25,5400,0.034,0.02,16,35.5,0.14,0.14,6070,3630,J35
25,6200,0.03,0.019,16,40,0.14,0.12,6810,3930,J40
25,6200,0.03,0.022,18,31.5,0.14,0.16,5600,3470,K31
25,7800,0.024,0.019,18,35.5,0.14,0.12,6280,3750,K35
25,8200,0.023,0.018,18,40,0.14,0.1,7070,4080,K40
35,1100,0.145,0.033,12.5,25,0.12,0.3,3480,2010,G25
35,1500,0.106,0.028,12.5,30,0.12,0.24,4490,2900,G30
35,1800,0.088,0.025,12.5,35,0.12,0.21,5140,3190,G35
35,2000,0.08,0.024,12.5,40,0.12,0.19,5810,3470,G40
35,2700,0.059,0.023,16,31.5,0.12,0.18,5480,3400,J31
35,3100,0.051,0.02,16,35.5,0.12,0.14,6070,3630,J35
35,3600,0.044,0.019,16,40,0.12,0.12,6810,3930,J40
35,3600,0.044,0.022,18,31.5,0.12,0.16,5600,3470,K31
35,4700,0.034,0.019,18,35.5,0.12,0.12,6280,3750,K35
35,5400,0.029,0.018,18,40,0.12,0.1,7070,4080,K40
50,560,0.237,0.079,12.5,25,0.1,0.39,3350,2260,G25
50,750,0.177,0.065,12.5,30,0.1,0.3,4220,2520,G30
50,900,0.147,0.057,12.5,35,0.1,0.25,4810,2780,G35
50,1000,0.133,0.05,12.5,40,0.1,0.22,5240,3020,G40
50,1300,0.102,0.048,16,31.5,0.1,0.2,5130,2960,J31
50,1600,0.083,0.039,16,35.5,0.1,0.15,5480,3160,J35
50,1900,0.07,0.034,16,40,0.1,0.14,5930,3420,J40
50,2000,0.066,0.038,18,31.5,0.1,0.15,5240,3020,K31
50,2400,0.055,0.033,18,35.5,0.1,0.12,5870,3390,K35
50,2600,0.051,0.031,18,40,0.1,0.11,6420,3700,K40
63,390,0.34,0.076,12.5,25,0.1,0.39,2520,2050,G25
63,560,0.237,0.061,12.5,30,0.1,0.3,3110,2630,G30
63,650,0.204,0.051,12.5,35,0.1,0.25,3760,2970,G35
63,750,0.177,0.045,12.5,40,0.1,0.22,4610,3260,G40
63,1000,0.133,0.049,16,31.5,0.1,0.2,3860,3050,J31
63,1300,0.102,0.039,16,35.5,0.1,0.15,4590,3420,J35
63,1300,0.102,0.041,18,31.5,0.1,0.15,4080,3220,K31
63,1500,0.088,0.036,16,40,0.1,0.14,5190,3670,J40
63,1800,0.074,0.032,18,35.5,0.1,0.12,5220,3690,K35
63,2000,0.066,0.031,18,40,0.1,0.11,5660,3820,K40
80,290,0.366,0.076,12.5,25,0.08,0.39,2520,2050,G25
80,420,0.253,0.061,12.5,30,0.08,0.3,3110,2630,G30
80,490,0.217,0.051,12.5,35,0.08,0.25,3760,2970,G35
80,570,0.186,0.045,12.5,40,0.08,0.22,4610,3260,G40
80,750,0.141,0.049,16,31.5,0.08,0.2,3860,3050,J31
80,820,0.129,0.039,16,35.5,0.08,0.15,4590,3420,J35
80,820,0.129,0.041,18,31.5,0.08,0.15,4080,3220,K31
80,950,0.112,0.036,16,40,0.08,0.14,5190,3670,J40
80,1200,0.088,0.032,18,35.5,0.08,0.12,5220,3690,K35
80,1300,0.082,0.031,18,40,0.08,0.11,5660,3820,K40
